,id,sangvis_id,sangvis_level,life,sangvis_advance,sangvis_shape_n,sangvis_resolution_level,skill1,skill2,skill3,skill_advance,chip1,chip2,favor
46,4140603,3003,80,100,3,2,4,0,0,0,0,0,0,90000
47,4140604,2002,80,100,3,2,2,0,0,0,0,0,0,90000
48,4140605,2002,80,100,3,2,2,0,0,0,0,0,0,90000
49,4140606,3004,80,100,3,2,4,0,0,0,0,0,0,90000
50,4140607,3004,80,100,3,2,4,0,0,0,0,0,0,90000
51,4140608,3004,80,100,3,2,4,0,0,0,0,0,0,90000
52,4140611,3003,80,100,3,2,4,0,0,0,0,0,0,90000
53,4140612,3003,80,100,3,2,4,0,0,0,0,0,0,90000
54,4140613,3003,80,100,3,2,4,0,0,0,0,0,0,90000
55,4140614,2002,80,100,3,2,2,0,0,0,0,0,0,90000
56,4140615,2002,80,100,3,2,2,0,0,0,0,0,0,90000
57,4140616,3004,80,100,3,2,4,0,0,0,0,0,0,90000
58,4140617,3004,80,100,3,2,4,0,0,0,0,0,0,90000
59,4140618,3004,80,100,3,2,4,0,0,0,0,0,0,90000
60,4140621,3003,80,100,3,2,4,0,0,0,0,0,0,90000
61,4140622,3003,80,100,3,2,4,0,0,0,0,0,0,90000
62,4140623,3003,80,100,3,2,4,0,0,0,0,0,0,90000
63,4140624,2002,80,100,3,2,2,0,0,0,0,0,0,90000
64,4140625,2002,80,100,3,2,2,0,0,0,0,0,0,90000
65,4140626,3004,80,100,3,2,4,0,0,0,0,0,0,90000
66,4140627,3004,80,100,3,2,4,0,0,0,0,0,0,90000
67,4140628,3004,80,100,3,2,4,0,0,0,0,0,0,90000
68,4140631,3003,80,100,3,2,4,0,0,0,0,0,0,90000
69,4140632,3003,80,100,3,2,4,0,0,0,0,0,0,90000
70,4140633,3003,80,100,3,2,4,0,0,0,0,0,0,90000
71,4140634,2002,80,100,3,2,2,0,0,0,0,0,0,90000
72,4140635,2002,80,100,3,2,2,0,0,0,0,0,0,90000
73,4140636,3004,80,100,3,2,4,0,0,0,0,0,0,90000
74,4140637,3004,80,100,3,2,4,0,0,0,0,0,0,90000
75,4140638,3004,80,100,3,2,4,0,0,0,0,0,0,90000
76,4140641,3003,80,100,3,2,4,0,0,0,0,0,0,90000
77,4140642,3003,80,100,3,2,4,0,0,0,0,0,0,90000
78,4140643,3003,80,100,3,2,4,0,0,0,0,0,0,90000
79,4140644,2002,80,100,3,2,2,0,0,0,0,0,0,90000
80,4140645,2002,80,100,3,2,2,0,0,0,0,0,0,90000
81,4140646,3004,80,100,3,2,4,0,0,0,0,0,0,90000
82,4140647,3004,80,100,3,2,4,0,0,0,0,0,0,90000
83,4140648,3004,80,100,3,2,4,0,0,0,0,0,0,90000
84,4140801,9001,100,100,5,2,4,10,10,10,10,0,0,90000
85,6000001,2002,30,100,2,2,2,0,0,0,0,0,0,90000
86,6000002,1008,30,100,5,2,3,5,5,5,0,0,0,90000
87,6000003,2012,30,100,3,2,3,0,0,0,0,0,0,90000
88,6000004,2012,30,100,3,2,3,0,0,0,0,0,0,90000
89,6000005,2003,30,100,5,2,3,0,0,0,0,0,0,90000
90,6510101,1006,100,100,3,2,4,10,10,5,5,0,0,90000
91,6510102,2009,100,100,3,2,4,0,0,5,5,0,0,90000
92,6510103,2004,100,100,3,2,4,0,0,5,5,0,0,90000
93,6510104,2004,100,100,3,2,4,0,0,5,5,0,0,90000
94,6510201,1010,100,100,3,2,4,10,10,5,5,0,0,90000
95,6510202,2009,100,100,3,2,4,0,0,5,5,0,0,90000
96,6510203,2004,100,100,3,2,4,0,0,5,5,0,0,90000
97,6510204,2004,100,100,3,2,4,0,0,5,5,0,0,90000
98,6510301,2006,100,100,3,2,4,0,0,5,5,0,0,90000
99,6510303,2006,100,100,3,2,4,0,0,5,5,0,0,90000
100,6510304,2004,100,100,3,2,4,0,0,5,5,0,0,90000
101,6510305,2004,100,100,3,2,4,0,0,5,5,0,0,90000
102,6510306,2004,100,100,3,2,4,0,0,5,5,0,0,90000
