,id,grid,grid_number,rank_weight,code
61,143,"1,4|1,5|2,3|2,4|2,5|2,6|3,3|3,4|3,5|3,6|3,7|4,6|4,7|4,8|5,6|5,7|5,8|6,3|6,4|6,5|6,6|6,7|7,3|7,4|7,5|7,6|8,4|8,5",28,0,
62,144,"1,4|1,5|2,3|2,4|2,5|2,6|3,3|3,4|3,5|3,6|3,7|4,2|4,3|4,6|4,7|4,8|5,2|5,3|5,6|5,7|5,8|6,3|6,4|6,5|6,6|6,7|7,3|7,4|7,5|7,6|8,4|8,5",32,0,
63,145,"1,4|1,5|2,3|2,4|2,5|2,6|3,2|3,3|3,4|3,5|3,6|3,7|4,1|4,2|4,3|4,6|4,7|4,8|5,1|5,2|5,3|5,6|5,7|5,8|6,2|6,3|6,4|6,5|6,6|6,7|7,3|7,4|7,5|7,6|8,4|8,5",36,0,
64,151,"2,3|2,4|2,5|3,3|3,4|3,5|4,4|4,5|5,4|5,5|6,3|6,4|6,5|7,3|7,4|7,5",16,0,
65,152,"2,3|2,4|2,5|3,2|3,3|3,4|3,5|4,1|4,2|4,3|4,4|4,5|5,1|5,2|5,3|5,4|5,5|6,2|6,3|6,4|6,5|7,3|7,4|7,5",24,0,
66,153,"2,3|2,4|2,5|2,6|2,7|3,2|3,3|3,4|3,5|3,6|4,1|4,2|4,3|4,4|4,5|5,1|5,2|5,3|5,4|5,5|6,2|6,3|6,4|6,5|6,6|7,3|7,4|7,5|7,6|7,7",30,0,
67,154,"1,4|1,5|2,3|2,4|2,5|2,6|2,7|3,2|3,3|3,4|3,5|3,6|4,1|4,2|4,3|4,4|4,5|5,1|5,2|5,3|5,4|5,5|6,2|6,3|6,4|6,5|6,6|7,3|7,4|7,5|7,6|7,7|8,4|8,5",34,0,
68,155,"1,4|1,5|1,6|1,7|2,3|2,4|2,5|2,6|2,7|3,2|3,3|3,4|3,5|3,6|4,1|4,2|4,3|4,4|4,5|5,1|5,2|5,3|5,4|5,5|6,2|6,3|6,4|6,5|6,6|7,3|7,4|7,5|7,6|7,7|8,4|8,5|8,6|8,7",38,0,
69,161,"1,3|1,4|2,3|2,4|3,1|3,2|3,3|3,4|4,1|4,2|4,3|4,4|5,3|5,4|6,3|6,4",16,0,
70,162,"1,3|1,4|2,3|2,4|3,1|3,2|3,3|3,4|3,5|3,6|3,7|3,8|4,1|4,2|4,3|4,4|4,5|4,6|4,7|4,8|5,3|5,4|6,3|6,4",24,0,
71,163,"1,3|1,4|2,3|2,4|3,1|3,2|3,3|3,4|3,5|3,6|3,7|3,8|4,1|4,2|4,3|4,4|4,5|4,6|4,7|4,8|5,3|5,4|5,5|6,3|6,4|6,5|7,3|7,4|8,3|8,4",30,0,
72,164,"1,3|1,4|2,3|2,4|3,1|3,2|3,3|3,4|3,5|3,6|3,7|3,8|4,1|4,2|4,3|4,4|4,5|4,6|4,7|4,8|5,3|5,4|5,5|5,6|6,3|6,4|6,5|6,6|7,3|7,4|7,5|7,6|8,3|8,4",34,0,
73,165,"1,3|1,4|2,2|2,3|2,4|3,1|3,2|3,3|3,4|3,5|3,6|3,7|3,8|4,1|4,2|4,3|4,4|4,5|4,6|4,7|4,8|5,3|5,4|5,5|5,6|5,7|6,3|6,4|6,5|6,6|6,7|7,3|7,4|7,5|7,6|7,7|8,3|8,4",38,0,
74,171,"3,4|3,5|4,3|4,4|4,5|4,6|4,7|5,3|5,4|5,5|5,6|5,7|6,4|6,5|7,4|7,5",16,0,
75,172,"2,4|2,5|3,4|3,5|4,2|4,3|4,4|4,5|4,6|4,7|5,2|5,3|5,4|5,5|5,6|5,7|6,4|6,5|7,4|7,5",20,0,
76,173,"2,4|2,5|3,3|3,4|3,5|3,6|4,2|4,3|4,4|4,5|4,6|4,7|5,2|5,3|5,4|5,5|5,6|5,7|6,3|6,4|6,5|6,6|7,4|7,5",24,0,
77,174,"1,4|1,5|2,4|2,5|3,3|3,4|3,5|3,6|4,2|4,3|4,4|4,5|4,6|4,7|5,2|5,3|5,4|5,5|5,6|5,7|6,3|6,4|6,5|6,6|7,4|7,5|8,4|8,5",28,0,
78,175,"1,4|1,5|2,4|2,5|3,3|3,4|3,5|3,6|4,1|4,2|4,3|4,4|4,5|4,6|4,7|4,8|5,1|5,2|5,3|5,4|5,5|5,6|5,7|5,8|6,3|6,4|6,5|6,6|7,4|7,5|8,4|8,5",32,0,
79,901,"3,3|3,4|3,5|3,6|4,2|4,3|4,6|4,7|5,2|5,3|5,6|5,7|6,3|6,4|6,5|6,6",16,0,
80,902,"2,4|2,5|3,3|3,4|3,5|3,6|3,7|4,2|4,3|4,6|4,7|5,2|5,3|5,6|5,7|6,2|6,3|6,4|6,5|6,6|7,4|7,5",22,0,
81,903,"2,3|2,4|2,5|2,6|3,2|3,3|3,4|3,5|3,6|3,7|4,2|4,3|4,6|4,7|5,2|5,3|5,6|5,7|6,2|6,3|6,4|6,5|6,6|6,7|7,3|7,4|7,5|7,6",28,0,
82,904,"1,4|2,3|2,4|2,5|2,6|3,2|3,3|3,4|3,5|3,6|3,7|4,2|4,3|4,6|4,7|4,8|5,1|5,2|5,3|5,6|5,7|6,2|6,3|6,4|6,5|6,6|6,7|7,3|7,4|7,5|7,6|8,5",32,0,
83,905,"1,4|1,5|2,3|2,4|2,5|2,6|3,2|3,3|3,4|3,5|3,6|3,7|4,1|4,2|4,3|4,6|4,7|4,8|5,1|5,2|5,3|5,6|5,7|5,8|6,2|6,3|6,4|6,5|6,6|6,7|7,3|7,4|7,5|7,6|8,4|8,5",36,0,
