,id,icon_colors
0,1,"62,71,69;185,255,48"
84,85,"59,79,99;255,247,232"
85,86,"128,96,83;255,247,232"
86,87,"225,106,70;242,188,164"
87,88,"45,45,45;199,199,199"
88,89,"63,63,63;254,251,249"
89,90,"91,94,95;246,243,241"
90,91,"48,64,85;227,227,227"
91,92,"254,251,249;64,64,64"
92,93,"150,52,50;254,251,249"
93,94,"45,45,45;199,199,199"
94,95,"63,63,63;0,0,0"
95,96,"91,94,95;246,243,241"
96,97,"48,64,85;0,0,0"
97,98,"254,251,249;64,64,64"
98,99,"150,52,50;19,16,16"
99,100,"150,47,56;185,126,68"
100,101,"155,39,39;0,0,0"
101,102,"255,255,255;243,175,79"
102,103,"241,150,84;103,40,3"
103,104,"246,243,239;154,39,32"
104,105,"255,255,255;196,179,171"
105,106,"138,17,14;250,196,92"
106,107,"86,84,84;255,247,232"
107,108,"212,176,179;255,247,232"
108,109,"66,86,96;255,247,232"
109,110,"255,239,238;201,190,178"
110,111,"112,90,123;242,188,164"
111,112,"180,159,143;242,188,164"
112,113,"245,246,251;38,74,161"
113,114,"55,55,55;253,247,243"
114,115,"199,147,230;250,246,251"
115,116,"219,163,254;50,51,69"
116,117,"255,175,121;225,225,225"
117,118,"237,224,218;80,80,80"
118,119,"245,246,251;38,74,161"
119,120,"55,55,55;253,247,243"
120,121,"199,147,230;250,246,251"
121,122,"219,163,254;50,51,69"
122,123,"255,175,121;225,225,225"
123,124,"237,224,218;80,80,80"
124,125,"247,238,222;60,66,72"
125,126,"50,50,50;255,247,232"
126,127,"252,220,165;255,247,232"
127,128,"51,45,43;90,200,200"
128,129,"43,56,63;228,116,126"
129,130,"236,232,224;255,247,232"
130,131,"237,224,218;80,80,80"
131,132,"82,75,75;255,247,232"
132,133,"255,233,196;255,247,232"
133,134,"255,249,244;242,188,164"
134,135,"162,110,96;242,188,164"
135,136,"255,184,203;255,247,232"
136,137,"226,226,226;255,247,232"
137,138,"49,60,73;0,0,0"
138,139,"230,174,120;43,21,11"
139,140,"255,212,196;255,255,255"
140,141,"224,122,163;0,0,0"
141,142,"83,171,146;0,0,0"
142,143,"237,168,179;81,67,67"
143,144,"255,255,255;50,50,81"
144,145,"255,255,255;187,156,91"
145,146,"50,81,53;255,255,255"
146,147,"237,139,151;39,39,39"
147,148,"131,25,25;255,255,255"
148,149,"20,61,111;255,255,255"
149,150,"255,255,255;60,60,60"
150,151,"255,255,255;161,34,34"
151,152,"153,35,58;60,60,60"
152,153,"252,221,179;53,53,53"
153,154,"255,255,255;249,92,127"
154,155,"255,255,255;34,58,161"
155,156,"116,108,106;255,255,255"
156,157,"230,175,121;69,51,33"
157,158,"245,78,117;255,255,255"
158,159,"69,51,33;230,175,121"
159,160,"125,98,69;255,255,255"
160,161,"204,178,131;255,255,255"
161,162,"49,51,63;62,54,88"
162,163,"138,127,125;33,33,33"
163,164,"56,56,56;0,0,0"
164,165,"56,56,56;79,51,26"
165,166,"56,56,56;48,16,16"
166,167,"49,51,63;0,0,0"
167,168,"74,65,71;255,203,187"
168,169,"149,113,104;73,65,71"
169,170,"73,65,71;188,120,104"
170,171,"73,65,71;46,33,29"
171,172,"74,65,71;161,34,34"
172,173,"72,64,70;34,58,161"
173,174,"88,79,82;215,209,208"
174,175,"222,157,100;69,87,42"
175,176,"253,192,106;133,48,29"
176,177,"167,35,35;57,12,12"
177,178,"175,163,155;0,0,0"
178,179,"171,162,159;234,161,14"
179,180,"63,63,63;255,247,232"
180,181,"230,178,120;255,247,232"
181,182,"129,106,92;242,188,164"
182,183,"61,71,78;255,247,232"
183,184,"236,230,225;242,188,164"
184,185,"255,225,172;255,247,232"
185,186,"63,53,53;121,242,249"
186,187,"220,177,132;60,60,60"
187,188,"54,54,54;128,195,242"
188,189,"236,230,225;242,128,156"
189,190,"249,162,144;242,213,128"
190,191,"255,255,172;218,150,220"
191,192,"116,31,31;115,113,113"
192,193,"116,31,31;255,255,255"
193,194,"0,0,0;255,255,255"
194,195,"36,37,39;212,168,103"
195,196,"0,0,0;142,131,119"
196,197,"116,31,31;118,139,62"
197,198,"213,213,213;48,48,48"
198,199,"60,60,60;219,177,132"
199,200,"60,60,60;134,23,23"
200,201,"152,157,126;60,60,60"
201,202,"134,22,22;60,60,60"
202,203,"134,23,23;50,80,122"
203,204,"215,215,215;255,255,255"
204,205,"220,177,132;60,60,60"
205,206,"255,255,255;60,60,60"
206,207,"117,20,20;60,60,60"
207,208,"60,60,60;255,169,189"
208,209,"255,170,189;255,255,255"
209,210,"204,154,110;70,133,151"
210,211,"229,216,58;102,129,40"
211,212,"171,48,46;102,129,40"
212,213,"139,124,103;216,127,92"
213,214,"52,52,52;91,133,158"
214,215,"82,20,18;255,255,255"
215,216,"0,0,0;45,48,65"
216,217,"0,0,0;109,109,109"
217,218,"0,0,0;73,89,131"
218,219,"0,0,0;87,74,66"
219,220,"0,0,0;90,61,50"
220,221,"0,0,0;84,96,104"
221,222,"255,247,232;60,60,60"
222,223,"65,49,46;242,188,164"
223,224,"65,49,46;60,60,60"
224,225,"65,49,46;255,247,232"
225,226,"208,180,173;255,247,232"
226,227,"208,180,173;242,188,164"
227,228,"99,69,61;240,173,117"
228,229,"60,53,52;221,105,104"
229,230,"53,52,81;218,129,164"
230,231,"213,196,184;236,186,111"
231,232,"247,212,145;129,218,216"
232,233,"228,138,111;183,216,131"
233,234,"78,62,68;240,173,117"
234,235,"236,230,225;214,107,124"
235,236,"195,169,145;186,213,129"
236,237,"45,45,45;129,188,213"
237,238,"250,214,146;106,188,213"
238,239,"164,64,64;240,205,113"
239,240,"219,144,74;0,0,0"
240,241,"242,192,56;255,255,255"
241,242,"0,0,0;64,64,64"
242,243,"255,255,255;139,26,41"
243,244,"103,103,103;24,24,24"
244,245,"239,175,179;84,78,79"
245,246,"35,38,54;255,255,255"
246,247,"46,46,46;207,181,59"
247,248,"216,193,172;80,75,75"
248,249,"229,222,218;255,255,255"
249,250,"255,255,255;86,86,86"
250,251,"130,32,31;255,255,255"
251,252,"203,76,71;255,255,255"
252,253,"255,255,255;46,46,46"
253,254,"86,51,51;255,255,255"
254,255,"255,255,255;74,67,66"
255,256,"242,206,140;255,255,255"
256,257,"51,51,88;255,255,255"
257,258,"12,12,12;255,255,255"
258,259,"75,21,26;241,187,106"
259,260,"114,17,23;224,163,52"
260,261,"75,21,26;255,228,201"
261,262,"22,19,18;116,106,99"
262,263,"117,97,69;117,30,22"
263,264,"35,38,54;45,45,45"
264,265,"46,46,46;169,137,111"
265,266,"66,50,44;45,45,45"
266,267,"175,162,149;90,82,75"
267,268,"86,86,86;26,27,28"
268,269,"79,33,34;33,31,29"
269,270,"255,202,186;144,28,40"
270,271,"255,255,255;198,170,161"
271,272,"255,202,186;100,57,41"
272,273,"69,53,49;0,0,0"
273,274,"58,33,25;255,255,255"
274,275,"255,255,255;188,120,104"
275,276,"64,74,82;217,214,217"
276,277,"77,117,162;242,242,242"
277,278,"99,98,102;199,128,186"
278,279,"102,57,56;94,207,225"
279,280,"211,210,219;124,198,247"
280,281,"117,153,154;183,183,183"
281,282,"165,133,117;186,213,129"
282,283,"84,84,84;247,124,133"
283,284,"93,72,77;247,123,141"
284,285,"110,110,110;132,215,228"
285,286,"218,218,224;124,198,247"
286,287,"73,90,106;183,130,207"
287,288,"222,187,155;186,213,129"
288,289,"119,155,156;183,183,183"
289,290,"57,56,55;234,152,117"
290,291,"0,0,0;70,148,211"
291,292,"57,56,55;157,132,128"
292,293,"255,255,255;78,68,100"
293,294,"255,255,255;201,219,128"
294,295,"237,146,135;171,104,134"
295,296,"189,205,225;255,255,255"
296,297,"237,237,237;83,83,83"
297,298,"210,147,153;121,64,80"
298,299,"219,219,219;96,96,96"
299,300,"249,237,226;143,164,108"
300,301,"84,84,84;150,52,57"
301,302,"255,255,255;254,203,187"
302,303,"188,121,105;63,61,60"
303,304,"255,187,181;255,255,255"
304,305,"150,150,150;255,187,181"
305,306,"255,255,255;112,113,138"
306,307,"255,203,187;85,93,130"
307,308,"255,255,255;113,74,92"
308,309,"255,255,255;82,100,113"
309,310,"255,255,255;106,43,50"
310,311,"254,165,203;240,174,95"
311,312,"254,180,177;176,122,170"
312,313,"170,212,255;134,123,176"
313,314,"189,205,225;255,255,255"
314,315,"237,237,237;83,83,83"
315,316,"210,147,153;121,64,80"
316,317,"219,219,219;96,96,96"
317,318,"249,237,226;143,164,108"
318,319,"84,84,84;30,29,29"
319,320,"254,203,187;206,193,197"
320,321,"242,188,164;188,121,105"
321,322,"128,87,94;53,35,41"
322,323,"255,247,232;255,187,181"
323,324,"255,203,187;255,255,255"
324,325,"255,247,232;255,203,187"
325,326,"103,48,50;245,245,245"
326,327,"255,126,126;255,17,17"
327,328,"238,149,21;255,112,29"
328,329,"31,194,48;35,236,108"
329,330,"105,30,185;130,38,195"
330,331,"159,159,159;180,180,180"
331,332,"36,135,214;25,160,187"
332,333,"44,97,135;208,23,59"
333,334,"228,26,22;19,95,194"
334,335,"48,49,52;99,154,187"
335,336,"233,229,223;179,59,59"
336,337,"218,177,124;96,189,179"
337,338,"124,84,73;96,182,189"
338,339,"117,117,117;154,155,155"
339,340,"154,63,58;131,108,132"
340,341,"220,218,218;72,72,72"
341,342,"39,38,39;163,55,88"
342,343,"72,102,111;108,108,142"
343,344,"163,94,77;122,126,78"
344,345,"227,181,128;163,55,88"
345,346,"132,132,132;88,130,122"
346,347,"32,26,26;198,198,198"
347,348,"144,141,139;74,37,41"
348,349,"250,243,239;255,204,89"
349,350,"224,218,217;66,35,35"
350,351,"252,252,252;79,71,70"
351,352,"82,60,40;209,209,209"
352,353,"56,56,57;156,154,154"
353,354,"231,231,231;76,76,76"
354,355,"53,78,80;117,87,71"
355,356,"66,50,43;91,90,93"
356,357,"126,124,123;66,66,66"
357,358,"126,57,57;78,78,78"
358,359,"182,182,182;73,51,53"
359,360,"175,171,172;85,43,45"
360,361,"189,189,189;80,57,49"
361,362,"183,182,182;34,33,33"
362,363,"148,120,96;71,29,28"
363,364,"126,122,120;48,76,102"
364,365,"13,10,10;130,86,67"
365,366,"62,62,62;112,110,113"
366,367,"13,10,10;133,133,133"
367,368,"114,114,114;69,17,1"
368,369,"120,117,113;117,88,72"
369,370,"17,13,11;63,47,37"
370,371,"56,56,57;156,154,154"
371,372,"140,111,89;231,231,231"
372,373,"53,78,80;160,158,158"
373,374,"66,50,43;102,43,44"
374,375,"66,66,66;140,111,89"
375,376,"126,57,57;78,78,78"
376,377,"169,167,167;75,57,54"
377,378,"175,171,172;85,43,45"
378,379,"196,192,191;155,153,152"
379,380,"174,169,166;126,104,91"
380,381,"75,56,53;148,120,96"
381,382,"126,122,120;75,56,54"
382,383,"83,83,83;240,166,117"
383,384,"213,215,218;60,60,60"
384,385,"135,107,85;175,156,201"
385,386,"140,80,84;183,85,97"
386,387,"247,208,144;255,97,115"
387,388,"117,172,164;137,195,210"
388,389,"136,97,96;93,52,51"
389,390,"42,49,64;160,117,169"
390,391,"90,90,90;124,183,189"
391,392,"200,169,146;216,136,72"
392,393,"171,187,185;144,144,144"
393,394,"249,246,244;240,128,162"
394,395,"248,236,228;141,110,95"
395,396,"139,106,83;72,70,67"
396,397,"205,175,141;22,22,22"
397,398,"234,174,103;88,64,38"
398,399,"187,117,89;188,156,108"
399,400,"204,168,141;55,46,70"
400,401,"63,63,63;135,135,135"
401,402,"63,63,63;255,255,255"
402,403,"82,74,102;198,198,198"
403,404,"120,46,48;63,63,63"
404,405,"63,63,63;187,190,189"
405,406,"248,249,249;84,84,84"
406,407,"93,45,44;174,137,113"
407,408,"66,66,66;248,248,248"
408,409,"127,179,207;229,232,233"
409,410,"182,159,213;248,249,240"
410,411,"66,66,66;22,80,98"
411,412,"248,249,240;62,64,63"
412,413,"37,37,37;147,118,80"
413,414,"33,34,30;194,52,38"
414,415,"244,235,232;47,45,45"
415,416,"136,31,31;28,26,26"
416,417,"33,95,101;192,188,187"
417,418,"119,30,15;197,120,6"
418,419,"135,135,135;72,67,68"
419,420,"255,255,255;71,66,67"
420,421,"61,61,61;211,211,211"
421,422,"78,50,53;210,210,210"
422,423,"111,65,62;72,67,68"
423,424,"25,44,77;72,67,68"
424,425,"93,45,44;174,137,113"
425,426,"66,66,66;248,248,248"
426,427,"127,179,207;229,232,233"
427,428,"182,159,213;248,249,240"
428,429,"66,66,66;22,80,98"
429,430,"248,249,240;62,64,63"
430,431,"163,28,23;0,0,0"
431,432,"169,173,172;0,0,0"
432,433,"17,63,135;0,0,0"
433,434,"150,119,20;0,0,0"
434,435,"20,134,133;0,0,0"
435,436,"75,115,46;0,0,0"
436,437,"21,18,19;239,234,234"
437,438,"235,228,225;250,1,95"
438,439,"92,72,54;18,16,15"
439,440,"0,0,0;32,94,6"
440,441,"0,0,0;159,111,73"
441,442,"211,204,203;67,67,67"
442,443,"102,83,76;121,149,165"
443,444,"187,169,152;158,158,158"
444,445,"199,176,116;121,165,159"
445,446,"91,91,91;121,149,165"
446,447,"235,235,235;197,161,112"
447,448,"117,74,69;164,165,121"
448,449,"172,132,126;211,163,96"
449,450,"111,111,111;153,80,81"
450,451,"231,220,209;82,135,155"
451,452,"191,172,155;92,164,135"
452,453,"108,131,140;113,135,128"
453,454,"222,197,147;117,117,117"
454,455,"36,39,42;231,226,228"
455,456,"161,162,166;173,119,87"
456,457,"53,57,69;18,18,18"
457,458,"243,199,51;129,49,47"
458,459,"209,207,210;62,62,68"
459,460,"174,26,28;138,146,125"
460,461,"230,230,230;78,78,78"
461,462,"84,27,34;104,66,70"
462,463,"64,64,68;178,178,178"
463,464,"231,231,231;63,48,34"
464,465,"83,102,117;90,89,89"
465,466,"26,36,29;114,121,93"
466,467,"53,53,53;146,164,53"
467,468,"59,64,86;62,62,62"
468,469,"150,150,150;72,72,72"
469,470,"244,106,67;146,164,53"
470,471,"99,66,53;53,53,53"
471,472,"153,154,162;225,225,225"
472,473,"158,160,154;69,70,65"
473,474,"255,255,255;255,141,187"
474,475,"47,52,116;162,159,160"
475,476,"27,27,27;162,132,86"
476,477,"40,40,40;247,201,99"
477,478,"82,72,53;79,80,79"
478,479,"37,40,55;230,230,230"
479,480,"79,102,126;47,47,47"
480,481,"121,122,128;83,60,42"
481,482,"210,210,210;128,128,128"
482,483,"71,71,71;170,170,170"
483,484,"102,101,89;164,164,164"
484,485,"39,56,71;237,237,237"
485,486,"59,64,86;62,62,62"
486,487,"69,79,80;237,237,237"
487,488,"52,55,59;137,137,137"
488,489,"78,96,90;67,67,67"
489,490,"203,203,203;173,173,173"
490,491,"254,254,254;147,41,25"
491,492,"56,59,67;192,192,192"
492,493,"195,216,219;255,5,4"
493,494,"64,63,62;165,115,86"
494,495,"237,231,225;133,182,234"
495,496,"206,69,59;234,169,70"
496,497,"185,135,107;165,99,86"
497,498,"47,46,88;183,102,154"
498,499,"221,179,125;102,162,183"
499,500,"245,240,236;221,108,167"
500,501,"224,193,151;165,165,165"
501,502,"75,75,75;221,110,108"
502,503,"99,82,71;137,144,112"
503,504,"185,177,174;249,174,63"
504,505,"139,99,96;165,43,51"
505,506,"86,63,58;46,35,32"
506,507,"16,16,16;90,86,84"
507,508,"106,96,91;32,32,32"
508,509,"149,126,114;44,33,31"
509,510,"124,111,104;218,218,218"
510,511,"97,83,75;48,47,47"
511,512,"130,99,82;67,67,67"
512,513,"85,85,85;240,238,238"
513,514,"123,96,81;149,27,42"
514,515,"95,99,74;60,60,60"
515,516,"217,204,191;165,45,40"
516,517,"84,84,84;34,53,88"
517,518,"159,132,117;63,63,63"
518,519,"64,64,78;170,174,180"
519,520,"159,132,117;42,42,42"
520,521,"113,113,113;222,208,199"
521,522,"219,206,196;63,63,63"
522,523,"159,132,117;130,153,177"
523,524,"26,29,30;197,192,173"
524,525,"138,104,85;0,0,0"
525,526,"100,97,100;129,90,72"
526,527,"107,83,114;64,64,64"
527,528,"30,30,30;165,144,104"
528,529,"76,74,76;205,204,205"
529,530,"64,64,64;25,25,25"
530,531,"238,236,236;25,25,25"
531,532,"212,188,174;25,25,25"
532,533,"183,149,126;25,25,25"
533,534,"48,50,74;25,25,25"
534,535,"114,114,114;25,25,25"
535,536,"231,202,105;255,255,255"
536,537,"57,47,45;93,75,72"
537,538,"255,202,186;231,202,205"
538,539,"255,202,186;231,220,218"
539,540,"57,47,45;74,68,65"
540,541,"66,43,36;107,82,74"
541,542,"243,185,173;42,39,37"
542,543,"255,228,159;54,41,35"
543,544,"255,213,93;173,93,22"
544,545,"83,73,80;160,59,65"
545,546,"255,185,124;58,58,44"
546,547,"242,165,157;251,238,228"
547,548,"209,71,57;144,72,128"
548,549,"221,221,221;221,221,221"
549,550,"221,221,221;221,221,221"
550,551,"220,255,0;255,70,0"
551,552,"43,46,48;19,216,226"
552,553,"79,79,79;42,231,176"
553,554,"162,161,160;243,205,160"
554,555,"248,248,248;195,58,57"
555,556,"164,48,50;225,195,110"
556,557,"253,202,119;61,165,139"
557,558,"255,255,255;243,90,122"
558,559,"255,255,255;141,130,130"
559,560,"70,70,70;90,183,244"
560,561,"216,66,81;174,99,238"
561,562,"255,233,168;244,88,122"
562,563,"43,45,65;236,98,222"
563,564,"255,255,255;255,255,255"
564,565,"121,164,163;228,181,131"
565,566,"255,255,255;225,100,126"
566,567,"13,247,222;211,36,13"
567,568,"83,112,37;235,203,69"
568,569,"227,119,112;255,236,235"
569,570,"249,241,231;42,42,42"
570,571,"59,59,59;251,251,251"
571,572,"113,113,113;59,59,59"
572,573,"219,210,212;59,59,59"
573,574,"59,59,59;82,68,90"
574,575,"59,59,59;71,47,41"
575,576,"75,75,75;255,255,255"
576,577,"255,255,255;51,45,47"
577,578,"75,75,75;159,159,159"
578,579,"75,75,75;240,110,142"
579,580,"255,166,188;104,98,97"
580,581,"75,75,75;133,174,201"
581,582,"84,72,63;0,0,0"
582,583,"0,0,0;151,93,78"
583,584,"98,117,72;191,192,172"
584,585,"219,180,125;254,253,209"
585,586,"162,25,44;233,217,65"
586,587,"255,255,255;132,182,92"
587,588,"60,60,60;83,90,93"
588,589,"60,60,60;79,79,79"
589,590,"60,60,60;162,161,160"
590,591,"60,60,60;248,248,248"
591,592,"60,60,60;164,48,50"
592,593,"60,60,60;253,202,119"
593,594,"251,214,204;252,132,151"
594,595,"221,200,207;90,78,78"
595,596,"90,78,78;255,255,255"
596,597,"216,66,81;251,214,204"
597,598,"255,233,168;251,214,204"
598,599,"251,214,204;43,45,65"
599,600,"104,81,73;94,177,177"
600,601,"255,228,169;59,183,173"
601,602,"235,197,123;198,96,109"
602,603,"249,246,239;136,166,185"
603,604,"79,78,76;167,136,192"
604,605,"196,67,90;198,96,109"
605,606,"235,229,225;240,115,114"
606,607,"193,136,179;233,159,111"
607,608,"54,53,53;240,115,114"
608,609,"222,207,199;136,125,231"
609,610,"128,106,94;126,202,223"
610,611,"113,117,155;233,156,110"
611,612,"255,255,255;95,96,109"
612,613,"241,41,47;116,142,77"
613,614,"38,38,42;89,95,115"
614,615,"36,35,37;168,152,123"
615,616,"158,48,46;210,170,143"
616,617,"220,207,191;102,60,48"
617,618,"74,72,71;255,255,255"
618,619,"255,255,255;27,47,79"
619,620,"58,137,162;63,63,63"
620,621,"231,208,175;204,177,213"
621,622,"109,108,151;255,255,255"
622,623,"248,184,173;255,255,255"
623,624,"246,241,238;108,83,72"
624,625,"255,255,255;250,144,144"
625,626,"63,63,63;254,169,169"
626,627,"255,255,255;248,163,163"
627,628,"152,186,175;237,244,239"
628,629,"255,255,255;79,133,173"
629,630,"255,196,191;162,43,44"
630,631,"103,49,37;57,56,64"
631,632,"131,84,62;255,255,255"
632,633,"209,67,70;158,98,76"
633,634,"251,50,51;28,27,38"
634,635,"33,49,180;28,27,38"
635,636,"57,56,55;87,90,94"
636,637,"255,255,255;174,188,207"
637,638,"101,101,101;26,26,26"
638,639,"187,169,141;104,75,59"
639,640,"63,63,99;18,19,32"
640,641,"252,235,215;255,255,255"
641,642,"246,241,238;108,83,72"
642,643,"255,202,186;83,83,83"
643,644,"75,75,75;254,146,146"
644,645,"255,255,255;188,120,104"
645,646,"188,120,104;92,92,92"
646,647,"255,202,186;133,194,212"
647,648,"58,51,50;166,166,166"
648,649,"84,75,74;79,204,201"
649,650,"234,189,132;76,184,139"
650,651,"30,30,30;118,103,95"
651,652,"88,69,67;153,80,80"
652,653,"231,231,233;240,199,134"
653,654,"71,101,120;180,115,182"
654,655,"84,75,74;79,204,201"
655,656,"234,189,132;76,184,139"
656,657,"30,30,30;118,103,95"
657,658,"88,69,67;153,80,80"
658,659,"231,231,233;240,199,134"
659,660,"71,101,120;180,115,182"
660,661,"178,22,25;255,255,255"
661,662,"255,255,255;161,156,155"
662,663,"255,255,255;165,165,165"
663,664,"180,180,180;130,17,0"
664,665,"54,40,36;241,61,12"
665,666,"111,104,100;38,37,37"
666,667,"77,73,73;119,39,45"
667,668,"186,186,186;123,41,47"
668,669,"85,90,69;45,43,42"
669,670,"103,45,42;45,43,42"
670,671,"70,66,77;45,43,42"
671,672,"116,107,102;45,43,42"
672,673,"77,73,73;119,39,45"
673,674,"186,186,186;123,41,47"
674,675,"85,90,69;45,43,42"
675,676,"103,45,42;45,43,42"
676,677,"70,66,77;45,43,42"
677,678,"116,107,102;45,43,42"
678,679,"112,78,77;168,115,76"
679,680,"111,107,100;98,82,58"
680,681,"100,92,88;253,87,82"
681,682,"87,78,73;123,8,33"
682,683,"201,193,184;19,21,107"
683,684,"203,203,203;250,28,70"
684,685,"77,73,73;104,99,99"
685,686,"186,186,186;255,255,255"
686,687,"85,90,69;126,135,104"
687,688,"33,33,33;70,70,70"
688,689,"70,66,77;101,96,111"
689,690,"116,107,102;168,154,147"
690,691,"77,73,73;104,99,99"
691,692,"186,186,186;255,255,255"
692,693,"85,90,69;126,135,104"
693,694,"136,58,54;106,89,89"
694,695,"70,66,77;101,96,111"
695,696,"116,107,102;168,154,147"
696,697,"122,129,54;70,57,53"
697,698,"68,66,64;79,204,201"
698,699,"169,135,111;79,204,201"
699,700,"26,21,14;204,174,131"
700,701,"113,86,77;36,34,34"
701,702,"207,204,213;46,38,35"
702,703,"30,20,18;114,68,54"
703,704,"46,45,44;242,208,165"
704,705,"49,49,49;147,147,147"
705,706,"90,71,63;121,199,223"
706,707,"48,48,48;198,138,96"
707,708,"67,67,75;115,213,209"
708,709,"251,247,237;180,239,237"
709,710,"255,228,169;198,96,109"
710,711,"159,154,148;85,76,79"
711,712,"84,75,73;255,174,70"
712,713,"45,45,45;205,92,100"
713,714,"74,82,84;219,106,202"
714,715,"189,141,123;239,138,150"
715,716,"255,228,169;109,208,238"
716,717,"251,243,240;98,218,181"
717,718,"79,182,218;255,255,255"
718,719,"182,61,68;65,28,28"
719,720,"0,0,0;255,255,255"
720,721,"255,255,255;106,79,74"
721,722,"244,76,142;255,255,255"
722,723,"253,193,117;116,129,58"
723,724,"255,255,255;57,57,57"
724,725,"60,60,60;255,255,255"
725,726,"255,255,255;42,42,64"
726,727,"255,255,255;83,74,71"
727,728,"129,187,228;77,77,77"
728,729,"142,176,204;148,148,148"
729,730,"255,255,255;45,45,45"
730,731,"82,82,82;239,227,225"
731,732,"179,179,179;45,45,45"
732,733,"198,165,159;243,235,233"
733,734,"255,242,238;160,134,124"
734,735,"255,202,207;239,228,225"
735,736,"48,41,35;126,126,126"
736,737,"255,255,255;168,168,168"
737,738,"222,75,110;63,63,63"
738,739,"42,94,43;63,63,63"
739,740,"211,106,136;255,255,255"
740,741,"124,30,54;0,0,0"
741,742,"75,110,136;255,203,187"
742,743,"72,72,72;190,122,106"
743,744,"50,48,47;124,125,129"
744,745,"144,177,202;46,47,65"
745,746,"57,80,127;182,169,144"
746,747,"71,71,71;106,67,57"
747,748,"255,203,187;73,61,61"
748,749,"188,120,104;56,54,53"
749,750,"84,60,60;93,82,82"
750,751,"255,203,187;255,255,255"
751,752,"255,202,186;85,74,74"
752,753,"255,202,186;56,54,53"
753,754,"208,242,52;188,134,55"
