,parameter_name,parameter_type,parameter_value,client_require
359,special_develop_quickInput,int,10,1
360,special_develop_switch,int,1,1
361,special_equip_build,int,60,1
362,special_equip_develop_switch,int,1,1
363,special_equip_input,string,"1:2,20:4,50:6",1
364,special_equip_quickinput,int,10,1
365,special_equip_resource_range,string,"500,5000",1
366,speed_basic,string,"10,100",1
367,speed_teleport_mission,string,10823,1
368,spendpoint_max,string,"1,5000;2,20000;3,-1",1
369,squad_advanced_data_cell,int,20,1
370,squad_ap,string,"1,2,1",1
371,squad_atk_speed_coef,int,50,1
372,squad_basic_lv,int,50,1
373,squad_battle_attack_cost,string,"2,1",1
374,squad_battle_exp_damping,string,"10,5",1
375,squad_battle_exp_M1,int,10,1
376,squad_battle_exp_M2,string,"10,3",1
377,squad_battle_grade,string,"1,0.8",1
378,squad_chip_abandon_resource,string,"2:2,2,2,2|3:3,3,3,3|4:4,4,4,4|5:5,5,5,5",1
379,squad_chip_exp_basic_ratio,string,"2:50,3:100,4:200,5:300",1
380,squad_chip_exp_change_ratio,float,0.8,1
381,squad_chip_exp_indeed_ratio,string,"2:1,3:1,4:2,5:3",1
382,squad_chip_level_limit,string,"2:0,3:20,4:40,5:60",1
383,squad_chip_max_lv,int,30,1
384,squad_chip_rotate_cost,string,"2:20,3:30,4:40,5:50",1
385,squad_chip_same_color_bonus,int,120,1
386,squad_chip_strengthen_cost,string,"0.2,0.2,0.2,0.07",1
387,squad_dodge_coef,int,23,1
388,squad_general_data_item,int,519,1
389,squad_hit_coef,int,35,1
390,squad_lv_max,int,100,1
391,squad_mission_attack_cost,string,"2,2",1
392,squad_mission_standby_cost,string,"0,1",1
393,squad_population,int,3,1
394,squad_primary_data_cell,int,20,1
395,squad_rate_max,int,50,1
396,squad_rate_min,int,5,1
397,squad_repair_cost,string,"10,50,50",1
398,squad_repair_lv_coef,int,50,1
399,squad_repair_resource_coef,string,"100,50",1
400,squad_repair_time_coef,int,1728,1
401,squad_skill_training_battery,string,"1:50,2:80,3:100",1
402,squad_spreport_battery,int,3,1
403,squad_spreport_exp,int,3000,1
404,squad_strengthen_number,string,"1,3,3,2,1,10,5,1",1
405,squad_training_battery,int,5,1
406,squad_training_time_limit,int,24,1
407,squad_type_classify,string,"1:1,2,3|2:4,5|3:102",1
408,ssoc_change_unit_time,int,21600,1
409,stamina_recover_max,int,6,1
410,storage_limit,int,4000,1
411,support_daily_limit,int,20,1
412,support_limit,int,100,1
413,support_reward_limit,int,10,1
414,targettrain_battle_timelimit,int,300,1
415,targettrain_logmail_num,int,20,1
416,theater_adaptive_coef,string,"0,0",1
417,theater_adaptive_limit,int,0,1
418,theater_advantage_gun_score,int,120,1
419,theater_advantage_sangvis_score,int,120,1
420,theater_boss_pt_rank_coef,string,"0.4,0.3,0.2,0.1",1
421,theater_defeated_coef,int,60,1
422,theater_fairy_lv_coef,string,"50,150",1
423,theater_fairy_quality_coef,string,"5,10,15,20,25",1
424,theater_free_retry,int,5,1
425,theater_limittimetotip,int,1800,1
426,theater_rankfreshtime,int,3600,1
427,theater_sangvis_switch,int,1,1
428,theater_scout_limit_coef,int,3,1
429,trail_switch,int,1,1
430,translate_lv,int,10,1
431,translate_switch,int,0,1
432,translate_time_config,string,"1504800000,1506787199",1
433,trial_stamina_cost,int,3,1
434,trial_unlock_mission,int,90008,1
435,tutorial_guide_switch,string,1,1
436,tw_reset_first_pay_time,int,1531449000,1
437,use_friend_team_cd,int,21600,1
438,visit_period,int,8,1
439,wish_gun_special_rank_type,int,1,1
440,wish_gun_unique,int,1,1
