,id,type,special_spot_condition,mission_buff_condition,person_condition
259,50002602,3,500026*>0,,
260,50002700,4,,500027*==0,
261,50002701,4,,500027*>0,
262,50002702,3,500027*>0,,
263,50002800,4,,500028*==0,
264,50002801,4,,500028*>0,
265,50002802,3,500028*>0,,
266,50002900,4,,500029*==0,
267,50002901,4,,500029*>0,
268,50002902,3,500029*>0,,
269,50004100,3,500041*==0,,
270,50004101,3,500041*>0,,
271,50004200,3,500042*==0,,
272,50004201,3,500042*>0,,
273,50004300,3,500043*==0,,
274,50004301,3,500043*>0,,
275,50004400,3,500044*==0,,
276,50004401,3,500044*>0,,
277,50004500,3,500045*==0,,
278,50004501,3,500045*>0,,
279,50004600,3,500046*==0,,
280,50004601,3,500046*>0,,
281,50005001,3,500050*>0,,
282,50009900,4,,500099*<5,
283,50009905,4,,500099*>4,
284,50010001,6,,,500100*>0
285,50030101,3,500301*>0,,
286,50030201,3,500302*>0,,
287,50030301,3,500303*>0,,
288,50030401,3,500304*>0,,
289,50040100,4,,500401*==0,
290,50040101,4,,500401*>0,
291,50040200,4,,500402*==0,
292,50040201,4,,500402*>0,
293,50040300,4,,500403*==0,
294,50040301,4,,500403*>0,
295,50040400,4,,500404*==0,
296,50040401,4,,500404*>0,
297,50040500,4,,500405*==0,
298,50040501,4,,500405*>0,
299,50045101,3,500451*>0,,
300,50045201,3,500452*>0,,
301,50045301,3,500453*>0,,
302,50049101,5,,,500402*>0
303,50049201,5,,,500408*>0
304,50049301,5,,,500409*>0
305,50049401,6,,,500403*>0
306,50049501,6,,,500404*>0
307,50049601,6,,,500405*>0
308,50049701,3,500497*>0,,
309,50049900,4,,500499*==0,
310,50049901,4,,500499*>0,
311,51030100,5,,,510301*==0
312,51030101,5,,,510301*>0
313,51030201,3,510302*>0,,
314,51030301,3,510303*>0,,
315,51040101,3,510401*>0,,
316,51040201,3,510402*>0,,
317,51070100,4,,510701*==0,
318,51070101,4,,510701*>0,
319,51070102,2,,510701*>0,
320,51080001,3,510800*>0,,
321,51080101,3,510801*>0,,
322,51080201,3,510802*>0,,
323,51082200,3,510822*==0,,
324,51082201,3,510822*>0,,
325,51090000,6,,,510900*==0
326,51090001,6,,,510900*>0
327,51090101,3,510901*>0,,
328,51090201,3,510902*>0,,
329,51090301,3,510903*>0,,
330,51090400,4,,510904*==0,
331,51090401,4,,510904*>0,
332,51091301,3,510913*>0,,
333,51091400,4,,510914*==0,
334,51091401,4,,510914*>0,
335,51100100,3,511001*==0,,
336,51100101,3,511001*>0,,
337,51100201,3,511002*>0,,
338,51100301,3,511003*>0,,
339,51101101,3,511011*>0,,
340,51110101,3,511101*>0,,
341,51111101,3,511111*>0,,
342,51170100,3,511701*==0,,
343,90000190,3,900001*==0,,
344,90000191,3,900001*>0,,
345,100000090,4,,1000000*==0,
346,100000091,4,,1000000*>0,
347,100000190,3,1000001*==0,,
348,100000191,3,1000001*>0,,
349,100000480,3,1000004*==0,,
350,100000481,3,1000004*>0,,
351,100000490,4,,1000004*==0,
352,100000491,4,,1000004*>0,
353,100000590,4,,1000005*==0,
354,100000591,4,,1000005*>0,
355,100000680,4,,1000006*==0,
356,100000681,4,,1000006*>0,
357,100000790,3,1000007*==0,,
358,100000791,3,1000007*>0,,
359,100000880,4,,1000008*==0,
360,100000881,4,,1000008*>0,
361,100000980,4,,1000009*==0,
362,100000981,4,,1000009*>0,
363,100000990,3,1000009*==0,,
364,100000991,3,1000009*>0,,
365,100001180,4,,1000011*==0,
366,100001181,4,,1000011*>0,
367,100001190,3,1000011*==0,,
368,100001191,3,1000011*>0,,
369,100001590,3,1000015*==0,,
370,100001591,3,1000015*>0,,
371,100001890,3,1000018*==0,,
372,100001891,3,1000018*>0,,
373,100002490,3,1000024*==0,,
374,100002491,3,1000024*>0,,
375,100002590,3,1000025*==0,,
376,100002591,3,1000025*>0,,
377,100002890,3,1000028*==0,,
378,100002891,3,1000028*>0,,
379,100004190,3,1000041*==0,,
380,100004191,3,1000041*>0,,
381,100004290,3,1000042*==0,,
382,100004291,3,1000042*>0,,
383,100004390,3,1000043*==0,,
384,100004391,3,1000043*>0,,
385,100004490,3,1000044*==0,,
386,100004491,3,1000044*>0,,
387,100005290,3,1000052*==0,,
388,100005291,3,1000052*>0,,
389,100005890,3,1000058*==0,,
390,100005891,3,1000058*>0,,
391,100005990,3,1000059*==0,,
392,100005991,3,1000059*>0,,
393,100006090,3,1000060*==0,,
394,100006091,3,1000060*>0,,
395,100006790,3,1000067*==0,,
396,100006791,3,1000067*>0,,
397,100006890,3,1000068*==0,,
398,100006891,3,1000068*>0,,
399,100006990,3,1000069*==0,,
400,100006991,3,1000069*>0,,
401,100007200,3,1000072*==0,,
402,100007201,3,1000072*>0,,
403,100010090,3,1000100*==0,,
404,100010091,3,1000100*>0,,
405,100011190,3,1000111*==0,,
406,100011191,3,1000111*>0,,
407,100020090,3,1000200*==0,,
408,100020091,3,1000200*>0,,
409,100030090,3,1000300*==0,,
410,100030091,3,1000300*>0,,
411,100040090,3,1000400*==0,,
412,100040091,3,1000400*>0,,
413,100050090,3,1000500*==0,,
414,100050091,3,1000500*>0,,
415,100060090,3,1000600*==0,,
416,100060091,3,1000600*>0,,
417,100070090,3,1000700*==0,,
418,100070091,3,1000700*>0,,
419,100080090,3,1000800*==0,,
420,100080091,3,1000800*>0,,
421,100090090,3,1000900*==0,,
422,100090091,3,1000900*>0,,
423,100100090,3,1001000*==0,,
424,100100091,3,1001000*>0,,
425,100110090,3,1001100*==0,,
426,100110091,3,1001100*>0,,
427,101010090,3,1010100*==0,,
428,101010091,3,1010100*>0,,
429,101010190,3,1010101*==0,,
430,101010191,3,1010101*>0,,
431,101020090,3,1010200*==0,,
432,101020091,3,1010200*>0,,
433,101020190,3,1010201*==0,,
434,101020191,3,1010201*>0,,
435,101030090,3,1010300*==0,,
436,101030091,3,1010300*>0,,
437,101030190,3,1010301*==0,,
438,101030191,3,1010301*>0,,
439,101040090,3,1010400*==0,,
440,101040091,3,1010400*>0,,
441,101040190,3,1010401*==0,,
442,101040191,3,1010401*>0,,
443,101050090,3,1010500*==0,,
444,101050091,3,1010500*>0,,
445,101050190,3,1010501*==0,,
446,101050191,3,1010501*>0,,
447,101060090,3,1010600*==0,,
448,101060091,3,1010600*>0,,
449,101060190,3,1010601*==0,,
450,101060191,3,1010601*>0,,
451,101070090,3,1010700*==0,,
452,101070091,3,1010700*>0,,
453,101070190,3,1010701*==0,,
454,101070191,3,1010701*>0,,
455,101080090,3,1010800*==0,,
456,101080091,3,1010800*>0,,
457,101080190,3,1010801*==0,,
458,101080191,3,1010801*>0,,
459,102010090,3,1020100*==0,,
460,102010091,3,1020100*>0,,
461,102010190,3,1020101*==0,,
462,102010191,3,1020101*>0,,
463,102020090,3,1020200*==0,,
464,102020091,3,1020200*>0,,
465,102020190,3,1020201*==0,,
466,102020191,3,1020201*>0,,
467,102030090,3,1020300*==0,,
468,102030091,3,1020300*>0,,
469,102030190,3,1020301*==0,,
470,102030191,3,1020301*>0,,
471,102040090,3,1020400*==0,,
472,102040091,3,1020400*>0,,
473,102040190,3,1020401*==0,,
474,102040191,3,1020401*>0,,
475,102050090,3,1020500*==0,,
476,102050091,3,1020500*>0,,
477,102050190,3,1020501*==0,,
478,102050191,3,1020501*>0,,
479,102060090,3,1020600*==0,,
480,102060091,3,1020600*>0,,
481,102060190,3,1020601*==0,,
482,102060191,3,1020601*>0,,
483,102070090,3,1020700*==0,,
484,102070091,3,1020700*>0,,
485,102070190,3,1020701*==0,,
486,102070191,3,1020701*>0,,
487,102080090,3,1020800*==0,,
488,102080091,3,1020800*>0,,
489,102080190,3,1020801*==0,,
490,102080191,3,1020801*>0,,
491,102090090,3,1020900*==0,,
492,102090091,3,1020900*>0,,
493,102090190,3,1020901*==0,,
494,102090191,3,1020901*>0,,
495,102100090,3,1021000*==0,,
496,102100091,3,1021000*>0,,
497,102100190,3,1021001*==0,,
498,102100191,3,1021001*>0,,
499,102110090,3,1021100*==0,,
500,102110091,3,1021100*>0,,
501,102110190,3,1021101*==0,,
502,102110191,3,1021101*>0,,
503,102120090,3,1021200*==0,,
504,102120091,3,1021200*>0,,
505,102120190,3,1021201*==0,,
506,102120191,3,1021201*>0,,
507,102130090,3,1021300*==0,,
508,102130091,3,1021300*>0,,
509,102130190,3,1021301*==0,,
510,102130191,3,1021301*>0,,
511,102140090,3,1021400*==0,,
512,102140091,3,1021400*>0,,
513,102150090,3,1021500*==0,,
514,102150091,3,1021500*>0,,
515,102160090,3,1021600*==0,,
516,102160091,3,1021600*>0,,
517,102170090,3,1021700*==0,,
518,102170091,3,1021700*>0,,
519,102180090,3,1021800*==0,,
520,102180091,3,1021800*>0,,
521,102190090,3,1021900*==0,,
522,102190091,3,1021900*>0,,
523,102200090,3,1022000*==0,,
524,102200091,3,1022000*>0,,
525,102210090,3,1022100*==0,,
526,102210091,3,1022100*>0,,
527,102220090,3,1022200*==0,,
528,102220091,3,1022200*>0,,
529,102230090,3,1022300*==0,,
530,102230091,3,1022300*>0,,
531,102240090,3,1022400*==0,,
532,102240091,3,1022400*>0,,
533,102250090,3,1022500*==0,,
534,102250091,3,1022500*>0,,
535,102260090,3,1022600*==0,,
536,102260091,3,1022600*>0,,
537,102270090,3,1022700*==0,,
538,102270091,3,1022700*>0,,
539,102280090,3,1022800*==0,,
540,102280091,3,1022800*>0,,
541,102290090,3,1022900*==0,,
542,102290091,3,1022900*>0,,
543,103010090,3,1030100*==0,,
544,103010091,3,1030100*>0,,
545,103020090,3,1030200*==0,,
546,103020091,3,1030200*>0,,
547,103030090,3,1030300*==0,,
548,103030091,3,1030300*>0,,
549,103040090,3,1030400*==0,,
550,103040091,3,1030400*>0,,
551,103050090,3,1030500*==0,,
552,103050091,3,1030500*>0,,
553,103060090,3,1030600*==0,,
554,103060091,3,1030600*>0,,
555,104010090,3,1040100*==0,,
556,104010091,3,1040100*>0,,
557,104010190,3,1040101*==0,,
558,104010191,3,1040101*>0,,
559,104020090,3,1040200*==0,,
560,104020091,3,1040200*>0,,
561,104020190,3,1040201*==0,,
562,104020191,3,1040201*>0,,
563,104030090,3,1040300*==0,,
564,104030091,3,1040300*>0,,
565,104030190,3,1040301*==0,,
566,104030191,3,1040301*>0,,
567,104040090,3,1040400*==0,,
568,104040091,3,1040400*>0,,
569,104040190,3,1040401*==0,,
570,104040191,3,1040401*>0,,
571,104050090,3,1040500*==0,,
572,104050091,3,1040500*>0,,
573,104050190,3,1040501*==0,,
574,104050191,3,1040501*>0,,
575,104060090,3,1040600*==0,,
576,104060091,3,1040600*>0,,
577,104060190,3,1040601*==0,,
578,104060191,3,1040601*>0,,
579,105010090,3,1050100*==0,,
580,105010091,3,1050100*>0,,
581,105010190,3,1050101*==0,,
582,105010191,3,1050101*>0,,
583,105020090,3,1050200*==0,,
584,105020091,3,1050200*>0,,
585,105020190,3,1050201*==0,,
586,105020191,3,1050201*>0,,
587,105030090,3,1050300*==0,,
588,105030091,3,1050300*>0,,
589,105030190,3,1050301*==0,,
590,105030191,3,1050301*>0,,
591,105040090,3,1050400*==0,,
592,105040091,3,1050400*>0,,
593,105040190,3,1050401*==0,,
594,105040191,3,1050401*>0,,
595,105050090,3,1050500*==0,,
596,105050091,3,1050500*>0,,
597,105050190,3,1050501*==0,,
598,105050191,3,1050501*>0,,
599,105060090,3,1050600*==0,,
600,105060091,3,1050600*>0,,
601,105060190,3,1050601*==0,,
602,105060191,3,1050601*>0,,
603,106010090,3,1060100*==0,,
604,106010091,3,1060100*>0,,
605,106010190,3,1060101*==0,,
606,106010191,3,1060101*>0,,
607,106020090,3,1060200*==0,,
608,106020091,3,1060200*>0,,
609,106020190,3,1060201*==0,,
610,106020191,3,1060201*>0,,
611,106030090,3,1060300*==0,,
612,106030091,3,1060300*>0,,
613,106030190,3,1060301*==0,,
614,106030191,3,1060301*>0,,
615,106040090,3,1060400*==0,,
616,106040091,3,1060400*>0,,
617,106040190,3,1060401*==0,,
618,106040191,3,1060401*>0,,
619,106050090,3,1060500*==0,,
620,106050091,3,1060500*>0,,
621,106050190,3,1060501*==0,,
622,106050191,3,1060501*>0,,
623,106060090,3,1060600*==0,,
624,106060091,3,1060600*>0,,
625,106060190,3,1060601*==0,,
626,106060191,3,1060601*>0,,
627,107010090,3,1070100*==0,,
628,107010091,3,1070100*>0,,
629,107020090,3,1070200*==0,,
630,107020091,3,1070200*>0,,
631,109010090,3,1090100*==0,,
632,109010091,3,1090100*>0,,
633,109020090,3,1090200*==0,,
634,109020091,3,1090200*>0,,
635,109030090,3,1090300*==0,,
636,109030091,3,1090300*>0,,
637,109040090,3,1090400*==0,,
638,109040091,3,1090400*>0,,
639,109050090,3,1090500*==0,,
640,109050091,3,1090500*>0,,
641,110010090,3,1100100*==0,,
642,110010091,3,1100100*>0,,
643,110010190,3,1100101*==0,,
644,110010191,3,1100101*>0,,
645,110010290,3,1100102*==0,,
646,110010291,3,1100102*>0,,
647,110020090,3,1100200*==0,,
648,110020091,3,1100200*>0,,
649,110020190,3,1100201*==0,,
650,110020191,3,1100201*>0,,
651,110020290,3,1100202*==0,,
652,110020291,3,1100202*>0,,
653,110030090,3,1100300*==0,,
654,110030091,3,1100300*>0,,
655,110030190,3,1100301*==0,,
656,110030191,3,1100301*>0,,
657,110030290,3,1100302*==0,,
658,110030291,3,1100302*>0,,
659,110040090,3,1100400*==0,,
660,110040091,3,1100400*>0,,
661,110040190,3,1100401*==0,,
662,110040191,3,1100401*>0,,
663,110040290,3,1100402*==0,,
664,110040291,3,1100402*>0,,
665,110050090,3,1100500*==0,,
666,110050091,3,1100500*>0,,
667,110050190,3,1100501*==0,,
668,110050191,3,1100501*>0,,
669,110050290,3,1100502*==0,,
670,110050291,3,1100502*>0,,
671,111010090,3,1110100*==0,,
672,111010091,3,1110100*>0,,
673,111010190,3,1110101*==0,,
674,111010191,3,1110101*>0,,
675,111020090,3,1110200*==0,,
676,111020091,3,1110200*>0,,
677,111020190,3,1110201*==0,,
678,111020191,3,1110201*>0,,
679,111030090,3,1110300*==0,,
680,111030091,3,1110300*>0,,
681,111030190,3,1110301*==0,,
682,111030191,3,1110301*>0,,
683,111040090,3,1110400*==0,,
684,111040091,3,1110400*>0,,
685,111040190,3,1110401*==0,,
686,111040191,3,1110401*>0,,
687,111050090,3,1110500*==0,,
688,111050091,3,1110500*>0,,
689,111050190,3,1110501*==0,,
690,111050191,3,1110501*>0,,
691,112010090,3,1120100*==0,,
692,112010091,3,1120100*>0,,
693,112010190,3,1120101*==0,,
694,112010191,3,1120101*>0,,
695,112020090,3,1120200*==0,,
696,112020091,3,1120200*>0,,
697,112020190,3,1120201*==0,,
698,112020191,3,1120201*>0,,
699,112030090,3,1120300*==0,,
700,112030091,3,1120300*>0,,
701,112030190,3,1120301*==0,,
702,112030191,3,1120301*>0,,
703,112040090,3,1120400*==0,,
704,112040091,3,1120400*>0,,
705,112040190,3,1120401*==0,,
706,112040191,3,1120401*>0,,
707,112050090,3,1120500*==0,,
708,112050091,3,1120500*>0,,
709,112050190,3,1120501*==0,,
710,112050191,3,1120501*>0,,
711,113010090,3,1130100*==0,,
712,113010091,3,1130100*>0,,
713,113010190,3,1130101*==0,,
714,113010191,3,1130101*>0,,
715,113020090,3,1130200*==0,,
716,113020091,3,1130200*>0,,
717,113020190,3,1130201*==0,,
718,113020191,3,1130201*>0,,
719,113030090,3,1130300*==0,,
720,113030091,3,1130300*>0,,
721,113030190,3,1130301*==0,,
722,113030191,3,1130301*>0,,
723,113040090,3,1130400*==0,,
724,113040091,3,1130400*>0,,
725,113040190,3,1130401*==0,,
726,113040191,3,1130401*>0,,
727,113050090,3,1130500*==0,,
728,113050091,3,1130500*>0,,
729,113050190,3,1130501*==0,,
730,113050191,3,1130501*>0,,
731,114010090,3,1140100*==0,,
732,114010091,3,1140100*>0,,
733,114020090,3,1140200*==0,,
734,114020091,3,1140200*>0,,
735,114030090,3,1140300*==0,,
736,114030091,3,1140300*>0,,
737,114040090,3,1140400*==0,,
738,114040091,3,1140400*>0,,
739,115010090,3,1150100*==0,,
740,115010091,3,1150100*>0,,
741,115010190,3,1150101*==0,,
742,115010191,3,1150101*>0,,
743,115010690,3,1150106*==0,,
744,115010691,3,1150106*>0,,
745,115010790,3,1150107*==0,,
746,115010791,3,1150107*>0,,
747,115020090,3,1150200*==0,,
748,115020091,3,1150200*>0,,
749,115020190,3,1150201*==0,,
750,115020191,3,1150201*>0,,
751,115020690,3,1150206*==0,,
752,115020691,3,1150206*>0,,
753,115020790,3,1150207*==0,,
754,115020791,3,1150207*>0,,
755,115030090,3,1150300*==0,,
756,115030091,3,1150300*>0,,
757,115030190,3,1150301*==0,,
758,115030191,3,1150301*>0,,
759,115030690,3,1150306*==0,,
760,115030691,3,1150306*>0,,
761,115030790,3,1150307*==0,,
762,115030791,3,1150307*>0,,
763,115040090,3,1150400*==0,,
764,115040091,3,1150400*>0,,
765,115040190,3,1150401*==0,,
766,115040191,3,1150401*>0,,
767,115040690,3,1150406*==0,,
768,115040691,3,1150406*>0,,
769,115040790,3,1150407*==0,,
770,115040791,3,1150407*>0,,
771,120010090,3,1200100*==0,,
772,120010091,3,1200100*>0,,
773,120010190,3,1200101*==0,,
774,120010191,3,1200101*>0,,
775,120020090,3,1200200*==0,,
776,120020091,3,1200200*>0,,
777,120020190,3,1200201*==0,,
778,120020191,3,1200201*>0,,
779,120030090,3,1200300*==0,,
780,120030091,3,1200300*>0,,
781,120030190,3,1200301*==0,,
782,120030191,3,1200301*>0,,
783,120040090,3,1200400*==0,,
784,120040091,3,1200400*>0,,
785,120040190,3,1200401*==0,,
786,120040191,3,1200401*>0,,
787,120050090,3,1200500*==0,,
788,120050091,3,1200500*>0,,
789,120050190,3,1200501*==0,,
790,120050191,3,1200501*>0,,
791,120060090,3,1200600*==0,,
792,120060091,3,1200600*>0,,
793,120060190,3,1200601*==0,,
794,120060191,3,1200601*>0,,
795,121010190,3,1210101*==0,,
796,121010191,3,1210101*>0,,
797,381400001,4,,"381423*>0,381424*>0,381425*>0",
798,381400002,4,,"381402*>0,381403*>0,381404*>0,381405*>0",
799,381400003,4,,"381406*>0,381407*>0,381408*>0,381409*>0,381410*>0",
800,381400004,4,,"381411*>0,381412*>0,381413*>0,381414*>0,381415*>0,381416*>0",
801,381400005,4,,"381417*>0,381418*>0,381419*>0,381420*>0,381421*>0,381422*>0",
802,381603001,4,,381602*>0,
803,381603002,4,,381603*>0,
804,400000190,3,4000001*==0,,
805,400000191,3,4000001*>0,,
806,400000290,3,4000002*==0,,
807,400000291,3,4000002*>0,,
808,400000390,3,4000003*==0,,
809,400000391,3,4000003*>0,,
810,400000490,3,4000004*==0,,
811,400000491,3,4000004*>0,,
812,404090180,4,,4040901*==0,
813,404090181,4,,4040901*>0,
814,600010101,3,6000101*>0,,
815,600011101,3,6000111*>0,,
816,600012100,3,6000121*==0,,
817,600012101,3,6000121*>0,,
818,600013100,3,6000131*==0,,
819,600013101,3,6000131*>0,,
820,600020101,3,6000201*>0,,
821,600020201,3,6000202*>0,,
822,600021101,3,6000211*>0,,
823,600030101,3,6000301*>0,,
824,600031701,3,6000317*>0,,
825,603014100,3,6030141*==0,,
826,603014101,3,6030141*>0,,
827,603014200,3,6030142*==0,,
828,603014201,3,6030142*>0,,
829,603014300,3,6030143*==0,,
830,603014301,3,6030143*>0,,
831,603014500,3,6030145*==0,,
832,603014501,3,6030145*>0,,
833,638020101,3,6380201*>0,,
