,id,sangvis_id,reward_type,single_num_weight
202,113013,2013,3,
203,113014,2014,3,
204,115015,3001,5,
205,115016,3002,5,
206,115017,3003,5,
207,115018,3004,5,
208,115019,3005,5,
209,115020,3007,5,
210,115021,3008,5,
211,115022,3006,5,
212,115023,3009,5,
213,115024,3010,5,
214,121001,1001,1,
215,123002,2001,3,
216,123003,2002,3,
217,123004,2003,3,
218,123005,2004,3,
219,123006,2006,3,
220,123007,2005,3,
221,123008,2008,3,
222,123009,2009,3,
223,123010,2010,3,
224,123011,2011,3,
225,123012,2012,3,
226,123013,2013,3,
227,123014,2014,3,
228,125015,3001,5,
229,125016,3002,5,
230,125017,3003,5,
231,125018,3004,5,
232,125019,3005,5,
233,125020,3007,5,
234,125021,3008,5,
235,125022,3006,5,
236,125023,3009,5,
237,125024,3010,5,
238,131001,1013,1,
239,133002,2001,3,
240,133003,2002,3,
241,133004,2003,3,
242,133005,2004,3,
243,133006,2006,3,
244,133007,2005,3,
245,133008,2008,3,
246,133009,2009,3,
247,133010,2010,3,
248,133011,2011,3,
249,133012,2012,3,
250,133013,2013,3,
251,133014,2014,3,
252,135015,3001,5,
253,135016,3002,5,
254,135017,3003,5,
255,135018,3004,5,
256,135019,3005,5,
257,135020,3007,5,
258,135021,3008,5,
259,135022,3006,5,
260,135023,3009,5,
261,135024,3010,5,
262,141001,1002,1,
263,143002,2001,3,
264,143003,2002,3,
265,143004,2003,3,
266,143005,2004,3,
267,143006,2006,3,
268,143007,2005,3,
269,143008,2008,3,
270,143009,2009,3,
271,143010,2010,3,
272,143011,2011,3,
273,143012,2012,3,
274,143013,2013,3,
275,143014,2014,3,
276,145015,3001,5,
277,145016,3002,5,
278,145017,3003,5,
279,145018,3004,5,
280,145019,3005,5,
281,145020,3007,5,
282,145021,3008,5,
283,145022,3006,5,
284,145023,3009,5,
285,145024,3010,5,
286,151001,1003,1,
287,153002,2001,3,
288,153003,2002,3,
289,153004,2003,3,
290,153005,2004,3,
291,153006,2006,3,
292,153007,2005,3,
293,153008,2008,3,
294,153009,2009,3,
295,153010,2010,3,
296,153011,2011,3,
297,153012,2012,3,
298,153013,2013,3,
299,153014,2014,3,
300,155015,3001,5,
301,155016,3002,5,
302,155017,3003,5,
303,155018,3004,5,
304,155019,3005,5,
305,155020,3007,5,
306,155021,3008,5,
307,155022,3006,5,
308,155023,3009,5,
309,155024,3010,5,
310,161001,1014,1,
311,163002,2001,3,
312,163003,2002,3,
313,163004,2003,3,
314,163005,2004,3,
315,163006,2006,3,
316,163007,2005,3,
317,163008,2008,3,
318,163009,2009,3,
319,163010,2010,3,
320,163011,2011,3,
321,163012,2012,3,
322,163013,2013,3,
323,163014,2014,3,
324,165015,3001,5,
325,165016,3002,5,
326,165017,3003,5,
327,165018,3004,5,
328,165019,3005,5,
329,165020,3007,5,
330,165021,3008,5,
331,165022,3006,5,
332,165023,3009,5,
333,165024,3010,5,
334,171001,1004,1,
335,173002,2001,3,
336,173003,2002,3,
337,173004,2003,3,
338,173005,2004,3,
339,173006,2006,3,
340,173007,2005,3,
341,173008,2008,3,
342,173009,2009,3,
343,173010,2010,3,
344,173011,2011,3,
345,173012,2012,3,
346,173013,2013,3,
347,173014,2014,3,
348,175015,3001,5,
349,175016,3002,5,
350,175017,3003,5,
351,175018,3004,5,
352,175019,3005,5,
353,175020,3007,5,
354,175021,3008,5,
355,175022,3006,5,
356,175023,3009,5,
357,175024,3010,5,
358,181001,1005,1,
359,183002,2001,3,
360,183003,2002,3,
361,183004,2003,3,
362,183005,2004,3,
363,183006,2006,3,
364,183007,2005,3,
365,183008,2008,3,
366,183009,2009,3,
367,183010,2010,3,
368,183011,2011,3,
369,183012,2012,3,
370,183013,2013,3,
371,183014,2014,3,
372,185015,3001,5,
373,185016,3002,5,
374,185017,3003,5,
375,185018,3004,5,
376,185019,3005,5,
377,185020,3007,5,
378,185021,3008,5,
379,185022,3006,5,
380,185023,3009,5,
381,185024,3010,5,
382,192001,"1007,1008,1009,1010,1011,1012",2,"1007:1000,1008:1000,1009:1000,1010:1000,1011:1000,1012:1000"
383,193002,2001,3,
384,193003,2002,3,
385,193004,2003,3,
386,193005,2004,3,
387,193006,2006,3,
388,193007,2005,3,
389,193008,2008,3,
390,193009,2009,3,
391,193010,2010,3,
392,193011,2011,3,
393,193012,2012,3,
394,193013,2013,3,
395,193014,2014,3,
396,195015,3001,5,
397,195016,3002,5,
398,195017,3003,5,
399,195018,3004,5,
400,195019,3005,5,
401,195020,3007,5,
402,195021,3008,5,
403,195022,3006,5,
404,195023,3009,5,
405,195024,3010,5,
406,201001,1006,1,
407,203002,2001,3,
408,203003,2002,3,
409,203004,2003,3,
410,203005,2004,3,
411,203006,2006,3,
412,203007,2005,3,
413,203008,2008,3,
414,203009,2009,3,
415,203010,2010,3,
416,203011,2011,3,
417,203012,2012,3,
418,203013,2013,3,
419,203014,2014,3,
420,205015,3001,5,
421,205016,3002,5,
422,205017,3003,5,
423,205018,3004,5,
424,205019,3005,5,
425,205020,3007,5,
426,205021,3008,5,
427,205022,3006,5,
428,205023,3009,5,
429,205024,3010,5,
430,211001,1007,1,
431,213002,2001,3,
432,213003,2002,3,
433,213004,2003,3,
434,213005,2004,3,
435,213006,2006,3,
436,213007,2005,3,
437,213008,2008,3,
438,213009,2009,3,
439,213010,2010,3,
440,213011,2011,3,
441,213012,2012,3,
442,213013,2013,3,
443,213014,2014,3,
444,215015,3001,5,
445,215016,3002,5,
446,215017,3003,5,
447,215018,3004,5,
448,215019,3005,5,
449,215020,3007,5,
450,215021,3008,5,
451,215022,3006,5,
452,215023,3009,5,
453,215024,3010,5,
454,221001,1015,1,
455,223002,2001,3,
456,223003,2002,3,
457,223004,2003,3,
458,223005,2004,3,
459,223006,2006,3,
460,223007,2005,3,
461,223008,2008,3,
462,223009,2009,3,
463,223010,2010,3,
464,223011,2011,3,
465,223012,2012,3,
466,223013,2013,3,
467,223014,2014,3,
468,225015,3001,5,
469,225016,3002,5,
470,225017,3003,5,
471,225018,3004,5,
472,225019,3005,5,
473,225020,3007,5,
474,225021,3008,5,
475,225022,3006,5,
476,225023,3009,5,
477,225024,3010,5,
478,231001,1008,1,
479,233002,2001,3,
480,233003,2002,3,
481,233004,2003,3,
482,233005,2004,3,
483,233006,2006,3,
484,233007,2005,3,
485,233008,2008,3,
486,233009,2009,3,
487,233010,2010,3,
488,233011,2011,3,
489,233012,2012,3,
490,233013,2013,3,
491,233014,2014,3,
492,235015,3001,5,
493,235016,3002,5,
494,235017,3003,5,
495,235018,3004,5,
496,235019,3005,5,
497,235020,3007,5,
498,235021,3008,5,
499,235022,3006,5,
500,235023,3009,5,
501,235024,3010,5,
502,241001,1009,1,
503,243002,2001,3,
504,243003,2002,3,
505,243004,2003,3,
506,243005,2004,3,
507,243006,2006,3,
508,243007,2005,3,
509,243008,2008,3,
510,243009,2009,3,
511,243010,2010,3,
512,243011,2011,3,
513,243012,2012,3,
514,243013,2013,3,
515,243014,2014,3,
516,245015,3001,5,
517,245016,3002,5,
518,245017,3003,5,
519,245018,3004,5,
520,245019,3005,5,
521,245020,3007,5,
522,245021,3008,5,
523,245022,3006,5,
524,245023,3009,5,
525,245024,3010,5,
526,251001,1010,1,
527,253002,2001,3,
528,253003,2002,3,
529,253004,2003,3,
530,253005,2004,3,
531,253006,2006,3,
532,253007,2005,3,
533,253008,2008,3,
534,253009,2009,3,
535,253010,2010,3,
536,253011,2011,3,
537,253012,2012,3,
538,253013,2013,3,
539,253014,2014,3,
540,255015,3001,5,
541,255016,3002,5,
542,255017,3003,5,
543,255018,3004,5,
544,255019,3005,5,
545,255020,3007,5,
546,255021,3008,5,
547,255022,3006,5,
548,255023,3009,5,
549,255024,3010,5,
550,261001,1011,1,
551,263002,2001,3,
552,263003,2002,3,
553,263004,2003,3,
554,263005,2004,3,
555,263006,2006,3,
556,263007,2005,3,
557,263008,2008,3,
558,263009,2009,3,
559,263010,2010,3,
560,263011,2011,3,
561,263012,2012,3,
562,263013,2013,3,
563,263014,2014,3,
564,265015,3001,5,
565,265016,3002,5,
566,265017,3003,5,
567,265018,3004,5,
568,265019,3005,5,
569,265020,3007,5,
570,265021,3008,5,
571,265022,3006,5,
572,265023,3009,5,
573,265024,3010,5,
574,271001,1016,1,
575,273002,2001,3,
576,273003,2002,3,
577,273004,2003,3,
578,273005,2004,3,
579,273006,2006,3,
580,273007,2005,3,
581,273008,2008,3,
582,273009,2009,3,
583,273010,2010,3,
584,273011,2011,3,
585,273012,2012,3,
586,273013,2013,3,
587,273014,2014,3,
588,273015,2015,3,
589,275016,3001,5,
590,275017,3002,5,
591,275018,3003,5,
592,275019,3004,5,
593,275020,3005,5,
594,275021,3007,5,
595,275022,3008,5,
596,275023,3006,5,
597,275024,3009,5,
598,275025,3010,5,
599,281001,1012,1,
600,283002,2001,3,
601,283003,2002,3,
602,283004,2003,3,
603,283005,2004,3,
604,283006,2006,3,
605,283007,2005,3,
606,283008,2008,3,
607,283009,2009,3,
608,283010,2010,3,
609,283011,2011,3,
610,283012,2012,3,
611,283013,2013,3,
612,283014,2014,3,
613,283015,2015,3,
614,285016,3001,5,
615,285017,3002,5,
616,285018,3003,5,
617,285019,3004,5,
618,285020,3005,5,
619,285021,3007,5,
620,285022,3008,5,
621,285023,3006,5,
622,285024,3009,5,
623,285025,3010,5,
624,291001,1013,1,
625,293002,2001,3,
626,293003,2002,3,
627,293004,2003,3,
628,293005,2004,3,
629,293006,2006,3,
630,293007,2005,3,
631,293008,2008,3,
632,293009,2009,3,
633,293010,2010,3,
634,293011,2011,3,
635,293012,2012,3,
636,293013,2013,3,
637,293014,2014,3,
638,293015,2015,3,
639,295016,3001,5,
640,295017,3002,5,
641,295018,3003,5,
642,295019,3004,5,
643,295020,3005,5,
644,295021,3007,5,
645,295022,3008,5,
646,295023,3006,5,
647,295024,3009,5,
648,295025,3010,5,
649,301001,1017,1,
650,303002,2010,3,
651,303003,2011,3,
652,303004,2012,3,
653,303005,2013,3,
654,303006,2014,3,
655,303007,2015,3,
656,303008,2016,3,
657,305009,3001,5,
658,305010,3002,5,
659,305011,3003,5,
660,305012,3004,5,
661,305013,3005,5,
662,305014,3007,5,
663,305015,3008,5,
664,305016,3006,5,
665,305017,3009,5,
666,305018,3010,5,
667,311001,1014,1,
668,313002,2014,3,
669,313003,2015,3,
670,313004,2016,3,
671,313005,2001,3,
672,313006,2002,3,
673,313007,2003,3,
674,313008,2004,3,
675,315009,3001,5,
676,315010,3002,5,
677,315011,3003,5,
678,315012,3004,5,
679,315013,3005,5,
680,315014,3007,5,
681,315015,3008,5,
682,315016,3006,5,
683,315017,3009,5,
684,315018,3010,5,
685,321001,1001,1,
686,323002,2001,3,
687,323003,2002,3,
688,323004,2003,3,
689,323005,2004,3,
690,323006,2006,3,
691,323007,2005,3,
692,323008,2008,3,
693,325009,3001,5,
694,325010,3002,5,
695,325011,3003,5,
696,325012,3004,5,
697,325013,3005,5,
698,325014,3007,5,
699,325015,3008,5,
700,325016,3006,5,
701,325017,3009,5,
702,325018,3010,5,
703,331001,1018,1,
704,333002,2006,3,
705,333003,2005,3,
706,333004,2008,3,
707,333005,2017,3,
708,333006,2009,3,
709,333007,2010,3,
710,333008,2011,3,
711,335009,3001,5,
712,335010,3002,5,
713,335011,3003,5,
714,335012,3004,5,
715,335013,3005,5,
716,335014,3007,5,
717,335015,3008,5,
718,335016,3006,5,
719,335017,3009,5,
720,335018,3010,5,
721,341001,1002,1,
722,343002,2017,3,
723,343003,2009,3,
724,343004,2010,3,
725,343005,2011,3,
726,343006,2012,3,
727,343007,2013,3,
728,343008,2014,3,
729,345009,3001,5,
730,345010,3002,5,
731,345011,3003,5,
732,345012,3004,5,
733,345013,3005,5,
734,345014,3007,5,
735,345015,3008,5,
736,345016,3006,5,
737,345017,3009,5,
738,345018,3010,5,
739,351001,1003,1,
740,353002,2012,3,
741,353003,2013,3,
742,353004,2014,3,
743,353005,2015,3,
744,353006,2016,3,
745,353007,2001,3,
746,353008,2002,3,
747,355009,3001,5,
748,355010,3002,5,
749,355011,3003,5,
750,355012,3004,5,
751,355013,3005,5,
752,355014,3007,5,
753,355015,3008,5,
754,355016,3006,5,
755,355017,3009,5,
756,355018,3010,5,
757,361001,1019,1,
758,363002,2015,3,
759,363003,2016,3,
760,363004,2001,3,
761,363005,2002,3,
762,363006,2003,3,
763,363007,2004,3,
764,363008,2006,3,
765,365009,3001,5,
766,365010,3002,5,
767,365011,3003,5,
768,365012,3004,5,
769,365013,3005,5,
770,365014,3007,5,
771,365015,3008,5,
772,365016,3006,5,
773,365017,3009,5,
774,365018,3010,5,
775,371001,1004,1,
776,373002,2003,3,
777,373003,2004,3,
778,373004,2006,3,
779,373005,2005,3,
780,373006,2008,3,
781,373007,2017,3,
782,373008,2009,3,
783,375009,3001,5,
784,375010,3002,5,
785,375011,3003,5,
786,375012,3004,5,
787,375013,3005,5,
788,375014,3007,5,
789,375015,3008,5,
790,375016,3006,5,
791,375017,3009,5,
792,375018,3010,5,
793,382001,"1005,1006,1013,1014,1002,1003",2,"1005:1000,1006:1000,1013:1000,1014:1000,1002:1000,1003:1000"
794,383002,2005,3,
795,383003,2008,3,
796,383004,2017,3,
797,383005,2009,3,
798,383006,2010,3,
799,383007,2011,3,
800,383008,2012,3,
801,385009,3001,5,
802,385010,3002,5,
803,385011,3003,5,
804,385012,3004,5,
805,385013,3005,5,
806,385014,3007,5,
807,385015,3008,5,
808,385016,3006,5,
809,385017,3009,5,
810,385018,3010,5,
811,391001,1015,1,
812,393002,2010,3,
813,393003,2011,3,
814,393004,2012,3,
815,393005,2013,3,
816,393006,2014,3,
817,393007,2015,3,
818,393008,2016,3,
819,395009,3001,5,
820,395010,3002,5,
821,395011,3003,5,
822,395012,3004,5,
823,395013,3005,5,
824,395014,3007,5,
825,395015,3008,5,
826,395016,3006,5,
827,395017,3009,5,
828,395018,3010,5,
829,401001,1020,1,
830,403002,2013,3,
831,403003,2014,3,
832,403004,2015,3,
833,403005,2016,3,
834,403006,2001,3,
835,403007,2002,3,
836,403008,2018,3,
837,405009,3001,5,
838,405010,3002,5,
839,405011,3003,5,
840,405012,3004,5,
841,405013,3005,5,
842,405014,3007,5,
843,405015,3008,5,
844,405016,3006,5,
845,405017,3009,5,
846,405018,3010,5,
