,id,type,prize_id,rank,theater_event_id
95,601,1,"307:40,48:500,9:100,46:500,506:500",No.1,6
96,602,1,"307:39,48:475,9:95,46:475,506:475",No.2,6
97,603,1,"307:38,48:450,9:90,46:450,506:450",No.3,6
98,604,1,"307:37,48:425,9:85,46:425,506:425",No.4,6
99,605,1,"307:36,48:400,9:80,46:400,506:400",No.5,6
100,606,1,"307:35,48:375,9:75,46:375,506:375",No.6,6
101,607,1,"307:35,48:350,9:70,46:350,506:350",No.7,6
102,608,1,"307:35,48:325,9:65,46:325,506:325",No.8,6
103,609,1,"307:35,48:300,9:60,46:300,506:300",No.9,6
104,610,1,"307:35,48:275,9:55,46:275,506:275",No.10,6
105,611,1,"307:32,48:250,9:50,46:250,506:250",No.11-100,6
106,612,1,"307:30,48:225,9:45,46:225,506:225",1%-5%,6
107,613,1,"307:25,48:200,9:40,46:200,506:200",6%-10%,6
108,614,1,"307:20,48:175,9:35,46:175,506:175",11%-15%,6
109,615,1,"307:15,48:150,9:30,46:150,506:150",16%-20%,6
110,616,1,"307:10,48:125,9:25,46:125,506:125",21%-30%,6
111,617,1,"307:5,48:100,9:20,46:100,506:100",31%-40%,6
112,618,1,"307:2,48:75,9:15,46:75,506:75",41%-50%,6
113,619,1,"48:50,9:10,46:50,506:50",51%-100%,6
114,701,2,"101:20,501:10000,502:10000,503:10000,504:10000",No.1,7
115,702,2,"101:19,501:9500,502:9500,503:9500,504:9500",No.2,7
116,703,2,"101:18,501:9000,502:9000,503:9000,504:9000",No.3,7
117,704,2,"101:17,501:8500,502:8500,503:8500,504:8500",No.4,7
118,705,2,"101:16,501:8000,502:8000,503:8000,504:8000",No.5,7
119,706,2,"101:15,501:7500,502:7500,503:7500,504:7500",No.6,7
120,707,2,"101:14,501:7000,502:7000,503:7000,504:7000",No.7,7
121,708,2,"101:13,501:6500,502:6500,503:6500,504:6500",No.8,7
122,709,2,"101:12,501:6000,502:6000,503:6000,504:6000",No.9,7
123,710,2,"101:11,501:5500,502:5500,503:5500,504:5500",No.10,7
124,711,2,"101:10,501:5000,502:5000,503:5000,504:5000",No.11-100,7
125,712,2,"101:9,501:4500,502:4500,503:4500,504:4500",1%-5%,7
126,713,2,"101:8,501:4000,502:4000,503:4000,504:4000",6%-10%,7
127,714,2,"101:7,501:3500,502:3500,503:3500,504:3500",11%-15%,7
128,715,2,"101:6,501:3000,502:3000,503:3000,504:3000",16%-20%,7
129,716,2,"101:5,501:2500,502:2500,503:2500,504:2500",21%-30%,7
130,717,2,"101:4,501:2000,502:2000,503:2000,504:2000",31%-40%,7
131,718,2,"101:3,501:1500,502:1500,503:1500,504:1500",41%-50%,7
132,719,2,"101:1,501:1000,502:1000,503:1000,504:1000",51%-100%,7
133,801,1,"308:40,48:500,9:100,46:500,506:500",No.1,7
134,802,1,"308:39,48:475,9:95,46:475,506:475",No.2,7
135,803,1,"308:38,48:450,9:90,46:450,506:450",No.3,7
136,804,1,"308:37,48:425,9:85,46:425,506:425",No.4,7
137,805,1,"308:36,48:400,9:80,46:400,506:400",No.5,7
138,806,1,"308:35,48:375,9:75,46:375,506:375",No.6,7
139,807,1,"308:35,48:350,9:70,46:350,506:350",No.7,7
140,808,1,"308:35,48:325,9:65,46:325,506:325",No.8,7
141,809,1,"308:35,48:300,9:60,46:300,506:300",No.9,7
142,810,1,"308:35,48:275,9:55,46:275,506:275",No.10,7
143,811,1,"308:32,48:250,9:50,46:250,506:250",No.11-100,7
144,812,1,"308:30,48:225,9:45,46:225,506:225",1%-5%,7
145,813,1,"308:25,48:200,9:40,46:200,506:200",6%-10%,7
146,814,1,"308:20,48:175,9:35,46:175,506:175",11%-15%,7
147,815,1,"308:15,48:150,9:30,46:150,506:150",16%-20%,7
148,816,1,"308:10,48:125,9:25,46:125,506:125",21%-30%,7
149,817,1,"308:5,48:100,9:20,46:100,506:100",31%-40%,7
150,818,1,"308:2,48:75,9:15,46:75,506:75",41%-50%,7
151,819,1,"48:50,9:10,46:50,506:50",51%-100%,7
152,901,2,"110:12,501:10000,502:10000,503:10000,504:10000",No.1,8
153,902,2,"110:11,501:9500,502:9500,503:9500,504:9500",No.2,8
154,903,2,"110:10,501:9000,502:9000,503:9000,504:9000",No.3,8
155,904,2,"110:9,501:8500,502:8500,503:8500,504:8500",No.4,8
156,905,2,"110:8,501:8000,502:8000,503:8000,504:8000",No.5,8
157,906,2,"110:7,501:7500,502:7500,503:7500,504:7500",No.6,8
158,907,2,"110:6,501:7000,502:7000,503:7000,504:7000",No.7,8
159,908,2,"110:5,501:6500,502:6500,503:6500,504:6500",No.8,8
160,909,2,"110:4,501:6000,502:6000,503:6000,504:6000",No.9,8
161,910,2,"110:3,501:5500,502:5500,503:5500,504:5500",No.10,8
162,911,2,"110:2,501:5000,502:5000,503:5000,504:5000",No.11-100,8
163,912,2,"110:1,501:4500,502:4500,503:4500,504:4500",1%-5%,8
164,913,2,"110:1,501:4000,502:4000,503:4000,504:4000",6%-10%,8
165,914,2,"110:1,501:3500,502:3500,503:3500,504:3500",11%-15%,8
166,915,2,"110:1,501:3000,502:3000,503:3000,504:3000",16%-20%,8
167,916,2,"110:1,501:2500,502:2500,503:2500,504:2500",21%-30%,8
168,917,2,"110:1,501:2000,502:2000,503:2000,504:2000",31%-40%,8
169,918,2,"110:1,501:1500,502:1500,503:1500,504:1500",41%-50%,8
170,919,2,"501:1000,502:1000,503:1000,504:1000",51%-100%,8
171,1001,1,"308:40,48:500,9:100,46:500,506:500",No.1,8
172,1002,1,"308:39,48:475,9:95,46:475,506:475",No.2,8
173,1003,1,"308:38,48:450,9:90,46:450,506:450",No.3,8
174,1004,1,"308:37,48:425,9:85,46:425,506:425",No.4,8
175,1005,1,"308:36,48:400,9:80,46:400,506:400",No.5,8
176,1006,1,"308:35,48:375,9:75,46:375,506:375",No.6,8
177,1007,1,"308:35,48:350,9:70,46:350,506:350",No.7,8
178,1008,1,"308:35,48:325,9:65,46:325,506:325",No.8,8
179,1009,1,"308:35,48:300,9:60,46:300,506:300",No.9,8
180,1010,1,"308:35,48:275,9:55,46:275,506:275",No.10,8
181,1011,1,"308:32,48:250,9:50,46:250,506:250",No.11-100,8
182,1012,1,"308:30,48:225,9:45,46:225,506:225",1%-5%,8
183,1013,1,"308:25,48:200,9:40,46:200,506:200",6%-10%,8
184,1014,1,"308:20,48:175,9:35,46:175,506:175",11%-15%,8
185,1015,1,"308:15,48:150,9:30,46:150,506:150",16%-20%,8
186,1016,1,"308:10,48:125,9:25,46:125,506:125",21%-30%,8
187,1017,1,"308:5,48:100,9:20,46:100,506:100",31%-40%,8
188,1018,1,"308:2,48:75,9:15,46:75,506:75",41%-50%,8
189,1019,1,"48:50,9:10,46:50,506:50",51%-100%,8
