,id,pic_code,effect_code,background_code
27,28,Icon_Medal_Chess_06,,Bg_IllustratedBook_MedalDetail_NEW
28,29,Icon_Medal_2022winter,,Bg_IllustratedBook_MedalDetail_NEW
29,30,Icon_Medal_2022winter_rank_0,,Bg_IllustratedBook_MedalDetail_NEW
30,31,Icon_Medal_2022winter_rank_11,,Bg_IllustratedBook_MedalDetail_NEW
31,32,Icon_Medal_2022winter_rank_10,,Bg_IllustratedBook_MedalDetail_NEW
32,33,Icon_Medal_2022winter_rank_9,,Bg_IllustratedBook_MedalDetail_NEW
33,34,Icon_Medal_2022winter_rank_8,,Bg_IllustratedBook_MedalDetail_NEW
34,35,Icon_Medal_2022winter_rank_7,,Bg_IllustratedBook_MedalDetail_NEW
35,36,Icon_Medal_2022winter_rank_6,,Bg_IllustratedBook_MedalDetail_NEW
36,37,Icon_Medal_2022winter_rank_5,,Bg_IllustratedBook_MedalDetail_NEW
37,38,Icon_Medal_2022winter_rank_4,,Bg_IllustratedBook_MedalDetail_NEW
38,39,Icon_Medal_2022winter_rank_3,,Bg_IllustratedBook_MedalDetail_NEW
39,40,Icon_Medal_2022winter_rank_2,,Bg_IllustratedBook_MedalDetail_NEW
40,41,Icon_Medal_2022winter_rank_1,,Bg_IllustratedBook_MedalDetail_NEW
41,42,Icon_Medal_Theater8th,,Bg_IllustratedBook_MedalDetail_NEW
42,43,Icon_Medal_Theater8th_rank_0,,Bg_IllustratedBook_MedalDetail_NEW
43,44,Icon_Medal_Theater8th_rank_11,,Bg_IllustratedBook_MedalDetail_NEW
44,45,Icon_Medal_Theater8th_rank_10,,Bg_IllustratedBook_MedalDetail_NEW
45,46,Icon_Medal_Theater8th_rank_9,,Bg_IllustratedBook_MedalDetail_NEW
46,47,Icon_Medal_Theater8th_rank_8,,Bg_IllustratedBook_MedalDetail_NEW
47,48,Icon_Medal_Theater8th_rank_7,,Bg_IllustratedBook_MedalDetail_NEW
48,49,Icon_Medal_Theater8th_rank_6,,Bg_IllustratedBook_MedalDetail_NEW
49,50,Icon_Medal_Theater8th_rank_5,,Bg_IllustratedBook_MedalDetail_NEW
50,51,Icon_Medal_Theater8th_rank_4,,Bg_IllustratedBook_MedalDetail_NEW
51,52,Icon_Medal_Theater8th_rank_3,,Bg_IllustratedBook_MedalDetail_NEW
52,53,Icon_Medal_Theater8th_rank_2,,Bg_IllustratedBook_MedalDetail_NEW
53,54,Icon_Medal_Theater8th_rank_1,,Bg_IllustratedBook_MedalDetail_NEW
54,55,Icon_Medal_2019winter_re_rank_0,,Bg_IllustratedBook_MedalDetail_NEW
55,56,Icon_Medal_2019winter_re_rank_11,,Bg_IllustratedBook_MedalDetail_NEW
56,57,Icon_Medal_2019winter_re_rank_10,,Bg_IllustratedBook_MedalDetail_NEW
57,58,Icon_Medal_2019winter_re_rank_9,,Bg_IllustratedBook_MedalDetail_NEW
58,59,Icon_Medal_2019winter_re_rank_8,,Bg_IllustratedBook_MedalDetail_NEW
59,60,Icon_Medal_2019winter_re_rank_7,,Bg_IllustratedBook_MedalDetail_NEW
60,61,Icon_Medal_2019winter_re_rank_6,,Bg_IllustratedBook_MedalDetail_NEW
61,62,Icon_Medal_2019winter_re_rank_5,,Bg_IllustratedBook_MedalDetail_NEW
62,63,Icon_Medal_2019winter_re_rank_4,,Bg_IllustratedBook_MedalDetail_NEW
63,64,Icon_Medal_2019winter_re_rank_3,,Bg_IllustratedBook_MedalDetail_NEW
64,65,Icon_Medal_2019winter_re_rank_2,,Bg_IllustratedBook_MedalDetail_NEW
65,66,Icon_Medal_2019winter_re_rank_1,,Bg_IllustratedBook_MedalDetail_NEW
