,id,reward_gun_pool,equip_s_probability,draw_event_s_id,enemy_leader,if_stay,correction_belong,correction_turn,limit_guns,limit_equips,ai,ai_content,enemy_type_display,use_building,use_building_skill,team_confrontfun_pic,team_confrontfun_des,effect_ext,targettrain_cancollect,fight_type,type_coef
61,60,"9,2,5,10,90,91,92,17,25,93,24,71,68,74,63,11,14,3,12,6,29,27,18",,0,20004,0,,,,,0,,,,,,,0,1,0,
62,61,"9,2,5,10,90,91,92,17,25,93,24,71,68,74,0",,0,20005,0,,,,,0,,,,,,,0,1,0,
63,62,"9,2,5,10,90,91,92,17,25,93,24,71,68,74,0",,0,20001,0,,,,,0,,,,,,,0,1,0,
64,63,"9,2,5,10,90,91,92,17,25,93,24,71,68,74,0",,0,20005,0,,,,,0,,,,,,,0,1,0,
65,64,"9,2,5,10,90,91,92,17,25,93,24,71,68,74,63,11,14,3,12,29,27,18,0",,0,20005,0,,,,,0,,,,,,,0,1,0,
66,65,"9,2,5,10,90,91,92,17,25,93,24,71,68,74,63,11,14,3,12,29,27,18,0",,0,20004,0,,,,,0,,,,,,,0,1,0,
67,66,"9,2,5,10,90,91,92,17,25,93,24,71,68,74,0",,0,20005,0,,,,,0,,,,,,,0,1,0,
68,67,"9,2,5,10,90,91,92,17,25,93,24,21,71,68,74,63,0",,0,20005,0,,,,,0,,,,,,,0,1,0,
69,68,"9,2,5,10,90,91,92,17,25,93,24,21,71,68,74,63,0",,0,20002,0,,,,,0,,,,,,,0,1,0,
70,69,"9,2,5,10,90,91,92,17,25,93,24,21,71,68,74,63,11,12,18,32,0",,0,20005,0,,,,,0,,,,,,,0,1,0,
71,70,"9,2,5,10,90,91,92,17,25,93,24,21,71,68,74,63,11,12,18,32,58,61",,0,20005,0,,,,,0,,,,,,,0,1,0,
72,71,"9,2,5,10,90,91,92,17,25,93,24,21,71,68,74,63,11,12,18,32,0",,0,20004,0,,,,,0,,,,,,,0,1,0,
73,72,"9,2,5,10,90,91,92,17,25,93,24,71,68,74,63,51,47,0",,0,20004,0,,,,,0,,,,,,,0,1,0,
74,73,"9,2,5,10,90,91,92,17,25,93,24,71,68,74,63,51,47,0",,0,20001,0,,,,,0,,,,,,,0,1,0,
75,74,"9,2,5,10,90,91,92,17,25,93,24,71,68,74,63,51,47,0",,0,20003,0,,,,,0,,,,,,,0,1,0,
76,75,"9,2,5,10,90,91,92,17,25,93,24,71,68,74,63,51,47,0",,0,20005,0,,,,,0,,,,,,,0,1,0,
77,76,"9,2,5,10,90,91,92,17,25,93,24,71,68,74,63,51,47,3,14,29,27,18,32,58,61,0",,0,20003,0,,,,,0,,,,,,,0,1,0,
78,77,"9,2,5,10,90,91,92,17,25,93,24,21,71,68,74,63,51,47,8,22,70,0",,0,20004,0,,,,,0,,,,,,,0,1,0,
79,78,"9,2,5,10,90,91,92,17,25,93,24,71,68,74,63,51,47,3,14,29,27,18,32,58,61,8,70",,0,20004,0,,,,,0,,,,,,,0,1,0,
80,79,"9,2,5,10,90,91,92,17,25,93,24,31,71,68,74,63,51,47,0",,0,20004,0,,,,,0,,,,,,,0,1,0,
81,80,"9,2,5,10,90,91,92,17,25,93,24,31,71,68,74,63,51,47,0",,0,20001,0,,,,,0,,,,,,,0,1,0,
82,81,"9,2,5,10,90,91,92,17,25,93,24,31,71,68,74,63,51,47,3,14,29,27,18,32,58,61,0",,0,20005,0,,,,,0,,,,,,,0,1,0,
83,82,"92,17,25,93,24,31,71,68,74,63,51,47,41,11,14,3,12,29,27,32,18,58,61,70,19",,558,90004,1,,,19,,0,,,,,,,0,1,0,
84,83,"9,2,5,10,90,91,92,17,25,93,24,31,71,68,74,63,51,47,3,14,29,27,18,32,58,61,0",,0,20005,0,,,,,0,,,,,,,0,1,0,
85,84,"9,2,5,10,90,91,92,17,25,93,24,31,71,68,74,63,51,47,6,8,22,70,0",,0,20003,0,,,,,0,,,,,,,0,1,0,
86,85,"9,2,5,10,90,91,92,17,25,93,24,31,71,68,74,63,51,47,3,14,29,27,18,32,58,61,0",,0,20005,0,,,,,0,,,,,,,0,1,0,
87,86,"9,2,5,10,90,91,92,17,25,93,24,71,68,74,63,51,47,0",,0,20004,0,,,,,0,,,,,,,0,1,0,
88,87,"9,2,5,10,90,91,92,17,25,93,24,71,68,74,63,51,47,3,14,29,27,18,32,58,61,8,70",,0,20005,0,,,,,0,,,,,,,0,1,0,
89,88,"9,2,5,10,90,91,92,17,25,93,24,71,68,74,63,51,47,0",,0,20004,0,,,,,0,,,,,,,0,1,0,
90,89,"9,2,5,10,90,91,92,17,25,93,24,71,68,74,63,51,47,3,14,29,27,18,32,58,61,0",,0,20002,0,,,,,0,,,,,,,0,1,0,
91,90,"9,2,5,10,90,91,92,17,25,93,24,71,68,74,63,51,47,0",,0,20006,0,,,,,0,,,,,,,0,1,0,
92,91,"9,2,5,10,90,91,92,17,25,93,24,71,68,74,63,51,47,3,14,29,27,18,32,58,61,0",,0,20005,0,,,,,0,,,,,,,0,1,0,
93,92,"9,2,5,10,90,91,92,17,25,93,24,71,68,74,63,51,47,0",,0,20005,0,,,,,0,,,,,,,0,1,0,
94,93,"9,2,5,10,90,91,92,17,25,93,24,71,68,74,63,51,47,0",,0,20006,0,,,,,0,,,,,,,0,1,0,
95,94,"9,2,5,10,90,91,92,17,25,93,24,31,71,68,74,63,51,47,0",,0,20002,0,,,,,0,,,,,,,0,1,0,
96,95,"9,2,5,10,90,91,92,17,25,93,24,31,71,68,74,63,51,47,0",,0,20005,0,,,,,0,,,,,,,0,1,0,
97,96,"9,2,5,10,90,91,92,17,25,93,24,31,71,68,74,63,51,47,0",,0,20005,0,,,,,0,,,,,,,0,1,0,
98,97,"9,2,5,10,90,91,92,17,25,93,24,31,71,68,74,63,51,47,3,14,29,27,18,32,58,61,0",,0,20004,0,,,,,0,,,,,,,0,1,0,
99,98,"9,2,5,10,90,91,92,17,25,93,24,31,71,68,74,63,51,47,3,14,29,27,18,32,58,61,0",,0,20005,0,,,,,0,,,,,,,0,1,0,
100,99,"92,17,25,93,24,31,71,68,74,63,51,47,41,11,14,3,12,29,27,32,18,58,61,70",,0,20006,0,,,,,0,,,,,,,0,1,0,
101,100,"9,2,5,10,90,91,92,17,25,93,24,31,71,68,74,63,51,47,6,8,22,70,0",,0,20004,0,,,,,0,,,,,,,0,1,0,
102,101,"9,2,5,10,90,91,92,17,25,93,24,31,71,68,74,63,51,47,0",,0,20006,0,,,,,0,,,,,,,0,1,0,
103,102,"9,2,5,10,90,91,92,17,25,93,24,31,71,68,74,63,51,47,0",,0,20003,0,,,,,0,,,,,,,0,1,0,
104,103,"9,2,5,10,90,91,92,17,25,93,24,31,71,68,74,63,51,47,0",,0,20006,0,,,,,0,,,,,,,0,1,0,
105,104,"9,2,5,10,90,91,92,17,25,93,24,31,71,68,74,63,51,47,41,11,14,3,12,32,18,58,61,0",,0,20006,0,,,,,0,,,,,,,0,1,0,
106,105,"9,2,5,10,90,91,92,17,25,93,24,31,71,68,74,63,51,47,41,11,14,3,12,32,18,58,61,0",,0,20005,0,,,,,0,,,,,,,0,1,0,
107,106,"9,2,5,10,90,91,92,17,25,93,24,31,71,68,74,63,51,47,0",,0,20001,0,,,,,0,,,,,,,0,1,0,
108,107,"9,2,5,10,90,91,92,17,25,93,24,31,71,68,74,63,51,47,41,11,14,3,12,32,18,58,61,0",,0,20005,0,,,,,0,,,,,,,0,1,0,
109,108,"9,2,5,10,90,91,92,17,25,93,24,31,71,68,74,63,51,47,0",,0,20005,0,,,,,0,,,,,,,0,1,0,
110,109,"9,2,5,10,90,91,92,17,25,93,24,31,71,68,74,63,51,47,41,11,14,3,12,13,29,27,18,32,58,61,70",,0,20006,0,,,,,0,,,,,,,0,1,0,
111,110,"9,2,5,10,90,91,92,17,25,93,24,31,33,94,71,68,74,63,51,47,41,0",,0,20006,0,,,,,0,,,,,,,0,1,0,
112,111,"9,2,5,10,90,91,92,17,25,93,24,31,33,94,71,68,74,63,51,47,41,0",,0,20004,0,,,,,0,,,,,,,0,1,0,
113,112,"9,2,5,10,90,91,92,17,25,93,24,31,33,94,71,68,74,63,51,47,41,0",,0,20003,0,,,,,0,,,,,,,0,1,0,
114,113,"9,2,5,10,90,91,92,17,25,93,24,31,33,94,71,68,74,63,51,47,41,11,14,3,12,13,29,27,18,32,58,61,70,0",,0,20006,0,,,,,0,,,,,,,0,1,0,
115,114,"9,2,5,10,90,91,92,17,25,93,24,31,33,94,71,68,74,63,51,47,41,0",,0,20005,0,,,,,0,,,,,,,0,1,0,
116,115,"9,2,5,10,90,91,92,17,25,93,24,31,33,94,71,68,74,63,51,47,41,11,14,3,12,13,29,27,18,32,58,61,70,44,26,19",,558,90005,0,,,19,,0,,,,,,,0,1,0,
117,116,"9,2,5,10,90,91,92,17,25,93,24,31,33,94,71,68,74,63,51,47,41,11,14,3,12,13,29,27,18,32,58,61,70,0",,0,20001,0,,,,,0,,,,,,,0,1,0,
118,117,"9,2,5,10,90,91,92,17,25,93,24,31,71,68,74,63,51,47,0",,0,20005,0,,,,,0,,,,,,,0,1,0,
119,118,"9,2,5,10,90,91,92,17,25,93,24,31,71,68,74,63,51,47,41,11,14,3,12,32,18,58,61,0",,0,20005,0,,,,,0,,,,,,,0,1,0,
120,119,"9,2,5,10,90,91,92,17,25,93,24,31,71,68,74,63,51,47,41,11,14,3,12,13,29,27,18,32,58,61,70",,0,20004,0,,,,,0,,,,,,,0,1,0,
121,120,"9,2,5,10,90,91,92,17,25,93,24,31,33,94,71,68,74,63,51,47,41,0",,0,20002,0,,,,,0,,,,,,,0,1,0,
122,121,"9,2,5,10,90,91,92,17,25,93,24,31,33,94,71,68,74,63,51,47,41,0",,0,20004,0,,,,,0,,,,,,,0,1,0,
123,122,"9,2,5,10,90,91,92,17,25,93,24,31,33,94,71,68,74,63,51,47,41,11,14,3,12,13,29,27,18,32,58,61,70,44",,0,20006,0,,,,,0,,,,,,,0,1,0,
124,123,"9,2,5,10,90,91,92,17,25,93,24,31,33,94,71,68,74,63,51,47,41,11,14,3,12,13,29,27,18,32,58,61,70,0",,0,20004,0,,,,,0,,,,,,,0,1,0,
125,124,"9,2,5,10,90,91,92,17,25,93,24,31,33,94,71,68,74,63,51,47,40,41,6,8,13,58,61,70,44,37,34",,0,20007,0,,,,,0,,,,,,,0,1,0,
126,125,"9,2,5,10,90,91,92,17,25,93,24,31,33,94,71,68,74,63,51,47,40,41,0",,0,20003,0,,,,,0,,,,,,,0,1,0,
127,126,"9,2,5,10,90,91,92,17,25,93,24,31,33,94,71,68,74,63,51,47,40,41,0",,0,20004,0,,,,,0,,,,,,,0,1,0,
128,127,"9,2,5,10,90,91,92,17,25,93,24,31,33,94,71,68,74,63,51,47,40,41,11,14,3,12,13,29,27,18,32,58,61,70,44,0",,0,20005,0,,,,,0,,,,,,,0,1,0,
129,128,"9,2,5,10,90,91,92,17,25,93,24,31,33,94,71,68,74,63,51,47,40,41,87,0",,0,20005,0,,,,,0,,,,,,,0,1,0,
130,129,"9,2,5,10,90,91,92,17,25,93,24,31,33,94,71,68,74,63,51,47,40,41,87,29,27,18,32,22,58,61,70,0",,0,20007,1,,,,,0,,,,,,,0,1,0,
131,130,"9,2,5,10,90,91,92,17,25,93,24,31,33,94,71,68,74,63,51,47,40,41,87,29,27,18,32,22,58,61,70,0",,0,20005,0,,,,,0,,,,,,,0,1,0,
132,131,"9,2,5,10,90,91,93,24,31,33,94,71,68,74,63,51,47,40,41,87,29,27,18,32,58,61,70,44,37,34",,0,20007,1,,,,,0,,,,,,,0,1,0,
133,132,"9,2,5,10,90,91,92,17,25,93,24,31,33,94,71,68,74,63,51,47,40,41,87,29,27,18,32,22,58,61,70,0",,0,20005,0,,,,,0,,,,,,,0,1,0,
134,133,"9,2,5,10,90,91,93,24,31,33,94,71,68,74,63,51,47,40,41,87,82,0",,0,20004,0,,,,,0,,,,,,,0,1,0,
135,134,"9,2,5,10,90,91,93,24,31,33,94,71,68,74,63,51,47,40,41,87,82,0",,0,20003,0,,,,,0,,,,,,,0,1,0,
136,135,"9,2,5,10,90,91,93,24,31,33,94,71,68,74,63,51,47,40,41,87,82,11,12,18,32,58,61,44,37,34,0",,0,20007,0,,,,,0,,,,,,,0,1,0,
137,136,"9,2,5,10,90,91,93,24,31,33,94,71,68,74,63,51,47,40,41,87,82,11,14,3,12,29,27,18,32,58,61,70,44,37,34",,0,20007,0,,,,,0,,,,,,,0,1,0,
138,137,"9,2,5,10,90,91,93,24,31,33,94,71,68,74,63,51,47,40,41,87,82,11,12,18,32,58,61,44,37,34,0",,0,20004,0,,,,,0,,,,,,,0,1,0,
139,138,"9,2,5,10,90,91,21,24,31,33,94,71,68,74,63,51,47,40,41,87,82,6,8,13,22,70,0",,0,20007,0,,,,,0,,,,,,,0,1,0,
140,139,"9,2,5,10,90,91,93,24,31,33,94,71,68,74,63,51,47,40,41,87,82,11,14,3,12,29,27,18,32,58,61,70,44,37,34,89,86,60,108",,559,90006,1,,,108,,0,,,,,,,0,1,0,
141,140,"9,2,5,10,90,91,93,24,31,33,94,71,68,74,63,51,47,40,41,87,82,0",,0,20006,0,,,,,0,,,,,,,0,1,0,
142,141,"9,2,5,10,90,91,93,24,31,33,94,71,68,74,63,51,47,40,41,87,82,3,12,18,32,58,61,44,37,34,89,0",,0,20005,0,,,,,0,,,,,,,0,1,0,
143,142,"9,2,5,10,90,91,93,24,31,33,94,71,68,74,63,51,47,40,41,87,82,3,12,18,32,58,61,44,37,34,89,0",,0,20006,0,,,,,0,,,,,,,0,1,0,
144,143,"9,2,5,10,90,91,93,24,31,33,94,71,68,74,63,51,47,40,41,87,82,0",,0,20004,0,,,,,0,,,,,,,0,1,0,
145,144,"9,2,5,10,90,91,93,24,31,33,94,71,68,74,63,51,47,40,41,87,82,3,12,18,32,58,61,44,37,34,89,0",,0,20005,0,,,,,0,,,,,,,0,1,0,
146,145,"9,2,5,10,90,91,92,17,25,93,24,31,33,94,71,68,74,63,51,47,40,41,87,82,11,12,27,18,58,61,44,37,89,86,1",,0,20005,1,,,,,0,,,,,,,0,1,0,
147,146,"9,2,90,91,92,17,25,33,94,71,68,74,63,51,47,41,40,87,82,0",,0,20004,0,,,,,0,,,,,,,0,1,0,
148,147,"9,2,90,91,92,17,25,33,94,71,68,74,63,51,47,41,40,87,82,3,14,29,32,58,70,44,34,89,77,0",,0,20006,0,,,,,0,,,,,,,0,1,0,
149,148,"9,2,90,91,92,17,25,33,94,71,68,74,63,51,47,41,40,87,82,0",,0,20006,0,,,,,0,,,,,,,0,1,0,
150,149,"9,2,5,10,90,91,92,17,25,93,24,31,33,94,71,68,74,63,51,47,40,41,87,82,3,14,29,32,58,70,44,34,89,77,26",,0,20008,1,,,,,0,,,,,,,0,1,0,
151,150,"9,2,90,91,92,17,25,33,94,71,68,74,63,51,47,41,40,87,82,3,14,29,32,58,70,44,34,89,77,0",,0,20004,0,,,,,0,,,,,,,0,1,0,
152,151,"9,2,5,10,92,17,25,93,24,71,68,74,63,51,47,41,40,87,82,0",,0,20004,0,,,,,0,,,,,,,0,1,0,
153,152,"9,2,5,10,92,17,25,93,24,71,68,74,63,51,47,41,40,87,82,0",,0,20006,0,,,,,0,,,,,,,0,1,0,
154,153,"9,2,5,10,92,17,25,93,24,71,68,74,63,51,47,41,40,87,82,11,3,29,18,61,70,37,34,80,86,0",,0,20006,0,,,,,0,,,,,,,0,1,0,
155,154,"9,2,5,10,90,91,92,17,25,93,24,31,33,94,71,68,74,63,51,47,40,41,87,82,11,3,29,18,61,70,37,34,86,80,60",,0,20008,0,,,,,0,,,,,,,0,1,0,
156,155,"9,2,5,10,92,17,25,93,24,71,68,74,63,51,47,41,40,87,82,11,3,29,18,61,70,37,34,80,86,0",,0,20005,0,,,,,0,,,,,,,0,1,0,
157,156,"9,10,90,91,21,93,24,33,94,71,68,74,63,51,47,41,40,87,82,0",,0,20005,0,,,,,0,,,,,,,0,1,0,
158,157,"9,2,5,10,90,91,92,17,25,93,24,31,33,94,71,68,74,63,51,47,40,41,87,82,12,14,27,32,58,61,37,34,77,80,1,26,60,108",,559,90007,1,,,108,,0,,,,,,,0,1,0,
159,158,"9,10,90,91,21,93,24,33,94,71,68,74,63,51,47,41,40,87,82,12,14,27,32,58,61,37,34,77,80,0",,0,20006,0,,,,,0,,,,,,,0,1,0,
160,159,"9,10,90,91,21,93,24,33,94,71,68,74,63,51,47,41,40,87,82,12,14,27,32,58,61,37,34,77,80,0",,0,20006,0,,,,,0,,,,,,,0,1,0,
161,160,"5,10,90,91,93,24,31,33,94,71,68,74,63,51,47,41,40,87,82,0",,0,20007,0,,,,,0,,,,,,,0,1,0,
162,161,"9,2,5,10,90,91,92,17,25,93,24,31,33,94,71,68,74,63,51,47,40,41,87,82,11,12,27,18,58,61,44,37,89,86,1",,0,20005,1,,,,,0,,,,,,,0,1,0,
163,162,"5,10,90,91,93,24,31,33,94,71,68,74,63,51,47,41,40,87,82,11,12,27,18,58,61,44,37,89,86,0",,0,20005,0,,,,,0,,,,,,,0,1,0,
164,163,"5,10,90,91,93,24,31,33,94,71,68,74,63,51,47,41,40,87,82,0",,0,20006,0,,,,,0,,,,,,,0,1,0,
165,164,"9,2,90,91,92,17,25,33,94,71,68,74,63,51,47,41,40,87,82,0",,0,20005,0,,,,,0,,,,,,,0,1,0,
166,165,"9,2,5,10,90,91,92,17,25,93,24,31,33,94,71,68,74,63,51,47,40,41,87,82,3,14,29,32,58,70,44,34,89,77,26",,0,20008,0,,,,,0,,,,,,,0,1,0,
167,166,"9,2,90,91,92,17,25,33,94,71,68,74,63,51,47,41,40,87,82,3,14,29,32,58,70,44,34,89,77,0",,0,20005,0,,,,,0,,,,,,,0,1,0,
168,167,"9,2,90,91,92,17,25,33,94,71,68,74,63,51,47,41,40,87,82,0",,0,20005,0,,,,,0,,,,,,,0,1,0,
169,168,"9,2,5,10,92,17,25,93,24,71,68,74,63,51,47,41,40,87,82,0",,0,20008,0,,,,,0,,,,,,,0,1,0,
170,169,"9,2,5,10,92,17,25,93,24,71,68,74,63,51,47,41,40,87,82,0",,0,20008,0,,,,,0,,,,,,,0,1,0,
171,170,"9,2,5,10,92,17,25,93,24,71,68,74,63,51,47,41,40,87,82,11,3,29,18,61,70,37,34,80,86,0",,0,20006,0,,,,,0,,,,,,,0,1,0,
172,171,"9,2,5,10,90,91,92,17,25,93,24,31,33,94,71,68,74,63,51,47,40,41,87,82,11,3,29,18,61,70,37,34,86,80,60",,0,20005,0,,,,,0,,,,,,,0,1,0,
173,172,"9,10,90,91,21,93,24,33,94,71,68,74,63,51,47,41,40,87,82,0",,0,20004,0,,,,,0,,,,,,,0,1,0,
174,173,"9,10,90,91,21,93,24,33,94,71,68,74,63,51,47,41,40,87,82,0",,0,20006,0,,,,,0,,,,,,,0,1,0,
175,174,"9,10,90,91,21,93,24,33,94,71,68,74,63,51,47,41,40,87,82,12,14,27,32,58,61,37,34,77,80,0",,0,20006,0,,,,,0,,,,,,,0,1,0,
176,175,"9,10,90,91,21,93,24,33,94,71,68,74,63,51,47,41,40,87,82,12,14,27,32,58,61,37,34,77,80,0",,0,20008,0,,,,,0,,,,,,,0,1,0,
177,176,"9,2,5,10,90,91,92,17,25,93,24,31,33,94,71,68,74,63,51,47,40,41,87,82,12,14,27,32,58,61,37,34,77,80,42",,0,20007,0,,,,,0,,,,,,,0,1,0,
178,177,"9,2,5,10,90,91,92,17,25,93,24,31,33,94,71,68,74,63,51,47,40,41,87,82,0",,0,20004,0,,,,,0,,,,,,,0,1,0,
179,178,"9,2,5,10,90,91,92,17,25,93,24,31,33,94,71,68,74,63,51,47,40,41,87,82,0",,0,20006,0,,,,,0,,,,,,,0,1,0,
180,179,"9,2,5,10,90,91,92,17,25,93,24,31,33,94,71,68,74,63,51,47,40,41,87,82,11,14,3,12,29,27,18,32,58,61,70,44,37,34,77,80,0",,0,20005,0,,,,,0,,,,,,,0,1,0,
181,180,"9,2,5,10,90,91,92,17,25,93,24,31,33,94,21,71,68,74,63,51,47,40,41,87,82,6,8,13,22,89,86,77,80,0",,0,20006,0,,,,,0,,,,,,,0,1,0,
182,181,"9,2,5,10,90,91,92,17,25,93,24,31,33,94,71,68,74,63,51,47,40,41,87,82,0",,0,20008,0,,,,,0,,,,,,,0,1,0,
183,182,"9,2,5,10,90,91,92,17,25,93,24,31,33,94,71,68,74,63,51,47,40,41,87,82,11,14,3,12,29,27,18,32,58,61,70,44,37,34,77,80,0",,0,20008,0,,,,,0,,,,,,,0,1,0,
