,id,name,code,description,max_tier,type,duration_type,duration,parameter,trigger_creation_id,creation_id,available_gun_type,ui_control
119,230,标识用buff【*】,,触发献祭RF效果【*】,1,400,1,-1,0,0,0,0,0
120,231,标识用buff【*】,,触发献祭AR效果【*】,1,400,1,-1,0,0,0,0,0
121,232,骰子点数,FlightChessBuff_24,行动不小于3,1,132,2,1,3,0,4,0,0
122,233,行动力提升,FlightChessBuff_3,行动力+4,99,102,1,1,4,0,8,0,0
123,234,行动力提升,FlightChessBuff_3,行动力+1,1,102,1,-1,1,0,8,0,0
124,235,行动力提升,FlightChessBuff_3,行动力+2,1,102,1,-1,2,0,8,0,0
125,236,行动力提升,FlightChessBuff_3,行动力+2,1,102,1,1,2,0,8,0,0
126,237,行动力提升,FlightChessBuff_3,行动力+4,1,102,1,1,4,0,8,0,0
127,238,行动力提升,FlightChessBuff_3,行动力+8,1,102,1,1,8,0,8,0,0
128,239,行动力提升,FlightChessBuff_3,行动力+16,1,102,1,1,16,0,8,0,0
129,240,行动力提升,FlightChessBuff_3,行动力+32,1,102,1,1,32,0,8,0,0
130,241,标识用buff【*】,,倍数行动力【*】,4,400,1,-1,0,0,0,0,0
131,242,骰子点数,FlightChessBuff_25,战斗骰子保底,1,135,2,1,*500112,0,4,0,0
132,243,骰子点数,FlightChessBuff_25,战斗骰子保底,1,135,2,1,*500113,0,4,0,0
133,244,标识用buff【*】,,增幅已使用【*】,1,400,1,1,0,0,0,0,0
134,246,伤害调整,FlightChessBuff_30,免疫1次伤害,1,108,2,1,*500114,0,0,0,0
135,247,普攻伤害调整,FlightChessBuff_29,必杀,1,120,2,1,*500115,0,5,0,0
136,248,标识用buff【*】,,61001【*】,1,400,1,-1,0,0,0,0,0
137,249,标识用buff【*】,,61002【*】,1,400,1,-1,0,0,0,0,0
138,250,标识用buff【*】,,61101【*】,1,400,1,-1,0,0,0,0,0
139,251,标识用buff【*】,,61102【*】,1,400,1,-1,0,0,0,0,0
140,252,标识用buff【*】,,扣代币【*】,1,400,1,1,0,0,0,0,0
141,253,标识用buff【*】,,14001屏蔽【*】,1,400,1,-1,0,0,0,0,0
142,254,跳跃距离,FlightChessBuff_27,机动距离+4,1,125,1,-1,4,0,5,0,0
143,255,最大生命,FlightChessBuff_8,最大生命+2,99,107,1,-1,2,0,6,0,0
144,256,行动力提升,FlightChessBuff_3,行动力-1,99,102,1,-1,-1,0,13,0,0
145,257,最大生命,FlightChessBuff_8,最大生命+4,99,107,1,-1,4,0,6,0,0
146,258,伤害提升,FlightChessBuff_1,伤害+1,6,101,2,1,1,0,7,0,0
147,259,标识用buff【*】,,61701用【*】,1,400,1,1,0,0,0,0,0
148,260,标识用buff【*】,,17701用【*】,99,400,1,-1,0,0,0,0,0
149,261,冷却减少【*】,,当前冷却-1【*】,1,121,2,1,-1,0,0,0,0
150,262,冷却减少【*】,,当前冷却-2【*】,1,121,2,1,-2,0,0,0,0
151,263,伤害提升,FlightChessBuff_1,伤害+4,99,101,1,-1,3,0,7,0,0
152,264,标识用buff【*】,,62001用【*】,99,400,1,-1,0,0,0,0,0
153,265,射程,FlightChessBuff_5,射程+1,99,103,2,1,1,0,9,0,0
154,266,标识用buff【*】,,61901用【*】,99,400,1,-1,0,0,0,0,0
155,267,冷却减少【*】,,当前冷却-1【*】,1,121,2,1,-1,0,0,0,0
156,268,普攻伤害调整,FlightChessBuff_28,伤害+5,1,120,1,-1,*500116,0,5,0,0
157,269,伤害调整,FlightChessBuff_28,免疫1次伤害,1,108,1,-1,*500117,0,0,0,0
158,270,跳跃距离,FlightChessBuff_27,机动距离+2,1,125,1,-1,2,0,5,0,0
159,271,标识用buff【*】,,屏蔽17501【*】,99,400,1,-1,0,0,0,0,0
160,272,伤害提升,FlightChessBuff_1,伤害+1,99,101,1,1,1,0,7,0,0
161,273,行动力提升,FlightChessBuff_3,行动力+1,99,102,1,1,1,0,8,0,0
162,274,最大生命,FlightChessBuff_8,最大生命+1,99,107,1,1,1,0,6,0,0
163,275,射程,FlightChessBuff_5,射程+1,99,103,1,1,1,0,9,0,0
164,276,护盾值【*】,,护盾值+1【*】,99,104,1,1,1,0,0,0,0
165,277,跳跃距离,FlightChessBuff_27,机动距离+1,99,125,1,1,1,0,5,0,0
166,278,范围标识【*】,,,1,400,1,1,0,0,0,0,0
167,279,触发标识【*】,,2020101用【*】,1,400,1,1,0,0,0,0,0
168,280,范围标识【*】,,,1,400,1,1,0,0,0,0,0
169,281,触发标识【*】,,2040101用【*】,1,400,1,1,0,0,0,0,0
170,282,屏蔽标记【*】,,标记用【*】,1,400,1,1,0,0,0,0,0
171,283,护盾值【*】,,护盾值+4【*】,1,104,1,-1,4,0,0,0,0
172,284,标识用buff【*】,,17701用【*】,1,400,1,-1,0,0,0,0,0
173,285,标识用buff【*】,,17701用【*】,1,400,1,1,0,0,0,0,0
174,286,冷却减少【*】,,当前冷却-2【*】,1,121,2,1,-2,0,0,0,0
175,287,行动力提升,FlightChessBuff_3,行动力+2,1,102,1,-1,2,0,8,0,0
176,288,计数buff【*】,,触发62501【*】,10,400,1,1,0,0,0,0,0
