,id,target,offset,distance,duration,cd,is_character,easing_type
124,731,1,"-7,0,0",0,11,11,1,0
125,732,1,"6,0,0",0,17,17,1,0
126,733,1,"0.5,0,0",0,20,0,1,0
127,734,1,"-0.5,0,0",0,8,0,1,0
128,735,2,"-0.5,0,0",0,15,15,0,0
129,736,0,"0,0,0",0,11,11,0,0
130,737,1,"0,0,0",0,17,17,0,0
131,738,2,"0.5,0,0",0,15,15,0,0
132,739,3,"2,0,0",0,90,3,1,0
133,740,2,"6,0,0",0,30,30,1,5
134,741,1,"-2,0,0",0,45,45,1,5
135,742,2,"6.5,0,0",0,26,26,1,5
136,743,3,"6.235,-0.65,0",0,26,26,1,5
137,744,3,"6.235,-4.85,0",0,26,26,1,5
138,745,3,"6.235,3.55,0",0,20,20,1,5
139,746,3,"6.235,-2.75,0",0,20,20,1,5
140,747,3,"6.235,-6.95,0",0,20,20,1,5
141,748,3,"6.235,1.45,0",0,20,20,1,5
142,749,3,"29.235,-0.65,0",0,20,20,1,5
143,750,1,"-5,0,0",0,40,40,1,11
144,751,2,"-2,0,0",0,12,12,0,0
145,752,2,"-2,0,0",0,36,36,0,0
146,753,7,"0,0,0",0,15,15,0,0
147,754,1,"0,-12,0",0,29,29,1,0
148,755,1,"0,12,0",0,30,30,1,0
149,756,1,"0,-12,0",0,29,29,1,6
150,757,1,"0,12,0",0,30,30,1,6
151,758,1,"0,-6,0",0,14,14,1,23
152,759,1,"0,-6,0",0,15,15,1,22
153,760,1,"0,6,0",0,15,15,1,23
154,761,1,"0,6,0",0,15,15,1,22
155,762,1,"0,3,0",0,2,60,1,0
156,763,1,"0,-3,0",0,2,60,1,0
157,764,1,"0,-3,0",0,2,60,1,0
158,765,1,"0,3,0",0,2,60,1,0
159,766,1,"0,-12,0",0,59,59,1,0
160,767,1,"0,12,0",0,60,60,1,0
161,768,1,"0,-12,0",0,44,44,1,0
162,769,1,"0,12,0",0,45,45,1,0
163,770,1,"0,-12,0",0,14,14,1,0
164,771,1,"0,12,0",0,15,15,1,0
165,772,1,"0,-12,0",0,14,14,1,6
166,773,1,"0,12,0",0,15,15,1,6
167,774,1,"0,-12,0",0,14,14,1,4
168,775,1,"0,12,0",0,15,15,1,4
169,776,3,"5,-0.65,0",0,19,20,1,0
170,777,2,"2.4,0,0",0,2,18,1,0
171,778,3,"16,-0.65,0",0,6,6,1,0
172,779,2,"2.4,0,0",0,6,18,1,0
173,780,2,"1,0,-1",0,1,1,1,0
174,801,1,"-8,0,0",8,30,0,1,0
175,802,1,"8,0,0",8,30,0,1,0
176,803,1,"2,0,0",2,30,30,1,0
177,804,1,"2,0,0",2,18,15,1,0
178,805,1,"1,0,0",1,15,15,1,0
179,806,1,"8,0,0",0,90,90,1,0
180,807,1,"-8,0,0",0,90,90,1,0
181,808,2,"5,0,0",0,30,29,0,0
182,809,1,"0,0,0",0,1,1,0,0
183,810,2,"0,0,0",0,18,17,1,0
184,811,0,"0,0,0",0,3,0,1,0
185,812,2,"-2,0,0",0,12,12,0,0
186,813,2,"-2,0,0",-1,60,60,0,0
187,814,1,"0,0,0",0,12,12,0,0
188,815,1,"-2.8,0,0",0,28,28,1,0
189,816,1,"5,0,0",0,1,1,1,0
190,817,1,"1,0,0",0,1,1,1,0
191,818,2,"3,0,0",0,36,36,1,0
192,819,2,"2,0,0",0,1,1,1,0
193,820,2,"-2,-1.6,0",0,8,8,0,0
194,821,1,"-2,0,0",0,30,30,1,0
195,822,1,"2,0,0",0,1,1,1,0
196,823,1,"1,0,0",0,1,1,1,0
197,824,2,"2,0,0",0,20,20,1,0
198,825,2,"2,0,0",0,15,15,1,0
199,826,2,"6,0,0",0,40,40,1,0
200,827,3,"4,0,0",0,30,30,1,0
201,828,0,"0,0,0",0,10,10,0,0
202,829,2,"2,0,0",0,9,9,0,0
203,830,2,"2,0,0",0,10,10,0,0
204,831,2,"0,0,0",0,10,10,0,0
205,832,1,"0,0,0",0,40,40,0,0
206,833,1,"6,0,0",0,40,40,1,0
207,834,1,"10,0,0",0,1,1,1,0
208,835,1,"20,0,0",0,20,0,1,0
209,836,1,"5,0,0",0,12,0,0,0
210,837,1,"10,0,0",0,150,150,1,0
211,838,1,"1.2,0,0",0,17,17,0,0
212,839,1,"1.4,0,0",0,6,6,0,0
213,840,1,"0,0,0",0,18,18,0,0
214,841,0,"0,0,0",0,10,10,0,0
215,842,1,"1.2,0,0",0,5,5,0,0
216,843,1,"0,0,0",0,8,8,0,0
217,844,2,"0,0,0",0,2,2,0,0
218,845,1,"0,0,0",0,8,8,0,0
219,846,0,"0,0,0",0,12,12,0,2
220,847,2,"-1,0,0",0,5,5,0,0
221,848,1,"0,0,0",0,8,8,0,0
222,849,0,"0,0,0",0,10,10,0,2
223,850,1,"1.2,0,0",0,13,13,0,0
224,851,1,"0,0,0",0,13,13,0,0
225,852,1,"1.5,0,0",0,120,120,1,0
226,853,1,"0,0,0",0,25,25,1,0
227,854,1,"0,12,0",0,89,0,1,0
228,855,1,"0,-12,0",0,90,0,1,0
229,856,1,"0.4,0,0",0,30,0,1,0
230,857,1,"0.2,0,0",0,14,0,1,0
231,858,1,"7,0,0",0,120,0,1,0
232,859,1,"0,0,0",0,60,0,1,0
233,860,1,"3.5,0,0",0,60,0,1,0
234,861,1,"0,0,0",0,10,0,1,0
235,862,1,"0,0,0",0,73,0,1,0
236,863,1,"0,0,0",0,65,0,1,0
237,864,1,"2,0,0",0,5,5,1,0
238,1001,2,"1,0,0",0,45,45,1,3
239,1002,1,"5,0,0",0,15,15,1,0
240,1003,1,"18,0,0",0,90,90,1,0
241,1004,1,"-18,0,0",0,90,90,1,0
242,1005,2,"-1,0,0",0,12,12,1,0
243,1006,2,"-0.7,0,0",0,50,50,0,23
244,1007,2,"2.8,0,0",0,3,3,1,0
245,1008,0,"0,0,0",0,3,3,1,0
246,1009,2,"2.8,0,0",0,3,3,1,0
247,1015,2,"0,0,0",0,25,2,1,0
248,1016,1,"10,0,0",0,5,5,1,0
249,1017,1,"30,0,0",0,1,1,1,0
250,1018,2,"2,0,0",0,15,15,1,0
251,1019,2,"0,0,0",0,60,60,1,0
252,1020,2,"0,0,0",0,60,60,1,0
253,1021,3,"-20,0,0",0,1,1,1,0
254,1022,2,"3,0,0",0,90,90,1,0
255,999011,1,"3,0,0",0,90,90,1,1
256,999012,1,"3,0,0",0,30,30,1,0
257,999013,1,"3,0,0",0,30,30,1,0
