,id,type,goto_page
94,116,combine_gun_type_2,Factory-3
95,117,combine_gun_type_3,Factory-3
96,118,combine_gun_type_5,Factory-3
97,119,combine_gun_type_1,Factory-3
98,123,dorm_change,Dorm-0
99,124,friend_visit,Dorm-0
100,125,establish_up_type_101,Dorm-0
101,126,establish_up_type_103,Dorm-0
102,127,establish_up_type_102,Dorm-0
103,128,adopt_pet,Dorm-0
104,129,establish_up_type_201,Dorm-0
105,130,establish_up_type_202,Dorm-0
106,131,establish_up_type_204,Dorm-0
107,132,make_consume_fight_report,Dorm-0
108,133,establish_up_type_206,Dorm-0
109,134,establish_up_type_203,Dorm-0
110,135,establish_up_type_205,Dorm-0
111,136,friend_apply,Friend-0
112,137,friend_card_change,Friend-0
113,138,friend_headpic_change,Friend-0
114,142,adjust_equip_attr_100,Research-2
115,143,develop_fairy,Factory-0
116,144,eat_fairy,Research-3
117,145,upgrade_fairy,Research-0
118,147,retire_fairy,Factory-5
119,148,establish_up_type_301,Dorm-0
120,149,establish_up_type_302,Dorm-0
121,150,establish_up_type_303,Dorm-0
122,151,establish_up_type_304,Dorm-0
123,153,buy_mp,Mall-0
124,154,buy_ammo,Mall-0
125,155,buy_mre,Mall-0
126,156,buy_part,Mall-0
127,157,mission_emergency_0_3_6,MissionSelection-0
128,158,mission_emergency_1_4_4,MissionSelection-0
129,159,mission_emergency_3_3_4,MissionSelection-0
130,160,dorm_goaway,Dorm-0
131,161,borrow_friend_team,MissionSelection-0
132,162,buy_bp_pay,Mall-5
133,163,soul_bond_gun,Formation-0
134,164,special_develop_equip,Factory-4
135,165,eat,Factory-2
136,166,consume_voucher,Research-2
137,167,,SpecialOPS-0
138,168,auto_mission,MissionSelection-0
139,169,retire_equip,Factory-5
140,170,love_collect,Dorm-0
141,172,adjust_fairy,Research-4
142,173,gain_hg,Factory-0
143,174,gain_smg,Factory-0
144,175,gain_ar,Factory-0
145,176,gain_mg,Factory-0
146,177,gain_rf,Factory-0
147,178,gain_fittings,Factory-4
148,179,gain_magazine,Factory-4
149,180,gain_equipment,Factory-4
150,183,get_the_diamond,Mall-3
151,184,simulated_warfare,MissionSelection-2
152,185,mission_activities_win,MissionSelection-0
153,186,up_mod1,Research-5
154,187,up_mod2,Research-5
155,188,up_mod3,Research-5
156,189,upgrade2,Research-0
157,190,sun_friend_team_into,Friend-0
158,191,night_friend_team_into,Friend-0
159,192,mind_update,Research-5
160,193,reset_mission_group,MissionSelection-0
161,194,special_mission_point,MissionSelection-0
162,195,,SpecialActivity-0
163,197,get_lollipop,Dorm-0
164,198,get_icecream,Dorm-0
165,199,friend_greeting,Friend-0
166,200,friend_request,Friend-0
167,201,get_core,Factory-1
168,202,squad_data_analyse,Dorm-20005
169,203,squad_eat_chip,Dorm-20006
170,204,,Dorm-20001
171,205,,Dorm-20002
172,206,,Dorm-20003
173,207,,Dorm-20004
174,208,,SpecialOPSPanel-0
175,209,uniform_get_color,UserDressup-1
176,210,activation_uniform_skill,UserDressup-0
177,211,,Mall-209
178,212,use_dye,UserDressup-1
179,213,buy_assign_dye,Mall-5
180,214,buy_random_dye,Mall-5
181,215,get_commander_uniform,Mall-209
182,216,buy_commander_uniform,Mall-209
183,217,explore_has_time,Dorm-20008
184,218,explore_start,Dorm-20008
185,219,explore_auto_team,Dorm-20008
186,220,explore_first_times,Dorm-20008
187,221,explore_replay,Dorm-20008
188,222,explore_get_prize,Dorm-20008
189,223,explore_change_item,Dorm-20008
190,224,sangvis_retrieval,SangvisGasha-0
191,228,sangvis_dorm,Dorm-20009
192,229,sangvis_chip,Dorm-20009-902
193,230,sangvis_daily_retrieval,SangvisGasha-0
194,231,sangvis_aided_retrieval,SangvisGasha-0
195,232,sangvis_exercise_exp,MissionSelection-2-7
196,233,sangvis_exercise_star,MissionSelection-2-7
197,234,sangvis_exercise_analysis,MissionSelection-2-7
198,235,sangvis_resolution,Factory-3
199,236,sangvis_advance,Factory-2
200,237,sangvis_datatransport,Dorm-20009-904
201,238,sangvis_skillpractic,Research-0
202,239,sangvis_disassemble,Factory-1
203,240,sangvis_transport,Dorm-20009-904
204,241,sangvis_exercise,MissionSelection-2-7
205,242,targettrain_paas_1,MissionSelection-2-8
206,243,targettrain_paas_2,MissionSelection-2-8
207,244,targettrain_paas_3,MissionSelection-2-8
208,245,targettrain_paas_4,MissionSelection-2-8
209,246,targettrain_paas_5,MissionSelection-2-8
210,247,fetter_read_story,Dorm-20002-207
211,248,fetter_unlock_milestone,Dorm-20002-207
212,249,fetter_clear_fetter,Dorm-20002-207
213,250,eat_equip,Research-1
214,251,gasha,Dorm-1
215,252,storeroom,StoreRoom-0
216,253,rankinglist,RankingList-0
217,254,quests,Quests-0
218,255,setting,Setting-0
219,256,illustratedbook,IllustratedBook-0
220,257,mail,Mail-0
221,258,,SpecialActivity-1
222,259,,SpecialActivity-9
223,260,,SpecialActivity-10
224,261,,SpecialActivity-11
225,262,friend_praise,Dorm-0
226,263,squad_base_data_analyse,Dorm-20005
227,264,squad_senior_data_analyse,Dorm-20005
228,265,squad_get_chip,Dorm-20005
229,266,squad_get_secret_data,Dorm-20005
230,267,squad_get_type1_unit,Dorm-20006
231,268,squad_up_rank,Dorm-20006
232,269,squad_rank_max,Dorm-20006
233,270,squad_train_time,Dorm-20006
234,271,squad_level_max,Dorm-20006
235,272,squad_up_skill_times,Dorm-20006
236,273,squad_up_advanced_times,Dorm-20006
237,274,squad_chip_retire_times,Dorm-20006
238,275,squad_eat_chip_num,Dorm-20006
239,276,mission_emergency_0_1_3,MissionSelection-0
240,277,mission_emergency_0_1_5,MissionSelection-0
241,278,mission_emergency_0_1_6,MissionSelection-0
242,279,mission_emergency_0_2_1,MissionSelection-0
243,280,mission_emergency_0_2_2,MissionSelection-0
244,281,mission_emergency_0_2_3,MissionSelection-0
245,282,mission_emergency_0_2_4,MissionSelection-0
246,283,mission_emergency_0_2_5,MissionSelection-0
247,284,mission_emergency_0_2_6,MissionSelection-0
248,285,mission_emergency_1_1_2,MissionSelection-0
249,286,mission_emergency_1_1_3,MissionSelection-0
250,287,mission_emergency_1_1_4,MissionSelection-0
251,288,mission_emergency_1_2_2,MissionSelection-0
252,289,mission_emergency_1_2_3,MissionSelection-0
253,290,mission_emergency_1_2_4,MissionSelection-0
254,291,mission_emergency_0_3_1,MissionSelection-0
255,292,mission_emergency_0_3_2,MissionSelection-0
256,293,mission_emergency_0_3_3,MissionSelection-0
257,294,mission_emergency_0_3_4,MissionSelection-0
258,295,mission_emergency_0_3_5,MissionSelection-0
259,296,mission_emergency_1_3_2,MissionSelection-0
260,297,mission_emergency_1_3_3,MissionSelection-0
261,298,mission_emergency_1_3_4,MissionSelection-0
262,299,mission_emergency_0_4_1,MissionSelection-0
263,300,mission_emergency_0_4_2,MissionSelection-0
264,301,mission_emergency_0_4_3,MissionSelection-0
265,302,mission_emergency_0_4_4,MissionSelection-0
266,303,mission_emergency_0_4_5,MissionSelection-0
267,304,mission_emergency_0_4_6,MissionSelection-0
268,305,mission_emergency_1_4_2,MissionSelection-0
269,306,mission_emergency_1_4_3,MissionSelection-0
270,307,mission_emergency_0_5_1,MissionSelection-0
271,308,mission_emergency_0_5_2,MissionSelection-0
272,309,mission_emergency_0_5_3,MissionSelection-0
273,310,mission_emergency_0_5_4,MissionSelection-0
274,311,mission_emergency_0_5_5,MissionSelection-0
275,312,mission_emergency_3_1_2,MissionSelection-0
276,313,mission_emergency_3_1_3,MissionSelection-0
277,314,mission_emergency_3_1_4,MissionSelection-0
278,315,mission_emergency_3_2_2,MissionSelection-0
279,316,mission_emergency_3_2_3,MissionSelection-0
280,317,mission_emergency_3_2_4,MissionSelection-0
281,318,mission_emergency_3_3_2,MissionSelection-0
282,319,mission_emergency_3_3_3,MissionSelection-0
283,320,mission_emergency_0_5_6,MissionSelection-0
284,321,fetter_voice,Dorm-20002
285,322,fetter_skill,Dorm-20002
286,323,retire_gun_core,Factory-1
287,324,c_gun_skill_level,Research-0
288,325,c_gun_skill2_level,Research-0
289,326,doll_memoris,Dorm-20004
290,327,mission_duplicate_type5,MissionSelection-2
291,328,c_iop_develop_equip,Factory-4
292,329,different_equip,Factory-4
293,330,rank5_equip,Factory-4
294,331,c_equip_enhancement,Research-2
295,332,trial_layer,MissionSelection-2
296,333,different_fairy,Factory-4
297,334,c_fairy_rank,Research-3
298,335,c_fairy_skill_level,Research-0
299,337,c_squad_rank,Dorm-20006
300,338,write_squad_report,Dorm-20002
301,339,exchange_squad_report,Dorm-20008
302,340,c_squad_level,Dorm-20006
303,341,c_squad_allskills_level,Dorm-20006
304,342,c_squad_chip_level,Dorm-20006
305,343,c_sangvis_advance,Factory-2
306,344,different_sangvis_chip,Dorm-20009-902
307,345,complete_normal_mission,MissionSelection-0
308,346,complete_emergency_mission,MissionSelection-0
309,347,complete_night_mission,MissionSelection-0
310,348,complete_campaign,MissionSelection-3
311,349,write_report,Dorm-20002
312,350,from_friend_build_coin,Dorm-0
313,351,minigame_count,Dorm-20004
314,352,dorm_comfort,Dorm-0
315,353,coffeeshop_comic,Dorm-20004
316,354,coffeeshop_pv,Dorm-20004
317,355,costume_memoris,Dorm-20004
318,356,item_access_report,MissionSelection-2-1
319,357,item_access_capsule,MissionSelection-2-2
320,358,item_access_data,MissionSelection-2-3
321,359,item_access_calibration,MissionSelection-2-4
322,360,item_access_memory,MissionSelection-2-5
