,id,item_id,sub_type,mp,ammo,mre,part,gem,item_ids,onsale,in_gasha,code,order,rarity,decompose_gift,skin,is_live2d,filter_type
47,48,1048,1,0,0,0,0,200,508-5000,1,50,profilePic_rank5_KSG.png,5,5,100003:1,0,0,5
48,49,1049,1,0,0,0,0,200,508-5000,1,50,profilePic_rank5_M99.png,5,5,100003:1,0,0,5
49,50,1050,1,0,0,0,0,200,508-5000,1,50,profilePic_rank5_RO635.png,5,5,100003:1,0,0,5
50,51,1051,2,0,0,0,0,160,508-4000,1,0,card_rank10_manticore.prefab,1,1,,0,0,3
51,52,1052,2,0,0,0,0,240,508-6000,1,0,card_rank2_vespidripper.prefab,2,2,,0,0,3
52,53,1053,2,0,0,0,0,320,508-8000,1,0,card_rankJ_m4a1.prefab,3,3,,0,0,2
53,54,1054,2,0,0,0,0,320,508-8000,1,0,card_rankJ_spp1.prefab,3,3,,0,0,2
54,55,1055,2,0,0,0,0,400,508-10000,1,0,card_rankQ_dreamer.prefab,4,4,,0,0,3
55,56,1056,1,0,0,0,0,200,508-5000,1,0,profilePic_rank0_deepdive_ump40.png,1,5,,0,0,1
56,57,1057,2,0,0,0,0,400,508-10000,1,0,card_rankA_deepdive.prefab,1,5,,0,0,"1,2"
57,58,1058,1,0,0,0,0,40,508-1000,1,100,profilePic_rank2_FNP-9.png,1,2,100001:1,0,0,5
58,59,1059,1,0,0,0,0,40,508-1000,1,100,profilePic_rank2_G3.png,1,2,100001:1,0,0,5
59,60,1060,1,0,0,0,0,40,508-1000,1,100,profilePic_rank2_LWMMG.png,1,2,100001:1,0,0,5
60,61,1061,1,0,0,0,0,40,508-1000,1,100,profilePic_rank2_M3.png,1,2,100001:1,0,0,5
61,62,1062,1,0,0,0,0,40,508-1000,1,100,profilePic_rank2_NagantM1895.png,1,2,100001:1,0,0,5
62,63,1063,1,0,0,0,0,40,508-1000,1,100,profilePic_rank2_SpectreM4.png,1,2,100001:1,0,0,5
63,64,1064,1,0,0,0,0,40,508-1000,1,100,profilePic_rank2_SVT-38.png,1,2,100001:1,0,0,5
64,65,1065,1,0,0,0,0,80,508-2000,1,100,profilePic_rank3_M1Garand.png,3,3,100001:1,0,0,5
65,66,1066,1,0,0,0,0,80,508-2000,1,100,profilePic_rank3_M2HB.png,3,3,100001:1,0,0,5
66,67,1067,1,0,0,0,0,80,508-2000,1,100,profilePic_rank3_M21.png,3,3,100001:1,0,0,5
67,68,1068,1,0,0,0,0,80,508-2000,1,100,profilePic_rank3_StG44.png,3,3,100001:1,0,0,5
68,69,1069,1,0,0,0,0,80,508-2000,1,100,profilePic_rank3_Ttpistol.png,3,3,100001:1,0,0,5
69,70,1070,1,0,0,0,0,160,508-4000,1,70,profilePic_rank4_ASVal.png,4,4,100002:1,0,0,5
70,71,1071,1,0,0,0,0,160,508-4000,1,70,profilePic_rank4_M60.png,4,4,100002:1,0,0,5
71,72,1072,1,0,0,0,0,160,508-4000,1,70,profilePic_rank4_Mk23.png,4,4,100002:1,0,0,5
72,73,1073,1,0,0,0,0,160,508-4000,1,70,profilePic_rank4_Springfield.png,4,4,100002:1,0,0,5
73,74,1074,1,0,0,0,0,160,508-4000,1,70,profilePic_rank4_Stechkin.png,4,4,100002:1,0,0,5
74,75,1075,1,0,0,0,0,200,508-5000,1,50,profilePic_rank5_Kar98k.png,5,5,100003:1,0,0,5
75,76,1076,1,0,0,0,0,200,508-5000,1,50,profilePic_rank5_M950A.png,5,5,100003:1,0,0,5
76,77,1077,1,0,0,0,0,200,508-5000,1,50,profilePic_rank5_Thompson.png,5,5,100003:1,0,0,5
77,78,1078,2,0,0,0,0,240,508-6000,1,0,card_rank8_jaeger.prefab,8,3,,0,0,3
78,79,1079,2,0,0,0,0,160,508-4000,1,0,card_rank10_dragoon.prefab,10,2,,0,0,3
79,80,1080,2,0,0,0,0,400,508-10000,1,0,card_rankJ_sangvisferri.prefab,11,5,,0,0,3
80,81,1081,2,0,0,0,0,320,508-8000,1,0,card_rankK_ar15.prefab,13,4,,0,0,2
81,82,1082,2,0,0,0,0,400,508-10000,1,0,card_rankQ_destroyer.prefab,12,5,,0,0,3
82,83,1083,3,0,0,0,0,800,508-20000,1,0,cg1,1,10,,0,1,6
83,85,1085,3,0,0,0,0,800,508-20000,1,0,cg3,1,10,,0,1,6
84,86,1086,3,0,0,0,0,800,508-20000,1,0,cg4,1,10,,0,1,6
85,87,1087,1,0,0,0,0,80,508-2000,1,0,profilePic_pm_halloween.png,1,5,100003:1,1,0,4
86,88,1088,1,0,0,0,0,200,508-5000,1,0,profilePic_vector_halloween.png,1,5,100003:1,2,0,4
87,89,1089,1,0,0,0,0,160,508-4000,1,0,profilePic_mp5_halloween.png,1,5,100003:1,3,0,4
88,90,1090,1,0,0,0,0,40,508-1000,1,0,profilePic_m45_halloween.png,1,5,100003:1,4,0,4
89,91,1091,1,0,0,0,0,160,508-4000,1,0,profilePic_m1903_halloween.png,1,5,100003:1,5,0,4
90,92,1092,1,0,0,0,0,200,508-5000,1,0,profilePic_wa2000_halloween.png,1,5,100003:1,6,0,4
91,93,1093,1,0,0,0,0,80,508-2000,1,0,profilePic_m1919a4_halloween.png,1,5,100003:1,7,0,4
92,94,1094,1,0,0,0,0,160,508-4000,1,0,profilePic_mk23_halloween.png,1,5,100003:1,8,0,4
93,95,1095,1,0,0,0,0,200,508-5000,1,0,profilePic_g11_halloween.png,1,5,100003:1,9,0,4
94,96,1096,1,0,0,0,0,40,508-1000,1,0,profilePic_64type_halloween.png,1,5,100003:1,11,0,4
95,97,1097,1,0,0,0,0,200,508-5000,1,0,profilePic_MLEMK1_nichijou.png,1,5,100003:1,10,0,4
96,98,1098,1,0,0,0,0,80,508-2000,1,0,profilePic_MicroUZI_nichijou.png,1,5,100003:1,101,0,4
97,99,1099,1,0,0,0,0,160,508-4000,1,0,profilePic_M1918_nichijou.png,1,5,100003:1,102,0,4
98,100,1100,1,0,0,0,0,40,508-1000,1,0,profilePic_MP446_nichijou.png,1,5,100003:1,103,0,4
99,101,1101,1,0,0,0,0,40,508-1000,1,0,profilePic_64type_nichijou.png,1,5,100003:1,104,0,4
100,102,1102,1,0,0,0,0,200,508-5000,1,0,profilePic_Grizzly_nichijou.png,1,5,100003:1,105,0,4
101,103,1103,1,0,0,0,0,80,508-2000,1,0,profilePic_M1919A4_nichijou.png,1,5,100003:1,106,0,4
102,104,1104,1,0,0,0,0,160,508-4000,1,0,profilePic_m1873_xmas.png,1,5,100003:1,301,0,4
103,105,1105,1,0,0,0,0,160,508-4000,1,0,profilePic_m1903_xmas.png,1,5,100003:1,302,0,4
104,106,1106,1,0,0,0,0,80,508-2000,1,0,profilePic_m14_xmas.png,1,5,100003:1,303,0,4
105,107,1107,1,0,0,0,0,80,508-2000,1,0,profilePic_m21_xmas.png,1,5,100003:1,304,0,4
106,108,1108,1,0,0,0,0,160,508-4000,1,0,profilePic_svd_xmas.png,1,5,100003:1,305,0,4
107,109,1109,1,0,0,0,0,200,508-5000,1,0,profilePic_wa2000_xmas.png,1,5,100003:1,306,0,4
108,110,1110,1,0,0,0,0,200,508-5000,1,0,profilePic_ntw_xmas.png,1,5,100003:1,307,0,4
109,111,1111,1,0,0,0,0,200,508-5000,1,0,profilePic_fal_xmas.png,1,5,100003:1,308,0,4
110,112,1112,1,0,0,0,0,200,508-5000,1,0,profilePic_mg5_xmas.png,1,5,100003:1,309,0,4
111,113,1113,1,0,0,0,0,200,508-5000,1,0,profilePic_kp31_xmas.png,1,5,100003:1,310,0,4
112,114,1114,1,0,0,0,0,160,508-4000,1,0,profilePic_561type_spring.png,1,5,100003:1,401,0,4
113,115,1115,1,0,0,0,0,40,508-1000,1,0,profilePic_mp446_spring.png,1,5,100003:1,402,0,4
114,116,1116,1,0,0,0,0,200,508-5000,1,0,profilePic_nz75_spring.png,1,5,100003:1,403,0,4
115,117,1117,1,0,0,0,0,200,508-5000,1,0,profilePic_m99_spring.png,1,5,100003:1,404,0,4
116,118,1118,1,0,0,0,0,200,508-5000,1,0,profilePic_95type_spring.png,1,5,100003:1,405,0,4
117,119,1119,1,0,0,0,0,200,508-5000,1,0,profilePic_97type_spring.png,1,5,100003:1,406,0,4
118,120,1120,1,0,0,0,0,80,508-2000,1,0,profilePic_59type_spring.png,1,5,100003:1,407,0,4
119,121,1121,1,0,0,0,0,160,508-4000,1,0,profilePic_ptrd_spring.png,1,5,100003:1,408,0,4
120,122,1122,1,0,0,0,0,160,508-4000,1,0,profilePic_ump9_spring.png,1,5,100003:1,409,0,4
121,123,1123,1,0,0,0,0,160,508-4000,1,0,profilePic_ump45_spring.png,1,5,100003:1,410,0,4
122,124,1124,1,0,0,0,0,200,508-5000,1,0,profilePic_welrod_spring.png,1,5,100003:1,411,0,4
123,125,1125,1,0,0,0,0,80,508-2000,1,0,profilePic_sv98_maid.png,1,5,100003:1,502,0,4
124,126,1126,1,0,0,0,0,80,508-2000,1,0,profilePic_tt33_wedding.png,1,5,100003:1,601,0,4
125,127,1127,1,0,0,0,0,40,508-1000,1,0,profilePic_ppsh41_wedding.png,1,5,100003:1,602,0,4
126,128,1128,1,0,0,0,0,80,508-2000,1,0,profilePic_stenmkii_wedding.png,1,5,100003:1,603,0,4
127,129,1129,1,0,0,0,0,200,508-5000,1,0,profilePic_mlemk1_wedding.png,1,5,100003:1,604,0,4
128,130,1130,1,0,0,0,0,160,508-4000,1,0,profilePic_pk_wedding.png,1,5,100003:1,605,0,4
129,131,1131,1,0,0,0,0,160,508-4000,1,0,profilePic_p7_wedding.png,1,5,100003:1,606,0,4
130,132,1132,1,0,0,0,0,200,508-5000,1,0,profilePic_fal_wedding.png,1,5,100003:1,607,0,4
131,133,1133,1,0,0,0,0,160,508-4000,1,0,profilePic_ar15_serafuku.png,1,5,100003:1,701,0,4
132,134,1134,1,0,0,0,0,200,508-5000,1,0,profilePic_m950a_serafuku.png,1,5,100003:1,702,0,4
133,135,1135,1,0,0,0,0,200,508-5000,1,0,profilePic_mg4_serafuku.png,1,5,100003:1,703,0,4
134,136,1136,1,0,0,0,0,80,508-2000,1,0,profilePic_6p62_serafuku.png,1,5,100003:1,704,0,4
135,137,1137,1,0,0,0,0,80,508-2000,1,0,profilePic_vz61_dress.png,1,5,100003:1,801,0,4
136,138,1138,1,0,0,0,0,160,508-4000,1,0,profilePic_m1903_dress.png,1,5,100003:1,802,0,4
137,139,1139,1,0,0,0,0,160,508-4000,1,0,profilePic_m1891_dress.png,1,5,100003:1,803,0,4
138,140,1140,1,0,0,0,0,200,508-5000,1,0,profilePic_wa2000_dress.png,1,5,100003:1,804,0,4
139,141,1141,1,0,0,0,0,200,508-5000,1,0,profilePic_hk416_dress.png,1,5,100003:1,805,0,4
140,142,1142,1,0,0,0,0,160,508-4000,1,0,profilePic_m1918_dress.png,1,5,100003:1,806,0,4
141,143,1143,1,0,0,0,0,200,508-5000,1,0,profilePic_sr3mp_dress.png,1,5,100003:1,807,0,4
142,144,1144,1,0,0,0,0,200,508-5000,1,0,profilePic_m950a_dress.png,1,5,100003:1,808,0,4
143,145,1145,1,0,0,0,0,200,508-5000,1,0,profilePic_MLEMK1_childrensday.png,1,5,100003:1,901,0,4
144,146,1146,1,0,0,0,0,40,508-1000,1,0,profilePic_MP40_childrensday.png,1,5,100003:1,902,0,4
145,147,1147,1,0,0,0,0,200,508-5000,1,0,profilePic_Grizzly_childrensday.png,1,5,100003:1,903,0,4
146,148,1148,1,0,0,0,0,200,508-5000,1,0,profilePic_NEGEV_childrensday.png,1,5,100003:1,904,0,4
147,149,1149,1,0,0,0,0,160,508-4000,1,0,profilePic_G36_childrensday.png,1,5,100003:1,905,0,4
148,150,1150,1,0,0,0,0,200,508-5000,1,0,profilePic_myu12_bb.png,1,5,100003:1,503,0,4
149,151,1151,1,0,0,0,0,200,508-5000,1,0,profilePic_dress_elphelt_gg.png,1,5,100003:1,504,0,4
150,152,1152,1,0,0,0,0,200,508-5000,1,0,profilePic_blood_elphelt_gg.png,1,5,100003:1,505,0,4
151,153,1153,1,0,0,0,0,200,508-5000,1,0,profilePic_NTW20_swimsuit.png,1,5,100003:1,1101,0,4
152,154,1154,1,0,0,0,0,200,508-5000,1,0,profilePic_95type_swimsuit.png,1,5,100003:1,1102,0,4
153,155,1155,1,0,0,0,0,200,508-5000,1,0,profilePic_KP31_swimsuit.png,1,5,100003:1,1103,0,4
154,156,1156,1,0,0,0,0,160,508-4000,1,0,profilePic_G28_swimsuit.png,1,5,100003:1,1104,0,4
155,157,1157,1,0,0,0,0,160,508-4000,1,0,profilePic_Ithaca37_swimsuit.png,1,5,100003:1,1105,0,4
156,158,1158,1,0,0,0,0,80,508-2000,1,0,profilePic_M1_swimsuit.png,1,5,100003:1,1106,0,4
157,159,1159,1,0,0,0,0,160,508-4000,1,0,profilePic_M1903_swimsuit.png,1,5,100003:1,1107,0,4
158,160,1160,1,0,0,0,0,200,508-5000,1,0,profilePic_WA2000_swimsuit.png,1,5,100003:1,1108,0,4
159,161,1161,1,0,0,0,0,200,508-5000,1,0,profilePic_FN57_swimsuit.png,1,5,100003:1,1109,0,4
160,162,1162,1,0,0,0,0,200,508-5000,1,0,profilePic_PKP_yukata.png,1,5,100003:1,1201,0,4
161,163,1163,1,0,0,0,0,200,508-5000,1,0,profilePic_G36C_yukata.png,1,5,100003:1,1202,0,4
162,164,1164,1,0,0,0,0,200,508-5000,1,0,profilePic_OTs14_yukata.png,1,5,100003:1,1203,0,4
163,165,1165,1,0,0,0,0,160,508-4000,1,0,profilePic_KLIN_yukata.png,1,5,100003:1,1204,0,4
164,166,1166,1,0,0,0,0,160,508-4000,1,0,profilePic_MP5_yukata.png,1,5,100003:1,1205,0,4
165,167,1167,1,0,0,0,0,160,508-4000,1,0,profilePic_M249SAW_leisurewear.png,1,5,100003:1,1301,0,4
166,168,1168,1,0,0,0,0,160,508-4000,1,0,profilePic_9A91_leisurewear.png,1,5,100003:1,1302,0,4
167,169,1169,1,0,0,0,0,40,508-1000,1,0,profilePic_G3_leisurewear.png,1,5,100003:1,1303,0,4
168,170,1170,1,0,0,0,0,160,508-4000,1,0,profilePic_MG3_leisurewear.png,1,5,100003:1,1304,0,4
169,171,1171,1,0,0,0,0,160,508-4000,1,0,profilePic_TAR-21_leisurewear.png,1,5,100003:1,1305,0,4
170,172,1172,1,0,0,0,0,0,,0,0,profilePic_2016halloween,1,5,100003:1,0,0,1
171,173,1173,1,0,0,0,0,200,508-5000,1,0,profilePic_Welrod_halloween2,1,5,100003:1,1401,0,4
172,174,1174,1,0,0,0,0,200,508-5000,1,0,profilePic_79type_halloween2,1,5,100003:1,1402,0,4
173,175,1175,1,0,0,0,0,200,508-5000,1,0,profilePic_IWS2000_halloween2,1,5,100003:1,1403,0,4
174,176,1176,1,0,0,0,0,160,508-4000,1,0,profilePic_P7_halloween2,1,5,100003:1,1404,0,4
175,177,1177,1,0,0,0,0,160,508-4000,1,0,profilePic_Spitfire_halloween2,1,5,100003:1,1405,0,4
176,178,1178,1,0,0,0,0,80,508-2000,1,0,profilePic_FNFNC_halloween2,1,5,100003:1,1406,0,4
177,179,1179,1,0,0,0,0,80,508-2000,1,0,profilePic_SuperSASS_halloween2,1,5,100003:1,1407,0,4
178,180,1180,1,0,0,0,0,200,508-5000,1,0,profilePic_rank5_RFB.png,1,5,100003:1,0,0,5
179,181,1181,1,0,0,0,0,200,508-5000,1,0,profilePic_rank5_SAT8.png,1,5,100003:1,0,0,5
180,182,1182,1,0,0,0,0,160,508-4000,1,0,profilePic_rank4_USAS12.png,1,4,100003:1,0,0,5
181,183,1183,1,0,0,0,0,200,508-5000,1,0,profilePic_rank5_Vector.png,1,5,100003:1,0,0,5
182,184,1184,1,0,0,0,0,160,508-4000,1,0,profilePic_rank4_Spitfire.png,1,4,100003:1,0,0,5
183,185,1185,2,0,0,0,0,400,508-10000,1,0,card_rank7_kar98k.prefab,1,5,,0,0,2
184,186,1186,2,0,0,0,0,320,508-8000,1,0,card_rankQ_M4A1.prefab,1,4,,0,0,2
185,187,1187,2,0,0,0,0,320,508-8000,1,0,card_rankK_M16A1.prefab,1,4,,0,0,2
186,188,1188,2,0,0,0,0,400,508-10000,1,0,card_rank10_HALLOWEEN.prefab,1,6,,0,0,2
187,189,1189,2,0,0,0,0,160,508-4000,1,0,card_rankQ_dinergate.prefab,1,3,,0,0,3
188,190,1190,1,0,0,0,0,400,508-10000,1,0,profilePic_Kiana_GGSD,1,5,100003:1,506,0,4
189,191,1191,1,0,0,0,0,400,508-10000,1,0,profilePic_Bronya_GGSD,1,5,100003:1,507,0,4
190,192,1192,1,0,0,0,0,400,508-10000,1,0,profilePic_Seele_GGSD,1,5,100003:1,508,0,4
191,193,1193,1,0,0,0,0,0,,0,0,profilePic_souvenir_GGSD,1,5,,0,0,1
192,194,1194,1,0,0,0,0,0,,0,0,profilePic_Kiana_origin,1,5,,0,0,1
193,195,1195,1,0,0,0,0,0,,0,0,profilePic_RaidenMei_origin,1,5,,0,0,1
194,196,1196,1,0,0,0,0,0,,0,0,profilePic_Bronya_origin,1,5,,0,0,1
195,197,1197,1,0,0,0,0,0,,0,0,profilePic_Theresa_origin,1,5,,0,0,1
196,198,1198,1,0,0,0,0,0,,0,0,profilePic_Himeko_origin,1,5,,0,0,1
197,199,1199,1,0,0,0,0,0,,0,0,profilePic_Seele_origin,1,5,,0,0,1
198,200,1200,2,0,0,0,0,0,,0,0,card_souvenir1_GGSD,1,5,,0,0,"1,2"
199,201,1201,2,0,0,0,0,0,,0,0,card_souvenir2_GGSD,1,5,,0,0,"1,2"
200,202,1202,2,0,0,0,0,0,,0,0,card_souvenir3_GGSD,1,5,,0,0,"1,2"
201,203,1203,1,0,0,0,0,400,508-10000,1,0,profilePic_M1928A1_manwear,1,5,,1501,0,4
202,204,1204,1,0,0,0,0,400,508-10000,1,0,profilePic_Contender_manwear,1,5,,1502,0,4
203,205,1205,1,0,0,0,0,400,508-10000,1,0,profilePic_PKP_manwear,1,5,,1503,0,4
204,206,1206,1,0,0,0,0,400,508-10000,1,0,profilePic_MG5_manwear,1,5,,1504,0,4
205,207,1207,1,0,0,0,0,320,508-8000,1,0,profilePic_AEK999_manwear,1,5,,1505,0,4
206,208,1208,1,0,0,0,0,320,508-8000,1,0,profilePic_PzB39_manwear,1,5,,1506,0,4
207,209,1209,1,0,0,0,0,320,508-8000,1,0,profilePic_G36_manwear,1,5,,1507,0,4
208,210,1210,1,0,0,0,0,0,,0,0,profilePic_2017manwear,1,5,,0,0,1
209,211,1211,3,0,0,0,0,400,508-8000,0,0,cg_manwear,1,10,,0,0,
210,212,1212,1,0,0,0,0,0,,0,0,profilePic_2016xmas,1,5,,0,0,1
211,213,1215,1,0,0,0,0,200,508-5000,1,0,profilePic_RFB_xmas2,1,5,,1601,0,4
212,214,1216,1,0,0,0,0,200,508-5000,1,0,profilePic_G11_xmas2,1,5,,1602,0,4
213,215,1217,1,0,0,0,0,200,508-5000,1,0,profilePic_ZastavaM21_xmas2,1,5,,1603,0,4
214,216,1218,1,0,0,0,0,200,508-5000,1,0,profilePic_CZ75_xmas2,1,5,,1604,0,4
215,217,1219,1,0,0,0,0,160,508-4000,1,0,profilePic_Ameli_xmas2,1,5,,1605,0,4
216,218,1220,1,0,0,0,0,160,508-4000,1,0,profilePic_M1918_xmas2,1,5,,1606,0,4
217,219,1221,1,0,0,0,0,80,508-2000,1,0,profilePic_OC44_xmas2,1,5,,1608,0,4
218,220,1213,3,0,0,0,0,600,508-15000,1,0,cg_christmas_bed,1,10,,0,0,
219,221,1214,3,0,0,0,0,400,508-8000,0,0,cg_christmas_room,1,10,,0,1,6
220,222,1222,1,0,0,0,0,200,508-5000,1,0,profilePic_bonus1_xmas2,1,5,,0,0,1
221,223,1223,1,0,0,0,0,200,508-5000,1,0,profilePic_bonus2_xmas2,1,5,,0,0,1
222,224,1224,1,0,0,0,0,200,508-5000,1,0,profilePic_bonus3_xmas2,1,5,,0,0,1
223,225,1225,1,0,0,0,0,200,508-5000,1,0,profilePic_bonus4_xmas2,1,5,,0,0,1
224,226,1226,2,0,0,0,0,400,508-10000,1,0,card_bonus5_xmas,1,5,,0,0,"1,2"
225,227,1227,1,0,0,0,0,200,508-5000,0,0,profilePic_bonus1_fz1year,1,5,,0,0,1
226,228,1228,1,0,0,0,0,0,,0,0,profilePic_comic_AC130_1,1,5,,0,0,1
227,229,1229,1,0,0,0,0,0,,0,0,profilePic_comic_AC130_2,1,5,,0,0,1
228,230,1230,1,0,0,0,0,0,,0,0,profilePic_comic_AC130_3,1,5,,0,0,1
229,231,1231,1,0,0,0,0,200,508-5000,1,0,profilePic_M99_leisurewear2,1,5,,1701,0,4
230,232,1232,1,0,0,0,0,200,508-5000,1,0,profilePic_NZ75_leisurewear2,1,5,,1702,0,4
231,233,1233,1,0,0,0,0,160,508-4000,1,0,profilePic_SPP1_leisurewear2,1,5,,1703,0,4
232,234,1234,1,0,0,0,0,160,508-4000,1,0,profilePic_SUPERSHORTY_leisurewear2,1,5,,1704,0,4
233,235,1235,1,0,0,0,0,80,508-2000,1,0,profilePic_RMB93_leisurewear2,1,5,,1705,0,4
234,236,1236,2,0,0,0,0,400,508-10000,1,0,card_rankA_taiwanOne,1,5,,0,0,2
235,237,1237,1,0,0,0,0,200,508-5000,1,0,profilePic_2018winter,1,5,,0,0,1
236,238,1238,2,0,0,0,0,400,508-10000,1,0,card_rankA_2018winter,1,5,,0,0,"1,3"
237,239,1239,1,0,0,0,0,200,508-5000,1,0,profilePic_DSR50_newyear2,1,5,100003:1,1801,0,4
238,240,1240,1,0,0,0,0,200,508-5000,1,0,profilePic_SAT8_newyear2,1,5,100003:1,1802,0,4
239,241,1241,1,0,0,0,0,200,508-5000,1,0,profilePic_ART556_newyear2,1,5,100003:1,1803,0,4
240,242,1242,1,0,0,0,0,200,508-5000,1,0,profilePic_JS05_newyear2,1,5,100003:1,1804,0,4
241,243,1243,1,0,0,0,0,160,508-4000,1,0,profilePic_MK23_newyear2,1,5,100003:1,1805,0,4
242,244,1244,1,0,0,0,0,160,508-4000,1,0,profilePic_M590_newyear2,1,5,100003:1,1806,0,4
