,id,type,gem_pay,gem,double_gem_pay,double_gem,mp,ammo,mre,part,icon,month_card_type,quota_num,prize_id,classification_id,description,clear_type,clear_parameter
37,248,21,2380,2380,2380,2380,0,0,0,0,,,1,1205,2000,,0,0
38,249,22,60,60,60,60,0,0,0,0,,,1,1196,2000,,0,0
39,250,21,2380,2380,2380,2380,0,0,0,0,,,1,1229,2000,,0,0
40,251,21,1880,1880,1880,1880,0,0,0,0,,,2,1240,2000,,0,0
41,252,21,500,500,500,500,0,0,0,0,,,1,1241,2000,,0,0
42,253,21,2380,2380,2380,2380,0,0,0,0,,,1,1229,2000,,0,0
43,254,21,1880,1880,1880,1880,0,0,0,0,,,2,1240,2000,,0,0
44,255,21,800,800,800,800,0,0,0,0,,,5,1243,2000,,0,0
45,256,21,1160,1160,1160,1160,0,0,0,0,,,2,1253,2000,,0,
46,257,21,1160,1160,1160,1160,0,0,0,0,,,2,1254,2000,,0,
47,258,21,1880,1880,1880,1880,0,0,0,0,,,1,1292,2000,,0,
48,259,21,2380,2380,2380,2380,0,0,0,0,,,1,1322,2000,,0,
49,260,21,500,500,500,500,0,0,0,0,,,1,1323,2000,,0,
50,261,21,1880,1880,1880,1880,0,0,0,0,,,2,1324,2000,,0,
51,262,21,1160,1160,1160,1160,0,0,0,0,,,1,1410,6003,,0,
52,263,21,1880,1880,1880,1880,0,0,0,0,,,1,1411,6003,,0,
53,264,21,2380,2380,2380,2380,0,0,0,0,,,1,1412,6003,,0,
54,265,21,1160,1160,1160,1160,0,0,0,0,,,2,1413,6003,,0,
55,266,21,1160,1160,1160,1160,0,0,0,0,,,1,1464,6003,,0,
56,267,21,560,560,560,560,0,0,0,0,,,10,1465,6003,,0,
57,268,21,560,560,560,560,0,0,0,0,,,5,1466,6003,,0,
58,269,21,560,560,560,560,0,0,0,0,,,5,1467,6003,,0,
59,270,21,560,560,560,560,0,0,0,0,,,5,1468,6003,,0,
60,271,21,2450,2450,2450,2450,0,0,0,0,,,1,1469,6003,,0,
61,301,4,60,60,60,120,0,0,0,0,,,0,0,2000,,0,0
62,302,4,300,330,300,600,0,0,0,0,,,0,0,2000,,0,0
63,303,4,680,800,680,1360,0,0,0,0,,,0,0,2000,,0,0
64,304,4,1680,2000,1680,3360,0,0,0,0,,,0,0,2000,,0,0
65,305,4,3280,4000,3280,6560,0,0,0,0,,,0,0,2000,,0,0
66,306,4,6480,8000,6480,12960,0,0,0,0,,,0,0,2000,,0,0
67,307,5,0,0,0,0,500,500,500,300,,monthlycard2,0,0,2002,,0,0
68,308,5,0,30,0,0,0,0,0,0,,monthlycard1,0,0,2002,,0,0
69,309,5,0,0,0,0,0,0,0,0,,monthlycard3,0,0,2002,,0,0
70,320,21,1550,1550,0,0,0,0,0,0,,,0,74,2000,,0,0
71,321,21,720,720,0,0,0,0,0,0,,,0,78,2000,,0,0
72,322,21,1550,1550,0,0,0,0,0,0,,,0,79,2000,,0,0
73,323,21,2450,2450,0,0,0,0,0,0,,,0,80,2000,,0,0
74,324,21,2450,2450,2450,2450,0,0,0,0,,,1,159,2000,,0,0
75,325,21,720,720,720,720,0,0,0,0,,,1,78,2000,,0,0
76,326,21,1550,1550,1550,1550,0,0,0,0,,,1,79,2000,,0,0
77,327,21,2450,2450,2450,2450,0,0,0,0,,,1,80,2000,,0,0
78,328,21,2450,2450,2450,2450,0,0,0,0,,,1,975,2000,,0,0
79,329,21,2450,2450,2450,2450,0,0,0,0,,,1,559,2000,,0,0
80,330,21,2450,2450,2450,2450,0,0,0,0,,,1,560,2000,,0,0
81,331,21,2450,2450,2450,2450,0,0,0,0,,,1,561,2000,,0,0
82,332,21,2450,2450,2450,2450,0,0,0,0,,,1,562,2000,,0,0
83,333,21,60,60,60,60,0,0,0,0,,,1,571,2000,,0,0
84,334,21,1880,1880,1880,1880,0,0,0,0,,,1,1081,2000,,0,0
85,335,21,1880,1880,1880,1880,0,0,0,0,,,1,1082,2000,,0,0
86,336,21,1880,1880,1880,1880,0,0,0,0,,,1,1083,2000,,0,0
87,337,21,1880,1880,1880,1880,0,0,0,0,,,1,1084,2000,,0,0
88,338,22,60,60,60,60,0,0,0,0,,,1,1167,2000,,0,0
89,339,21,500,500,500,500,0,0,0,0,,,1,1168,2000,,0,0
90,340,22,60,60,60,60,0,0,0,0,,,1,1171,2000,,0,0
91,341,21,330,330,330,330,0,0,0,0,,,10,1172,2000,,0,0
92,342,21,500,500,500,500,0,0,0,0,,,1,1168,2000,,0,0
93,343,21,1160,1160,1160,1160,0,0,0,0,,,2,1178,2000,,0,0
94,344,22,60,60,60,60,0,0,0,0,,,1,1171,2000,,0,0
95,345,21,1880,1880,1880,1880,0,0,0,0,,,1,1202,2000,,0,0
96,346,21,1880,1880,1880,1880,0,0,0,0,,,1,1203,2000,,0,0
97,347,21,1160,1160,1160,1160,0,0,0,0,,,2,1204,2000,,0,0
98,348,21,2380,2380,2380,2380,0,0,0,0,,,1,1205,2000,,0,0
99,349,22,60,60,60,60,0,0,0,0,,,1,1196,2000,,0,0
100,350,21,2380,2380,2380,2380,0,0,0,0,,,1,1229,2000,,0,0
101,351,21,1880,1880,1880,1880,0,0,0,0,,,2,1240,2000,,0,0
102,352,21,500,500,500,500,0,0,0,0,,,1,1241,2000,,0,0
103,353,21,2380,2380,2380,2380,0,0,0,0,,,1,1229,2000,,0,0
104,354,21,1880,1880,1880,1880,0,0,0,0,,,2,1240,2000,,0,0
105,355,21,800,800,800,800,0,0,0,0,,,5,1243,2000,,0,0
106,356,21,1160,1160,1160,1160,0,0,0,0,,,2,1253,2000,,0,
107,357,21,1160,1160,1160,1160,0,0,0,0,,,2,1254,2000,,0,
108,358,21,1880,1880,1880,1880,0,0,0,0,,,1,1292,2000,,0,
109,359,21,2380,2380,2380,2380,0,0,0,0,,,1,1322,2000,,0,
110,360,21,500,500,500,500,0,0,0,0,,,1,1323,2000,,0,
111,361,21,1880,1880,1880,1880,0,0,0,0,,,2,1324,2000,,0,
112,362,21,1160,1160,1160,1160,0,0,0,0,,,1,1410,6003,,0,
113,363,21,1880,1880,1880,1880,0,0,0,0,,,1,1411,6003,,0,
114,364,21,2380,2380,2380,2380,0,0,0,0,,,1,1412,6003,,0,
115,365,21,1160,1160,1160,1160,0,0,0,0,,,2,1413,6003,,0,
116,366,21,1160,1160,1160,1160,0,0,0,0,,,1,1464,6003,,0,
117,367,21,560,560,560,560,0,0,0,0,,,10,1465,6003,,0,
118,368,21,560,560,560,560,0,0,0,0,,,5,1466,6003,,0,
119,369,21,560,560,560,560,0,0,0,0,,,5,1467,6003,,0,
120,370,21,560,560,560,560,0,0,0,0,,,5,1468,6003,,0,
121,371,21,2450,2450,2450,2450,0,0,0,0,,,1,1469,6003,,0,
122,401,4,60,60,60,120,0,0,0,0,,,0,0,2000,,0,0
123,402,4,300,330,300,600,0,0,0,0,,,0,0,2000,,0,0
124,403,4,680,800,680,1360,0,0,0,0,,,0,0,2000,,0,0
125,404,4,1680,2000,1680,3360,0,0,0,0,,,0,0,2000,,0,0
126,405,4,3280,4000,3280,6560,0,0,0,0,,,0,0,2000,,0,0
127,406,4,6480,8000,6480,12960,0,0,0,0,,,0,0,2000,,0,0
128,407,5,0,0,0,0,500,500,500,300,,monthlycard2,0,0,2002,,0,0
129,408,5,0,30,0,0,0,0,0,0,,monthlycard1,0,0,2002,,0,0
130,409,4,0,10,0,0,0,0,0,0,,,0,0,2000,,0,0
131,410,5,0,0,0,0,0,0,0,0,,monthlycard3,0,0,2002,,0,0
132,420,21,1550,1550,0,0,0,0,0,0,,,0,74,2000,,0,0
133,421,21,720,720,0,0,0,0,0,0,,,0,78,2000,,0,0
134,422,21,1550,1550,0,0,0,0,0,0,,,0,79,2000,,0,0
135,423,21,2450,2450,0,0,0,0,0,0,,,0,80,2000,,0,0
136,424,21,2450,2450,2450,2450,0,0,0,0,,,1,159,2000,,0,0
137,425,21,720,720,720,720,0,0,0,0,,,1,78,2000,,0,0
138,426,21,1550,1550,1550,1550,0,0,0,0,,,1,79,2000,,0,0
139,427,21,2450,2450,2450,2450,0,0,0,0,,,1,80,2000,,0,0
140,428,21,2450,2450,2450,2450,0,0,0,0,,,1,975,2000,,0,0
141,429,21,2450,2450,2450,2450,0,0,0,0,,,1,559,2000,,0,0
142,430,21,2450,2450,2450,2450,0,0,0,0,,,1,560,2000,,0,0
143,431,21,2450,2450,2450,2450,0,0,0,0,,,1,561,2000,,0,0
144,432,21,2450,2450,2450,2450,0,0,0,0,,,1,562,2000,,0,0
145,433,21,60,60,60,60,0,0,0,0,,,1,571,2000,,0,0
146,434,21,1880,1880,1880,1880,0,0,0,0,,,1,1081,2000,,0,0
147,435,21,1880,1880,1880,1880,0,0,0,0,,,1,1082,2000,,0,0
148,436,21,1880,1880,1880,1880,0,0,0,0,,,1,1083,2000,,0,0
149,437,21,1880,1880,1880,1880,0,0,0,0,,,1,1084,2000,,0,0
150,438,22,60,60,60,60,0,0,0,0,,,1,1167,2000,,0,0
151,439,21,500,500,500,500,0,0,0,0,,,1,1168,2000,,0,0
152,440,22,60,60,60,60,0,0,0,0,,,1,1171,2000,,0,0
153,441,21,330,330,330,330,0,0,0,0,,,10,1172,2000,,0,0
154,442,21,500,500,500,500,0,0,0,0,,,1,1168,2000,,0,0
155,443,21,1160,1160,1160,1160,0,0,0,0,,,2,1178,2000,,0,0
156,444,22,60,60,60,60,0,0,0,0,,,1,1171,2000,,0,0
157,445,21,1880,1880,1880,1880,0,0,0,0,,,1,1202,2000,,0,0
158,446,21,1880,1880,1880,1880,0,0,0,0,,,1,1203,2000,,0,0
159,447,21,1160,1160,1160,1160,0,0,0,0,,,2,1204,2000,,0,0
160,448,21,2380,2380,2380,2380,0,0,0,0,,,1,1205,2000,,0,0
161,449,22,60,60,60,60,0,0,0,0,,,1,1196,2000,,0,0
162,450,21,2380,2380,2380,2380,0,0,0,0,,,1,1229,2000,,0,0
163,451,21,1880,1880,1880,1880,0,0,0,0,,,2,1240,2000,,0,0
164,452,21,500,500,500,500,0,0,0,0,,,1,1241,2000,,0,0
165,453,21,2380,2380,2380,2380,0,0,0,0,,,1,1229,2000,,0,0
166,454,21,1880,1880,1880,1880,0,0,0,0,,,2,1240,2000,,0,0
167,455,21,800,800,800,800,0,0,0,0,,,5,1243,2000,,0,0
168,456,21,1160,1160,1160,1160,0,0,0,0,,,2,1253,2000,,0,
169,457,21,1160,1160,1160,1160,0,0,0,0,,,2,1254,2000,,0,
170,458,21,1880,1880,1880,1880,0,0,0,0,,,1,1292,2000,,0,
171,459,21,2380,2380,2380,2380,0,0,0,0,,,1,1322,2000,,0,
172,460,21,500,500,500,500,0,0,0,0,,,1,1323,2000,,0,
173,461,21,1880,1880,1880,1880,0,0,0,0,,,2,1324,2000,,0,
174,462,21,1160,1160,1160,1160,0,0,0,0,,,1,1410,6003,,0,
175,463,21,1880,1880,1880,1880,0,0,0,0,,,1,1411,6003,,0,
176,464,21,2380,2380,2380,2380,0,0,0,0,,,1,1412,6003,,0,
177,465,21,1160,1160,1160,1160,0,0,0,0,,,2,1413,6003,,0,
178,466,21,1160,1160,1160,1160,0,0,0,0,,,1,1464,6003,,0,
179,467,21,560,560,560,560,0,0,0,0,,,10,1465,6003,,0,
180,468,21,560,560,560,560,0,0,0,0,,,5,1466,6003,,0,
181,469,21,560,560,560,560,0,0,0,0,,,5,1467,6003,,0,
182,470,21,560,560,560,560,0,0,0,0,,,5,1468,6003,,0,
183,471,21,2450,2450,2450,2450,0,0,0,0,,,1,1469,6003,,0,
184,501,4,60,60,60,120,0,0,0,0,,,0,0,2000,,0,0
185,502,4,300,330,300,600,0,0,0,0,,,0,0,2000,,0,0
186,503,4,680,800,680,1360,0,0,0,0,,,0,0,2000,,0,0
187,504,4,1680,2000,1680,3360,0,0,0,0,,,0,0,2000,,0,0
188,505,4,3280,4000,3280,6560,0,0,0,0,,,0,0,2000,,0,0
189,506,4,6480,8000,6480,12960,0,0,0,0,,,0,0,2000,,0,0
190,507,5,0,0,0,0,500,500,500,300,,monthlycard2,0,0,2002,,0,0
191,508,5,0,30,0,0,0,0,0,0,,monthlycard1,0,0,2002,,0,0
192,509,5,0,0,0,0,0,0,0,0,,monthlycard3,0,0,2002,,0,0
193,520,21,1550,1550,0,0,0,0,0,0,,,0,74,2000,,0,0
194,521,21,720,720,0,0,0,0,0,0,,,0,78,2000,,0,0
195,522,21,1550,1550,0,0,0,0,0,0,,,0,79,2000,,0,0
196,523,21,2450,2450,0,0,0,0,0,0,,,0,80,2000,,0,0
197,524,21,2450,2450,2450,2450,0,0,0,0,,,1,159,2000,,0,0
198,525,21,720,720,720,720,0,0,0,0,,,1,78,2000,,0,0
199,526,21,1550,1550,1550,1550,0,0,0,0,,,1,79,2000,,0,0
200,527,21,2450,2450,2450,2450,0,0,0,0,,,1,80,2000,,0,0
201,528,21,2450,2450,2450,2450,0,0,0,0,,,1,975,2000,,0,0
202,529,21,2450,2450,2450,2450,0,0,0,0,,,1,559,2000,,0,0
203,530,21,2450,2450,2450,2450,0,0,0,0,,,1,560,2000,,0,0
204,531,21,2450,2450,2450,2450,0,0,0,0,,,1,561,2000,,0,0
205,532,21,2450,2450,2450,2450,0,0,0,0,,,1,562,2000,,0,0
206,533,21,60,60,60,60,0,0,0,0,,,1,571,2000,,0,0
207,534,21,1880,1880,1880,1880,0,0,0,0,,,1,1081,2000,,0,0
208,535,21,1880,1880,1880,1880,0,0,0,0,,,1,1082,2000,,0,0
209,536,21,1880,1880,1880,1880,0,0,0,0,,,1,1083,2000,,0,0
210,537,21,1880,1880,1880,1880,0,0,0,0,,,1,1084,2000,,0,0
211,538,22,60,60,60,60,0,0,0,0,,,1,1167,2000,,0,0
212,539,21,500,500,500,500,0,0,0,0,,,1,1168,2000,,0,0
213,540,22,60,60,60,60,0,0,0,0,,,1,1171,2000,,0,0
214,541,21,330,330,330,330,0,0,0,0,,,10,1172,2000,,0,0
215,542,21,500,500,500,500,0,0,0,0,,,1,1168,2000,,0,0
216,543,21,1160,1160,1160,1160,0,0,0,0,,,2,1178,2000,,0,0
217,544,22,60,60,60,60,0,0,0,0,,,1,1171,2000,,0,0
218,545,21,1880,1880,1880,1880,0,0,0,0,,,1,1202,2000,,0,0
219,546,21,1880,1880,1880,1880,0,0,0,0,,,1,1203,2000,,0,0
220,547,21,1160,1160,1160,1160,0,0,0,0,,,2,1204,2000,,0,0
221,548,21,2380,2380,2380,2380,0,0,0,0,,,1,1205,2000,,0,0
222,549,22,60,60,60,60,0,0,0,0,,,1,1196,2000,,0,0
223,550,21,2380,2380,2380,2380,0,0,0,0,,,1,1229,2000,,0,0
224,551,21,1880,1880,1880,1880,0,0,0,0,,,2,1240,2000,,0,0
225,552,21,500,500,500,500,0,0,0,0,,,1,1241,2000,,0,0
226,553,21,2380,2380,2380,2380,0,0,0,0,,,1,1229,2000,,0,0
227,554,21,1880,1880,1880,1880,0,0,0,0,,,2,1240,2000,,0,0
228,555,21,800,800,800,800,0,0,0,0,,,5,1243,2000,,0,0
229,556,21,1160,1160,1160,1160,0,0,0,0,,,2,1253,2000,,0,
230,557,21,1160,1160,1160,1160,0,0,0,0,,,2,1254,2000,,0,
231,558,21,1880,1880,1880,1880,0,0,0,0,,,1,1292,2000,,0,
232,559,21,2380,2380,2380,2380,0,0,0,0,,,1,1322,2000,,0,
233,560,21,500,500,500,500,0,0,0,0,,,1,1323,2000,,0,
234,561,21,1880,1880,1880,1880,0,0,0,0,,,2,1324,2000,,0,
235,562,21,1160,1160,1160,1160,0,0,0,0,,,1,1410,6003,,0,
236,563,21,1880,1880,1880,1880,0,0,0,0,,,1,1411,6003,,0,
237,564,21,2380,2380,2380,2380,0,0,0,0,,,1,1412,6003,,0,
238,565,21,1160,1160,1160,1160,0,0,0,0,,,2,1413,6003,,0,
239,566,21,1160,1160,1160,1160,0,0,0,0,,,1,1464,6003,,0,
240,567,21,560,560,560,560,0,0,0,0,,,10,1465,6003,,0,
241,568,21,560,560,560,560,0,0,0,0,,,5,1466,6003,,0,
242,569,21,560,560,560,560,0,0,0,0,,,5,1467,6003,,0,
243,570,21,560,560,560,560,0,0,0,0,,,5,1468,6003,,0,
244,571,21,2450,2450,2450,2450,0,0,0,0,,,1,1469,6003,,0,
245,601,4,60,60,60,120,0,0,0,0,,,0,0,2000,,0,0
246,602,4,300,330,300,600,0,0,0,0,,,0,0,2000,,0,0
247,603,4,680,800,680,1360,0,0,0,0,,,0,0,2000,,0,0
248,604,4,1680,2000,1680,3360,0,0,0,0,,,0,0,2000,,0,0
249,605,4,3280,4000,3280,6560,0,0,0,0,,,0,0,2000,,0,0
250,606,4,6480,8000,6480,12960,0,0,0,0,,,0,0,2000,,0,0
251,607,5,0,0,0,0,500,500,500,300,,monthlycard2,0,0,2002,,0,0
252,608,5,0,30,0,0,0,0,0,0,,monthlycard1,0,0,2002,,0,0
253,609,5,0,0,0,0,0,0,0,0,,monthlycard3,0,0,2002,,0,0
254,620,21,1550,1550,0,0,0,0,0,0,,,0,74,2000,,0,0
255,621,21,720,720,0,0,0,0,0,0,,,0,78,2000,,0,0
256,622,21,1550,1550,0,0,0,0,0,0,,,0,79,2000,,0,0
257,623,21,2450,2450,0,0,0,0,0,0,,,0,80,2000,,0,0
258,624,21,2450,2450,2450,2450,0,0,0,0,,,1,159,2000,,0,0
259,625,21,720,720,720,720,0,0,0,0,,,1,78,2000,,0,0
260,626,21,1550,1550,1550,1550,0,0,0,0,,,1,79,2000,,0,0
261,627,21,2450,2450,2450,2450,0,0,0,0,,,1,80,2000,,0,0
262,628,21,2450,2450,2450,2450,0,0,0,0,,,1,975,2000,,0,0
263,629,21,2450,2450,2450,2450,0,0,0,0,,,1,559,2000,,0,0
264,630,21,2450,2450,2450,2450,0,0,0,0,,,1,560,2000,,0,0
265,631,21,2450,2450,2450,2450,0,0,0,0,,,1,561,2000,,0,0
266,632,21,2450,2450,2450,2450,0,0,0,0,,,1,562,2000,,0,0
267,633,21,60,60,60,60,0,0,0,0,,,1,571,2000,,0,0
268,634,21,1880,1880,1880,1880,0,0,0,0,,,1,1081,2000,,0,0
269,635,21,1880,1880,1880,1880,0,0,0,0,,,1,1082,2000,,0,0
270,636,21,1880,1880,1880,1880,0,0,0,0,,,1,1083,2000,,0,0
271,637,21,1880,1880,1880,1880,0,0,0,0,,,1,1084,2000,,0,0
272,638,22,60,60,60,60,0,0,0,0,,,1,1167,2000,,0,0
273,639,21,500,500,500,500,0,0,0,0,,,1,1168,2000,,0,0
274,640,22,60,60,60,60,0,0,0,0,,,1,1171,2000,,0,0
275,641,21,330,330,330,330,0,0,0,0,,,10,1172,2000,,0,0
276,642,21,500,500,500,500,0,0,0,0,,,1,1168,2000,,0,0
277,643,21,1160,1160,1160,1160,0,0,0,0,,,2,1178,2000,,0,0
278,644,22,60,60,60,60,0,0,0,0,,,1,1171,2000,,0,0
279,645,21,1880,1880,1880,1880,0,0,0,0,,,1,1202,2000,,0,0
280,646,21,1880,1880,1880,1880,0,0,0,0,,,1,1203,2000,,0,0
281,647,21,1160,1160,1160,1160,0,0,0,0,,,2,1204,2000,,0,0
282,648,21,2380,2380,2380,2380,0,0,0,0,,,1,1205,2000,,0,0
283,649,22,60,60,60,60,0,0,0,0,,,1,1196,2000,,0,0
284,650,21,2380,2380,2380,2380,0,0,0,0,,,1,1229,2000,,0,0
285,651,21,1880,1880,1880,1880,0,0,0,0,,,2,1240,2000,,0,0
286,652,21,500,500,500,500,0,0,0,0,,,1,1241,2000,,0,0
287,653,21,2380,2380,2380,2380,0,0,0,0,,,1,1229,2000,,0,0
288,654,21,1880,1880,1880,1880,0,0,0,0,,,2,1240,2000,,0,0
289,655,21,800,800,800,800,0,0,0,0,,,5,1243,2000,,0,0
290,656,21,1160,1160,1160,1160,0,0,0,0,,,2,1253,2000,,0,
291,657,21,1160,1160,1160,1160,0,0,0,0,,,2,1254,2000,,0,
292,658,21,1880,1880,1880,1880,0,0,0,0,,,1,1292,2000,,0,
293,659,21,2380,2380,2380,2380,0,0,0,0,,,1,1322,2000,,0,
294,660,21,500,500,500,500,0,0,0,0,,,1,1323,2000,,0,
295,661,21,1880,1880,1880,1880,0,0,0,0,,,2,1324,2000,,0,
296,662,21,1160,1160,1160,1160,0,0,0,0,,,1,1410,6003,,0,
297,663,21,1880,1880,1880,1880,0,0,0,0,,,1,1411,6003,,0,
298,664,21,2380,2380,2380,2380,0,0,0,0,,,1,1412,6003,,0,
299,665,21,1160,1160,1160,1160,0,0,0,0,,,2,1413,6003,,0,
300,666,21,1160,1160,1160,1160,0,0,0,0,,,1,1464,6003,,0,
301,667,21,560,560,560,560,0,0,0,0,,,10,1465,6003,,0,
302,668,21,560,560,560,560,0,0,0,0,,,5,1466,6003,,0,
303,669,21,560,560,560,560,0,0,0,0,,,5,1467,6003,,0,
304,670,21,560,560,560,560,0,0,0,0,,,5,1468,6003,,0,
305,671,21,2450,2450,2450,2450,0,0,0,0,,,1,1469,6003,,0,
306,701,4,60,60,60,120,0,0,0,0,,,0,0,2000,,0,0
307,702,4,300,330,300,600,0,0,0,0,,,0,0,2000,,0,0
308,703,4,680,800,680,1360,0,0,0,0,,,0,0,2000,,0,0
309,704,4,1680,2000,1680,3360,0,0,0,0,,,0,0,2000,,0,0
310,705,4,3280,4000,3280,6560,0,0,0,0,,,0,0,2000,,0,0
311,706,4,6480,8000,6480,12960,0,0,0,0,,,0,0,2000,,0,0
312,707,5,0,0,0,0,500,500,500,300,,monthlycard2,0,0,2002,,0,0
313,708,5,0,30,0,0,0,0,0,0,,monthlycard1,0,0,2002,,0,0
314,709,5,0,0,0,0,0,0,0,0,,monthlycard3,0,0,2002,,0,0
315,720,21,1550,1550,0,0,0,0,0,0,,,0,74,2000,,0,0
316,721,21,720,720,0,0,0,0,0,0,,,0,78,2000,,0,0
317,722,21,1550,1550,0,0,0,0,0,0,,,0,79,2000,,0,0
318,723,21,2450,2450,0,0,0,0,0,0,,,0,80,2000,,0,0
319,724,21,2450,2450,2450,2450,0,0,0,0,,,1,159,2000,,0,0
320,725,21,720,720,720,720,0,0,0,0,,,1,78,2000,,0,0
321,726,21,1550,1550,1550,1550,0,0,0,0,,,1,79,2000,,0,0
322,727,21,2450,2450,2450,2450,0,0,0,0,,,1,80,2000,,0,0
323,728,21,2450,2450,2450,2450,0,0,0,0,,,1,975,2000,,0,0
324,729,21,2450,2450,2450,2450,0,0,0,0,,,1,559,2000,,0,0
325,730,21,2450,2450,2450,2450,0,0,0,0,,,1,560,2000,,0,0
326,731,21,2450,2450,2450,2450,0,0,0,0,,,1,561,2000,,0,0
327,732,21,2450,2450,2450,2450,0,0,0,0,,,1,562,2000,,0,0
328,733,21,60,60,60,60,0,0,0,0,,,1,571,2000,,0,0
329,734,21,1880,1880,1880,1880,0,0,0,0,,,1,1081,2000,,0,0
330,735,21,1880,1880,1880,1880,0,0,0,0,,,1,1082,2000,,0,0
331,736,21,1880,1880,1880,1880,0,0,0,0,,,1,1083,2000,,0,0
332,737,21,1880,1880,1880,1880,0,0,0,0,,,1,1084,2000,,0,0
333,738,22,60,60,60,60,0,0,0,0,,,1,1167,2000,,0,0
334,739,21,500,500,500,500,0,0,0,0,,,1,1168,2000,,0,0
335,740,22,60,60,60,60,0,0,0,0,,,1,1171,2000,,0,0
336,741,21,330,330,330,330,0,0,0,0,,,10,1172,2000,,0,0
337,742,21,500,500,500,500,0,0,0,0,,,1,1168,2000,,0,0
338,743,21,1160,1160,1160,1160,0,0,0,0,,,2,1178,2000,,0,0
339,744,22,60,60,60,60,0,0,0,0,,,1,1171,2000,,0,0
340,745,21,1880,1880,1880,1880,0,0,0,0,,,1,1202,2000,,0,0
341,746,21,1880,1880,1880,1880,0,0,0,0,,,1,1203,2000,,0,0
342,747,21,1160,1160,1160,1160,0,0,0,0,,,2,1204,2000,,0,0
343,748,21,2380,2380,2380,2380,0,0,0,0,,,1,1205,2000,,0,0
344,749,22,60,60,60,60,0,0,0,0,,,1,1196,2000,,0,0
345,750,21,2380,2380,2380,2380,0,0,0,0,,,1,1229,2000,,0,0
346,751,21,1880,1880,1880,1880,0,0,0,0,,,2,1240,2000,,0,0
347,752,21,500,500,500,500,0,0,0,0,,,1,1241,2000,,0,0
348,753,21,2380,2380,2380,2380,0,0,0,0,,,1,1229,2000,,0,0
349,754,21,1880,1880,1880,1880,0,0,0,0,,,2,1240,2000,,0,0
350,755,21,800,800,800,800,0,0,0,0,,,5,1243,2000,,0,0
351,756,21,1160,1160,1160,1160,0,0,0,0,,,2,1253,2000,,0,
352,757,21,1160,1160,1160,1160,0,0,0,0,,,2,1254,2000,,0,
353,758,21,1880,1880,1880,1880,0,0,0,0,,,1,1292,2000,,0,
