,id,cost_item,cost_num,prize_id,quota,start_time,end_time
74,75,513,500,4225,1,2020-05-14 11:00:00,2020-06-11 10:00:00
75,76,513,250,4226,1,2020-05-14 11:00:00,2020-06-11 10:00:00
76,77,513,125,4211,1,2020-05-14 11:00:00,2020-06-11 10:00:00
77,78,513,25,4212,200,2020-05-14 11:00:00,2020-06-11 10:00:00
78,79,512,800,4227,1,2020-06-11 11:00:00,2020-07-09 10:00:00
79,80,512,200,4228,1,2020-06-11 11:00:00,2020-07-09 10:00:00
80,81,512,80,4203,1,2020-06-11 11:00:00,2020-07-09 10:00:00
81,82,512,80,4229,1,2020-06-11 11:00:00,2020-07-09 10:00:00
82,83,512,15,4204,20,2020-06-11 11:00:00,2020-07-09 10:00:00
83,84,512,25,4205,20,2020-06-11 11:00:00,2020-07-09 10:00:00
84,85,512,50,4206,50,2020-06-11 11:00:00,2020-07-09 10:00:00
85,86,512,60,4207,30,2020-06-11 11:00:00,2020-07-09 10:00:00
86,87,512,75,4208,10,2020-06-11 11:00:00,2020-07-09 10:00:00
87,88,512,20,4230,1,2020-06-11 11:00:00,2020-07-09 10:00:00
88,89,512,10,4231,1,2020-06-11 11:00:00,2020-07-09 10:00:00
89,90,512,5,4232,1,2020-06-11 11:00:00,2020-07-09 10:00:00
90,91,512,1,4212,200,2020-06-11 11:00:00,2020-07-09 10:00:00
91,92,513,5000,4228,1,2020-06-11 11:00:00,2020-07-09 10:00:00
92,93,513,2000,4203,1,2020-06-11 11:00:00,2020-07-09 10:00:00
93,94,513,2000,4229,1,2020-06-11 11:00:00,2020-07-09 10:00:00
94,95,513,2000,4224,1,2020-06-11 11:00:00,2020-07-09 10:00:00
95,96,513,375,4204,20,2020-06-11 11:00:00,2020-07-09 10:00:00
96,97,513,625,4205,20,2020-06-11 11:00:00,2020-07-09 10:00:00
97,98,513,1250,4206,50,2020-06-11 11:00:00,2020-07-09 10:00:00
98,99,513,1500,4207,30,2020-06-11 11:00:00,2020-07-09 10:00:00
99,100,513,1850,4208,10,2020-06-11 11:00:00,2020-07-09 10:00:00
100,101,513,500,4230,1,2020-06-11 11:00:00,2020-07-09 10:00:00
101,102,513,250,4231,1,2020-06-11 11:00:00,2020-07-09 10:00:00
102,103,513,125,4232,1,2020-06-11 11:00:00,2020-07-09 10:00:00
103,104,513,25,4212,200,2020-06-11 11:00:00,2020-07-09 10:00:00
104,105,512,800,4233,1,2020-07-09 11:00:00,2020-08-06 10:00:00
105,106,512,200,4234,1,2020-07-09 11:00:00,2020-08-06 10:00:00
106,107,512,80,4224,1,2020-07-09 11:00:00,2020-08-06 10:00:00
107,108,512,80,4235,1,2020-07-09 11:00:00,2020-08-06 10:00:00
108,109,512,15,4204,20,2020-07-09 11:00:00,2020-08-06 10:00:00
109,110,512,25,4205,20,2020-07-09 11:00:00,2020-08-06 10:00:00
110,111,512,50,4206,50,2020-07-09 11:00:00,2020-08-06 10:00:00
111,112,512,60,4207,30,2020-07-09 11:00:00,2020-08-06 10:00:00
112,113,512,75,4208,10,2020-07-09 11:00:00,2020-08-06 10:00:00
113,114,512,20,4236,1,2020-07-09 11:00:00,2020-08-06 10:00:00
114,115,512,10,4237,1,2020-07-09 11:00:00,2020-08-06 10:00:00
115,116,512,5,4238,1,2020-07-09 11:00:00,2020-08-06 10:00:00
116,117,512,1,4212,200,2020-07-09 11:00:00,2020-08-06 10:00:00
117,118,513,5000,4234,1,2020-07-09 11:00:00,2020-08-06 10:00:00
118,119,513,2000,4224,1,2020-07-09 11:00:00,2020-08-06 10:00:00
119,120,513,2000,4235,1,2020-07-09 11:00:00,2020-08-06 10:00:00
120,121,513,2000,4229,1,2020-07-09 11:00:00,2020-08-06 10:00:00
121,122,513,375,4204,20,2020-07-09 11:00:00,2020-08-06 10:00:00
122,123,513,625,4205,20,2020-07-09 11:00:00,2020-08-06 10:00:00
123,124,513,1250,4206,50,2020-07-09 11:00:00,2020-08-06 10:00:00
124,125,513,1500,4207,30,2020-07-09 11:00:00,2020-08-06 10:00:00
125,126,513,1850,4208,10,2020-07-09 11:00:00,2020-08-06 10:00:00
126,127,513,500,4236,1,2020-07-09 11:00:00,2020-08-06 10:00:00
127,128,513,250,4237,1,2020-07-09 11:00:00,2020-08-06 10:00:00
128,129,513,125,4238,1,2020-07-09 11:00:00,2020-08-06 10:00:00
129,130,513,25,4212,200,2020-07-09 11:00:00,2020-08-06 10:00:00
130,131,512,800,4239,1,2020-08-06 10:00:00,2020-09-03 10:00:00
131,132,512,200,4240,1,2020-08-06 10:00:00,2020-09-03 10:00:00
132,133,512,80,4229,1,2020-08-06 10:00:00,2020-09-03 10:00:00
133,134,512,80,4241,1,2020-08-06 10:00:00,2020-09-03 10:00:00
134,135,512,15,4204,20,2020-08-06 10:00:00,2020-09-03 10:00:00
135,136,512,25,4205,20,2020-08-06 10:00:00,2020-09-03 10:00:00
136,137,512,50,4206,50,2020-08-06 10:00:00,2020-09-03 10:00:00
137,138,512,60,4207,30,2020-08-06 10:00:00,2020-09-03 10:00:00
138,139,512,75,4208,10,2020-08-06 10:00:00,2020-09-03 10:00:00
139,140,512,20,4242,1,2020-08-06 10:00:00,2020-09-03 10:00:00
140,141,512,10,4243,1,2020-08-06 10:00:00,2020-09-03 10:00:00
141,142,512,5,4244,1,2020-08-06 10:00:00,2020-09-03 10:00:00
142,143,512,1,4212,200,2020-08-06 10:00:00,2020-09-03 10:00:00
143,144,513,5000,4240,1,2020-08-06 10:00:00,2020-09-03 10:00:00
144,145,513,2000,4229,1,2020-08-06 10:00:00,2020-09-03 10:00:00
145,146,513,2000,4241,1,2020-08-06 10:00:00,2020-09-03 10:00:00
146,147,513,2000,4235,1,2020-08-06 10:00:00,2020-09-03 10:00:00
147,148,513,375,4204,20,2020-08-06 10:00:00,2020-09-03 10:00:00
148,149,513,625,4205,20,2020-08-06 10:00:00,2020-09-03 10:00:00
149,150,513,1250,4206,50,2020-08-06 10:00:00,2020-09-03 10:00:00
150,151,513,1500,4207,30,2020-08-06 10:00:00,2020-09-03 10:00:00
151,152,513,1850,4208,10,2020-08-06 10:00:00,2020-09-03 10:00:00
152,153,513,500,4242,1,2020-08-06 10:00:00,2020-09-03 10:00:00
153,154,513,250,4243,1,2020-08-06 10:00:00,2020-09-03 10:00:00
154,155,513,125,4244,1,2020-08-06 10:00:00,2020-09-03 10:00:00
155,156,513,25,4212,200,2020-08-06 10:00:00,2020-09-03 10:00:00
156,157,512,800,4245,1,2020-09-03 10:00:00,2020-10-01 10:00:00
157,158,512,200,4246,1,2020-09-03 10:00:00,2020-10-01 10:00:00
158,159,512,80,4235,1,2020-09-03 10:00:00,2020-10-01 10:00:00
159,160,512,80,4247,1,2020-09-03 10:00:00,2020-10-01 10:00:00
160,161,512,15,4204,20,2020-09-03 10:00:00,2020-10-01 10:00:00
161,162,512,25,4205,20,2020-09-03 10:00:00,2020-10-01 10:00:00
162,163,512,50,4206,50,2020-09-03 10:00:00,2020-10-01 10:00:00
163,164,512,60,4207,30,2020-09-03 10:00:00,2020-10-01 10:00:00
164,165,512,75,4208,10,2020-09-03 10:00:00,2020-10-01 10:00:00
165,166,512,20,4248,1,2020-09-03 10:00:00,2020-10-01 10:00:00
166,167,512,10,4249,1,2020-09-03 10:00:00,2020-10-01 10:00:00
167,168,512,5,4250,1,2020-09-03 10:00:00,2020-10-01 10:00:00
168,169,512,1,4212,200,2020-09-03 10:00:00,2020-10-01 10:00:00
169,170,513,5000,4246,1,2020-09-03 10:00:00,2020-10-01 10:00:00
170,171,513,2000,4235,1,2020-09-03 10:00:00,2020-10-01 10:00:00
171,172,513,2000,4247,1,2020-09-03 10:00:00,2020-10-01 10:00:00
172,173,513,2000,4241,1,2020-09-03 10:00:00,2020-10-01 10:00:00
173,174,513,375,4204,20,2020-09-03 10:00:00,2020-10-01 10:00:00
174,175,513,625,4205,20,2020-09-03 10:00:00,2020-10-01 10:00:00
175,176,513,1250,4206,50,2020-09-03 10:00:00,2020-10-01 10:00:00
176,177,513,1500,4207,30,2020-09-03 10:00:00,2020-10-01 10:00:00
177,178,513,1850,4208,10,2020-09-03 10:00:00,2020-10-01 10:00:00
178,179,513,500,4248,1,2020-09-03 10:00:00,2020-10-01 10:00:00
179,180,513,250,4249,1,2020-09-03 10:00:00,2020-10-01 10:00:00
180,181,513,125,4250,1,2020-09-03 10:00:00,2020-10-01 10:00:00
181,182,513,25,4212,200,2020-09-03 10:00:00,2020-10-01 10:00:00
182,183,512,800,4251,1,2020-10-01 10:00:01,2020-10-29 10:00:00
183,184,512,200,4252,1,2020-10-01 10:00:01,2020-10-29 10:00:00
184,185,512,80,4241,1,2020-10-01 10:00:01,2020-10-29 10:00:00
185,186,512,80,4215,1,2020-10-01 10:00:01,2020-10-29 10:00:00
186,187,512,15,4204,20,2020-10-01 10:00:01,2020-10-29 10:00:00
187,188,512,25,4205,20,2020-10-01 10:00:01,2020-10-29 10:00:00
188,189,512,50,4206,50,2020-10-01 10:00:01,2020-10-29 10:00:00
189,190,512,60,4207,30,2020-10-01 10:00:01,2020-10-29 10:00:00
190,191,512,75,4208,10,2020-10-01 10:00:01,2020-10-29 10:00:00
191,192,512,20,4253,1,2020-10-01 10:00:01,2020-10-29 10:00:00
192,193,512,10,4254,1,2020-10-01 10:00:01,2020-10-29 10:00:00
193,194,512,5,4255,1,2020-10-01 10:00:01,2020-10-29 10:00:00
194,195,512,1,4212,200,2020-10-01 10:00:01,2020-10-29 10:00:00
195,196,513,5000,4252,1,2020-10-01 10:00:01,2020-10-29 10:00:00
196,197,513,2000,4241,1,2020-10-01 10:00:01,2020-10-29 10:00:00
197,198,513,2000,4215,1,2020-10-01 10:00:01,2020-10-29 10:00:00
198,199,513,2000,4247,1,2020-10-01 10:00:01,2020-10-29 10:00:00
199,200,513,375,4204,20,2020-10-01 10:00:01,2020-10-29 10:00:00
200,201,513,625,4205,20,2020-10-01 10:00:01,2020-10-29 10:00:00
201,202,513,1250,4206,50,2020-10-01 10:00:01,2020-10-29 10:00:00
202,203,513,1500,4207,30,2020-10-01 10:00:01,2020-10-29 10:00:00
203,204,513,1850,4208,10,2020-10-01 10:00:01,2020-10-29 10:00:00
204,205,513,500,4253,1,2020-10-01 10:00:01,2020-10-29 10:00:00
205,206,513,250,4254,1,2020-10-01 10:00:01,2020-10-29 10:00:00
206,207,513,125,4255,1,2020-10-01 10:00:01,2020-10-29 10:00:00
207,208,513,25,4212,200,2020-10-01 10:00:01,2020-10-29 10:00:00
208,209,512,800,4256,1,2020-10-29 10:00:00,2020-11-26 10:00:00
209,210,512,200,4257,1,2020-10-29 10:00:00,2020-11-26 10:00:00
210,211,512,80,4247,1,2020-10-29 10:00:00,2020-11-26 10:00:00
211,212,512,80,4219,1,2020-10-29 10:00:00,2020-11-26 10:00:00
212,213,512,15,4204,20,2020-10-29 10:00:00,2020-11-26 10:00:00
213,214,512,25,4205,20,2020-10-29 10:00:00,2020-11-26 10:00:00
214,215,512,50,4206,50,2020-10-29 10:00:00,2020-11-26 10:00:00
215,216,512,60,4207,30,2020-10-29 10:00:00,2020-11-26 10:00:00
216,217,512,75,4208,10,2020-10-29 10:00:00,2020-11-26 10:00:00
217,218,512,20,4258,1,2020-10-29 10:00:00,2020-11-26 10:00:00
218,219,512,10,4259,1,2020-10-29 10:00:00,2020-11-26 10:00:00
219,220,512,5,4260,1,2020-10-29 10:00:00,2020-11-26 10:00:00
220,221,512,1,4212,200,2020-10-29 10:00:00,2020-11-26 10:00:00
221,222,513,5000,4257,1,2020-10-29 10:00:00,2020-11-26 10:00:00
222,223,513,2000,4247,1,2020-10-29 10:00:00,2020-11-26 10:00:00
223,224,513,2000,4219,1,2020-10-29 10:00:00,2020-11-26 10:00:00
224,225,513,2000,4215,1,2020-10-29 10:00:00,2020-11-26 10:00:00
225,226,513,375,4204,20,2020-10-29 10:00:00,2020-11-26 10:00:00
226,227,513,625,4205,20,2020-10-29 10:00:00,2020-11-26 10:00:00
227,228,513,1250,4206,50,2020-10-29 10:00:00,2020-11-26 10:00:00
228,229,513,1500,4207,30,2020-10-29 10:00:00,2020-11-26 10:00:00
229,230,513,1850,4208,10,2020-10-29 10:00:00,2020-11-26 10:00:00
230,231,513,500,4258,1,2020-10-29 10:00:00,2020-11-26 10:00:00
231,232,513,250,4259,1,2020-10-29 10:00:00,2020-11-26 10:00:00
232,233,513,125,4260,1,2020-10-29 10:00:00,2020-11-26 10:00:00
233,234,513,25,4212,200,2020-10-29 10:00:00,2020-11-26 10:00:00
234,235,512,800,4261,1,2020-11-26 10:00:00,2020-12-24 10:00:00
235,236,512,200,4262,1,2020-11-26 10:00:00,2020-12-24 10:00:00
236,237,512,80,4215,1,2020-11-26 10:00:00,2020-12-24 10:00:00
237,238,512,80,4219,1,2020-11-26 10:00:00,2020-12-24 10:00:00
238,239,512,15,4204,20,2020-11-26 10:00:00,2020-12-24 10:00:00
239,240,512,25,4205,20,2020-11-26 10:00:00,2020-12-24 10:00:00
240,241,512,50,4206,50,2020-11-26 10:00:00,2020-12-24 10:00:00
241,242,512,60,4207,30,2020-11-26 10:00:00,2020-12-24 10:00:00
242,243,512,75,4208,10,2020-11-26 10:00:00,2020-12-24 10:00:00
243,244,512,20,4265,1,2020-11-26 10:00:00,2020-12-24 10:00:00
244,245,512,10,4263,1,2020-11-26 10:00:00,2020-12-24 10:00:00
245,246,512,5,4264,1,2020-11-26 10:00:00,2020-12-24 10:00:00
246,247,512,1,4212,200,2020-11-26 10:00:00,2020-12-24 10:00:00
247,248,513,5000,4262,1,2020-11-26 10:00:00,2020-12-24 10:00:00
248,249,513,2000,4215,1,2020-11-26 10:00:00,2020-12-24 10:00:00
249,250,513,2000,4219,1,2020-11-26 10:00:00,2020-12-24 10:00:00
250,251,513,2000,4216,1,2020-11-26 10:00:00,2020-12-24 10:00:00
251,252,513,375,4204,20,2020-11-26 10:00:00,2020-12-24 10:00:00
252,253,513,625,4205,20,2020-11-26 10:00:00,2020-12-24 10:00:00
253,254,513,1250,4206,50,2020-11-26 10:00:00,2020-12-24 10:00:00
254,255,513,1500,4207,30,2020-11-26 10:00:00,2020-12-24 10:00:00
255,256,513,1850,4208,10,2020-11-26 10:00:00,2020-12-24 10:00:00
256,257,513,500,4265,1,2020-11-26 10:00:00,2020-12-24 10:00:00
257,258,513,250,4263,1,2020-11-26 10:00:00,2020-12-24 10:00:00
258,259,513,125,4264,1,2020-11-26 10:00:00,2020-12-24 10:00:00
259,260,513,25,4212,200,2020-11-26 10:00:00,2020-12-24 10:00:00
260,261,512,800,4266,1,2020-12-24 10:00:00,2021-01-21 10:00:00
261,262,512,200,4267,1,2020-12-24 10:00:00,2021-01-21 10:00:00
262,263,512,80,4219,1,2020-12-24 10:00:00,2021-01-21 10:00:00
263,264,512,80,4216,1,2020-12-24 10:00:00,2021-01-21 10:00:00
264,265,512,15,4204,20,2020-12-24 10:00:00,2021-01-21 10:00:00
265,266,512,25,4205,20,2020-12-24 10:00:00,2021-01-21 10:00:00
266,267,512,50,4206,50,2020-12-24 10:00:00,2021-01-21 10:00:00
267,268,512,60,4207,30,2020-12-24 10:00:00,2021-01-21 10:00:00
268,269,512,75,4208,10,2020-12-24 10:00:00,2021-01-21 10:00:00
269,270,512,20,4268,1,2020-12-24 10:00:00,2021-01-21 10:00:00
270,271,512,10,4270,1,2020-12-24 10:00:00,2021-01-21 10:00:00
271,272,512,5,4269,1,2020-12-24 10:00:00,2021-01-21 10:00:00
272,273,512,1,4212,200,2020-12-24 10:00:00,2021-01-21 10:00:00
273,274,513,5000,4267,1,2020-12-24 10:00:00,2021-01-21 10:00:00
274,275,513,2000,4219,1,2020-12-24 10:00:00,2021-01-21 10:00:00
275,276,513,2000,4216,1,2020-12-24 10:00:00,2021-01-21 10:00:00
276,277,513,2000,4271,1,2020-12-24 10:00:00,2021-01-21 10:00:00
277,278,513,375,4204,20,2020-12-24 10:00:00,2021-01-21 10:00:00
278,279,513,625,4205,20,2020-12-24 10:00:00,2021-01-21 10:00:00
279,280,513,1250,4206,50,2020-12-24 10:00:00,2021-01-21 10:00:00
280,281,513,1500,4207,30,2020-12-24 10:00:00,2021-01-21 10:00:00
281,282,513,1850,4208,10,2020-12-24 10:00:00,2021-01-21 10:00:00
282,283,513,500,4268,1,2020-12-24 10:00:00,2021-01-21 10:00:00
283,284,513,250,4270,1,2020-12-24 10:00:00,2021-01-21 10:00:00
284,285,513,125,4269,1,2020-12-24 10:00:00,2021-01-21 10:00:00
285,286,513,25,4212,200,2020-12-24 10:00:00,2021-01-21 10:00:00
286,287,512,800,4272,1,2021-01-21 10:00:00,2021-02-18 10:00:00
287,288,512,200,4273,1,2021-01-21 10:00:00,2021-02-18 10:00:00
288,289,512,80,4216,1,2021-01-21 10:00:00,2021-02-18 10:00:00
289,290,512,80,4271,1,2021-01-21 10:00:00,2021-02-18 10:00:00
290,291,512,15,4204,20,2021-01-21 10:00:00,2021-02-18 10:00:00
291,292,512,25,4205,20,2021-01-21 10:00:00,2021-02-18 10:00:00
292,293,512,50,4206,50,2021-01-21 10:00:00,2021-02-18 10:00:00
293,294,512,60,4207,30,2021-01-21 10:00:00,2021-02-18 10:00:00
294,295,512,75,4208,10,2021-01-21 10:00:00,2021-02-18 10:00:00
295,296,512,20,4274,1,2021-01-21 10:00:00,2021-02-18 10:00:00
296,297,512,10,4275,1,2021-01-21 10:00:00,2021-02-18 10:00:00
297,298,512,5,4276,1,2021-01-21 10:00:00,2021-02-18 10:00:00
298,299,512,1,4212,200,2021-01-21 10:00:00,2021-02-18 10:00:00
299,300,513,5000,4273,1,2021-01-21 10:00:00,2021-02-18 10:00:00
300,301,513,2000,4216,1,2021-01-21 10:00:00,2021-02-18 10:00:00
301,302,513,2000,4271,1,2021-01-21 10:00:00,2021-02-18 10:00:00
302,303,513,2000,4203,1,2021-01-21 10:00:00,2021-02-18 10:00:00
303,304,513,375,4204,20,2021-01-21 10:00:00,2021-02-18 10:00:00
304,305,513,625,4205,20,2021-01-21 10:00:00,2021-02-18 10:00:00
305,306,513,1250,4206,50,2021-01-21 10:00:00,2021-02-18 10:00:00
306,307,513,1500,4207,30,2021-01-21 10:00:00,2021-02-18 10:00:00
307,308,513,1850,4208,10,2021-01-21 10:00:00,2021-02-18 10:00:00
308,309,513,500,4274,1,2021-01-21 10:00:00,2021-02-18 10:00:00
309,310,513,250,4275,1,2021-01-21 10:00:00,2021-02-18 10:00:00
310,311,513,125,4276,1,2021-01-21 10:00:00,2021-02-18 10:00:00
311,312,513,25,4212,200,2021-01-21 10:00:00,2021-02-18 10:00:00
312,313,512,800,4277,1,2021-02-18 10:00:00,2021-03-18 10:00:00
313,314,512,800,4213,1,2021-02-18 10:00:00,2021-03-18 10:00:00
314,315,512,200,4278,1,2021-02-18 10:00:00,2021-03-18 10:00:00
315,316,512,80,4271,1,2021-02-18 10:00:00,2021-03-18 10:00:00
316,317,512,80,4203,1,2021-02-18 10:00:00,2021-03-18 10:00:00
317,318,512,15,4204,20,2021-02-18 10:00:00,2021-03-18 10:00:00
318,319,512,25,4205,20,2021-02-18 10:00:00,2021-03-18 10:00:00
319,320,512,50,4206,50,2021-02-18 10:00:00,2021-03-18 10:00:00
320,321,512,60,4207,30,2021-02-18 10:00:00,2021-03-18 10:00:00
321,322,512,75,4208,10,2021-02-18 10:00:00,2021-03-18 10:00:00
322,323,512,20,4279,1,2021-02-18 10:00:00,2021-03-18 10:00:00
323,324,512,10,4281,1,2021-02-18 10:00:00,2021-03-18 10:00:00
324,325,512,5,4280,1,2021-02-18 10:00:00,2021-03-18 10:00:00
325,326,512,1,4212,200,2021-02-18 10:00:00,2021-03-18 10:00:00
326,327,513,5000,4278,1,2021-02-18 10:00:00,2021-03-18 10:00:00
327,328,513,2000,4271,1,2021-02-18 10:00:00,2021-03-18 10:00:00
328,329,513,2000,4203,1,2021-02-18 10:00:00,2021-03-18 10:00:00
329,330,513,2000,4224,1,2021-02-18 10:00:00,2021-03-18 10:00:00
330,331,513,375,4204,20,2021-02-18 10:00:00,2021-03-18 10:00:00
331,332,513,625,4205,20,2021-02-18 10:00:00,2021-03-18 10:00:00
332,333,513,1250,4206,50,2021-02-18 10:00:00,2021-03-18 10:00:00
333,334,513,1500,4207,30,2021-02-18 10:00:00,2021-03-18 10:00:00
334,335,513,1850,4208,10,2021-02-18 10:00:00,2021-03-18 10:00:00
335,336,513,500,4279,1,2021-02-18 10:00:00,2021-03-18 10:00:00
336,337,513,250,4281,1,2021-02-18 10:00:00,2021-03-18 10:00:00
337,338,513,125,4280,1,2021-02-18 10:00:00,2021-03-18 10:00:00
338,339,513,25,4212,200,2021-02-18 10:00:00,2021-03-18 10:00:00
339,340,512,800,4201,1,2021-03-18 10:00:00,2021-04-15 10:00:00
340,341,512,200,4278,1,2021-03-18 10:00:00,2021-04-15 10:00:00
341,342,512,80,4203,1,2021-03-18 10:00:00,2021-04-15 10:00:00
342,343,512,80,4229,1,2021-03-18 10:00:00,2021-04-15 10:00:00
343,344,512,15,4204,20,2021-03-18 10:00:00,2021-04-15 10:00:00
344,345,512,25,4205,20,2021-03-18 10:00:00,2021-04-15 10:00:00
345,346,512,50,4206,50,2021-03-18 10:00:00,2021-04-15 10:00:00
346,347,512,60,4207,30,2021-03-18 10:00:00,2021-04-15 10:00:00
347,348,512,75,4208,10,2021-03-18 10:00:00,2021-04-15 10:00:00
348,349,512,20,4220,1,2021-03-18 10:00:00,2021-04-15 10:00:00
349,350,512,10,4282,1,2021-03-18 10:00:00,2021-04-15 10:00:00
350,351,512,5,4283,1,2021-03-18 10:00:00,2021-04-15 10:00:00
351,352,512,1,4212,200,2021-03-18 10:00:00,2021-04-15 10:00:00
352,353,513,5000,4278,1,2021-03-18 10:00:00,2021-04-15 10:00:00
353,354,513,2000,4203,1,2021-03-18 10:00:00,2021-04-15 10:00:00
354,355,513,2000,4229,1,2021-03-18 10:00:00,2021-04-15 10:00:00
