,id,text
70,118808,♪Che bonta'！
71,119401,♪곰 세마리가 한집에 있어
72,119402,♪아빠곰 엄마곰 애기곰
73,119403,♪아빠곰은 뚱뚱해
74,119404,♪엄마곰은 날씬해
75,119405,♪애기곰은 너무 귀여워
76,119406,♪으쓱으쓱 잘한다
77,119601,♪al' na tebe nikada//c jedina moja//c ja ne zaboravljam
78,119602,♪Bog mi te dao
79,119603,♪drugi uzeo
80,119604,♪moju srecu//c moju ljubav
81,119605,♪neko drugi odnio
82,119606,♪A bili smo//c bili
83,119607,♪samo ti i ja
84,119608,♪k'o dva majska cvjeta
85,119609,♪k'o dva bjela goluba
86,119610,♪k'o dva bjela goluba
87,190243,本重装部队尚未加入情报解析，暂时无法使用重装通用数据解锁或晋升
88,260101,诶，指挥官，您怎么在这儿？
89,260102,这里有我一个人就好了……诶？
90,260103,您说什么？……两个人之间的事？
91,260104,我不太懂。不过，您会教给我吧？
92,260201,指挥官，和您结下这份契约…
93,260202,是我生命中最满足的时刻
94,260203,今后请让我将更多的荣耀
95,260204,带到您的面前吧！
96,260301,诶？我的心意……被回应了吗？
97,260302,明明没什么讨人喜欢的地方
98,260303,但是这一天突然就到来了
99,260304,原来……我是这样的幸运，对吗，指挥官！
100,260401,感谢您一直的照顾，但是指挥官…
101,260402,我真的是您合适的人选吗？
102,260403,……不，我很乐意！从此刻开始
103,260404,请让我永远地守护您，这是我毕生的荣耀！
104,260501,哦？是吗？能获得您的认可
105,260502,说明我真正的价值，终于被您看到了
106,260503,请让我继续与您同在
107,260504,一起扫清前方的道路！
108,260601,哎呀，结果您还是落到我的手心呢
109,260602,放心啦指挥官，我也是认真的
110,260603,毕竟我和您相识了那么多年……没那么久吗？
111,260604,放心啦，会有那么久的，嘻嘻。
112,260701,虽然今天是个重要的日子，不过也别太紧张哦
113,260702,……放心吧，无论此刻还是将来
114,260703,你都会做好自己的事情
115,260704,这一点，我是不会看走眼的
116,2190101,（叹气）怎么会是这样的结果，我真的没料到呢
117,2190102,和您闹了这么多别扭
118,2190103,这次，就当作被您捉弄一回吧
119,2190104,不过别想着就这么算了哦
120,2190105,（冷笑）乖乖躺在我的手心里吧
121,2190201,指挥官……终于迎来这一刻了……
122,2190202,接触的人和事太多了之后，反而连自己都有些迷失了
123,2190203,一直以来，是您在关键的时候把我拉了回来
124,2190204,感谢您，请让我今后留在您身边
125,2190205,成为您最信任的同伴吧
126,2190301,指挥官，这个……真的要给我吗？
127,2190302,无论什么地方都很渺小的我
128,2190303,也可以陪在您的身边吗？
129,2190304,…………嗯！我会的！
130,2190401,长官，都是因为您的开导和协助
131,2190402,我才能在大家面前扮演好自己的形象
132,2190403,现在的我已经没事了
133,2190404,只要您在身边
134,2190405,我就能鼓起勇气，面对任何困难
135,2190501,指挥官，有什么指示吗？
136,2190502,……诶？您认真的？是看上了我的厨艺？
137,2190503,……总之啊，现在后悔可来不及了
138,2190504,啊哈哈！我可不会放您走啦！
139,2190601,诶……这件事，我从来没计算过呢
140,2190602,不过，一生一次的事
141,2190603,就不需要笔记了吧？
142,2190604,指挥官，我会铭记这一刻的
143,2310101,终于迎来这一天了吗？
144,2310102,感谢您的陪伴 指挥官，我的使命终于完成了……
145,2310103,啊，让我放首音乐庆祝一下吧！
146,2310104,……诶，不用了吗？
147,2310201,我从来没有想过，依靠别人会有什么意义
148,2310202,但是只要在你面前，“做不到”就变得不那么可怕了。
149,2310203,（思索）我是变强了，还是变弱了……
150,2310204,（坚定）长官，就由你来告诉我答案吧。
151,2310301,诶？指挥官，您这是做什么
152,2310302,……一直都被您照顾着
153,2310303,总觉得……太不好意思了。
154,2310304,看来我也必须变得再可靠一点，才能回应您的期待啊♪
155,2310501,一直这样缠着你，还担心会令你厌烦
156,2310502,可是我没办法不这样做
157,2310503,大概……这就是一开始就决定好的吧……
158,2310504,不过现在没关系了，你给予了我新的灵魂
159,2310505,让我重新呼唤你一次吧//nDarling……
160,2310601,指挥官，我已经这么小心避免您的目光了
161,2310602,可不管发生什么
162,2310603,您一直都在默默地注视着我
163,2310604,我已经……开始喜欢上您那样的眼神了     ❤
164,2310701,指挥官，我光是一个人负重前行，就已经精疲力尽了
165,2310702,但只要有您在身边的话，那份重担……
166,2310703,也变得没那么可怕了。
167,2310704,我无法承受的那部分……
168,2310705,指挥官，今后也能继续拜托您吗？ 
169,2430101,哦？您已经打算、要永远服侍我？
170,2430102,那么伸出手来
171,2430103,这份契约，将永远烙在你我的血脉中……
172,2430104,接下来，哼哼，请多指教
173,2430201,哼，结果到最后，还是找上我了啊
174,2430202,已经不记得是哪次的表现吸引了你
175,2430203,不过事到如今也无所谓了吧……
176,2430204,来，再靠近一点，你现在……就是我的了……
177,2430301,？长官，今天找我有什么事啊？
178,2430302,哈？你没搞错吧！我把你当同伴
179,2430303,你……你却想……
180,2430304,也不是讨厌，可总得让我……准备一下吧……
181,2430401,……噗，干嘛啊，第一看见您这个样子
182,2430402,要我说的话，这真不是个明知的决定呢……
183,2430403,不过
184,2430404,也许我的现实，已经因您变得疯狂了吧……❤
185,2430501,指挥官，原来您为了这件事叫我出来啊。
186,2430502,为什么不早点告诉我？这样的话我就可以多做一点准备
187,2430503,明明是那么重要的事……
188,2430504,不用考虑太多吗？
189,2430505,我明白了，也许像这样简单一点，会比较好……❤
190,2430601,指挥官，您这么坚定地选了我
191,2430602,真不怕我把家里的东西都卖光吗？
192,2430603,哈哈，那就这样吧！
193,2430604,你的就是我的，我的还是我的！
194,2430801,又要请我吃大餐吗？那我就不客气啦！
195,2430802,嗯？在这之前，您说什么？
196,2430803,……什么？！居然在餐桌上谈这种事，太狡猾啦！
197,2430804,指挥官，这让我怎么拒绝呀！
198,2430901,真没想到，到头来，您还是做了出格的事情……
199,2430902,不过既然相处了那么久
200,2430903,我也就通融一下，破例为您修改一次原则吧
201,2430904,但是，仅此一次，绝对不许反悔哦。
202,2431001,指挥官，比起那种称号
203,2431002,能够获得您的认可，并陪在您的身边才更重要
204,2431003,请让我铭记这一刻吧
205,2431004,真希望这份记忆，能永远持续下去……
206,3820801,请用双手握住圣杯，跟我一起宣读誓言
207,3820802,无论贫穷还是富贵、疾病还是健康、美貌还是丑陋
208,3820803,我都愿意爱她、尊敬她、守护她
209,3820804,矢志不渝，直至死亡将我们分开
210,3820805,如若违背誓言，我的灵魂将永远徘徊在痛苦的深渊之中
211,3820806,就像那些用泪水在神父的笔记中留下痕迹的人们一样
