,id,description,target_type,target_number,target_priority,select_order,is_ascend_order,is_ingore_range,is_search_all,list_ranking,target_buff_id,target_parameter,buff_trigger_type,is_buff_type
47,49,对直线距离最近者友军,2,1,0,4,0,0,0,1,0,0,0,0
48,201,勃朗宁1,1,1,0,9,1,0,0,1,0,0,6,0
49,202,勃朗宁2,1,1,0,9,1,0,0,2,0,0,6,0
50,203,勃朗宁3,1,1,0,9,1,0,0,3,0,0,6,0
51,204,勃朗宁4,1,1,0,9,1,0,0,4,0,0,6,0
52,205,勃朗宁5,1,1,0,9,1,0,0,5,0,0,6,0
53,206,勃朗宁6,1,1,0,9,1,0,0,6,0,0,6,0
54,207,勃朗宁7,1,1,0,9,1,0,0,7,0,0,6,0
55,208,索敌目标为无噩梦,1,1,0,9,0,0,0,1,713,1,7,0
56,209,目标为掷弹兵标记,2,1,0,0,0,0,0,1,383,1,6,0
57,210,目标为掷弹兵标记,2,8,0,0,0,0,0,1,383,1,6,0
58,211,索敌目标为无噩梦,1,1,0,6,0,0,0,1,713,1,6,0
59,212,索敌目标为无人机标记,1,1,0,1,1,0,0,1,919,1,6,0
60,213,无人机标记索敌,1,1,0,1,1,0,0,1,920,1,7,0
61,214,FP6随机上盾,2,1,0,0,1,0,0,1,927,1,6,0
62,215,FP6爆炸选择目标,2,1,0,0,1,0,0,1,930,1,6,0
63,216,防护值最高,1,1,0,13,1,0,0,1,0,0,0,0
64,217,防护值百分比最高,1,1,0,14,1,0,0,1,0,0,0,0
65,218,2B14攻击已攻击单位,1,1,0,0,1,0,0,1,964,1,6,0
66,219,2B14攻击目标debuff,1,0,0,0,0,1,0,1,964,1,6,0
67,220,G3攻击目标标记,1,1,0,0,1,0,0,1,966,1,6,0
68,221,G3改造技能攻击目标标记,1,1,0,0,1,0,0,1,968,1,6,0
69,222,SOP2改造技能额外伤害索敌,1,1,0,0,1,0,0,1,972,1,6,0
70,223,SOP2小榴弹索敌,1,3,0,0,1,0,0,1,713,1,6,0
71,225,45改造技能索敌,1,1,0,0,1,0,0,1,989,1,6,0
72,226,G3对范围内所有敌人伤害,1,0,0,0,0,1,0,1,968,1,6,0
73,227,蟒蛇判定索敌1,1,1,0,0,1,0,0,1,508,1,6,0
74,228,蟒蛇判定索敌2,1,1,0,0,1,0,0,1,509,1,6,0
75,229,蟒蛇判定索敌3,1,1,0,0,1,0,0,1,510,1,6,0
76,230,蟒蛇判定索敌4,1,1,0,0,1,0,0,1,511,1,6,0
77,231,蟒蛇判定索敌5,1,1,0,0,1,0,0,1,512,1,6,0
78,232,蟒蛇判定索敌6,1,1,0,0,1,0,0,1,513,1,6,0
79,233,蟒蛇精英未击杀索敌,1,1,0,0,1,0,0,1,521,1,6,0
80,234,蟒蛇随机选择目标释放,1,1,0,0,0,0,0,1,401,1,7,1
81,235,僵尸boss吃小僵尸,2,1,0,0,1,0,0,1,531,1,6,0
82,236,对直线距离第二近友军,2,1,0,4,0,0,0,2,0,0,0,0
83,237,45短路伤害索敌,1,1,0,0,1,0,0,1,989,1,6,0
84,238,黑boss所有黑标tracing,1,1,0,0,0,1,0,1,538,1,6,0
85,239,白boss所有白标tracing,1,1,0,0,0,1,0,1,539,1,6,0
86,240,烟花索敌,1,1,0,0,1,0,0,1,577,1,6,0
87,241,FN SPR索敌,1,1,0,9,1,0,0,1,584,1,6,0
88,242,K11额外伤害索敌,1,1,0,0,1,0,0,1,593,2,6,0
89,243,K11标记索敌,1,3,0,0,0,0,0,1,0,0,6,0
90,244,K11榴弹,1,1,0,0,0,0,0,1,859,1,6,0
91,247,我方有护盾单体,2,1,0,0,0,1,0,1,1100,1,6,0
92,248,对敌方当前生命最低者释放,1,1,0,1,0,0,0,1,0,0,6,0
93,249,ksvk索敌,1,1,0,0,1,0,0,1,1337,1,6,0
94,250,索敌目标为敌方输出最高角色,1,1,0,12,0,0,0,1,0,0,6,0
95,251,涅托召唤物索敌,2,0,0,0,1,0,0,1,1343,1,6,0
96,252,涅托银召唤物索敌,1,1,0,0,1,0,0,1,1353,1,6,0
97,253,M2攻击已攻击单位,1,1,0,0,1,0,0,1,1372,1,6,0
98,254,M2增益,2,1,0,0,1,0,0,1,1374,3,7,0
99,255,AT4攻击目标debuff,1,0,0,0,0,1,0,1,1384,1,6,0
100,256,MP5改索敌,1,0,0,0,0,1,0,1,1390,1,6,0
101,258,乌兹改索敌,1,0,0,0,0,1,0,1,1401,1,6,0
102,259,88式狙,1,1,0,1,1,0,0,1,1409,2,6,0
103,260,88式狙2,1,1,0,1,1,0,0,1,1421,1,6,0
104,261,PA15索敌,1,1,0,1,1,0,0,1,1422,1,6,0
105,262,EM-2索敌,1,1,0,0,0,0,0,1,1428,1,7,0
106,264,R93开技能索敌,1,1,0,9,1,0,0,1,1457,1,6,0
107,265,乌兹改索敌,1,1,0,0,0,1,0,1,1401,1,6,0
108,266,我方随机单位,2,1,0,0,0,0,0,1,0,0,6,0
109,267,BleedingJane索敌,2,1,0,0,0,1,0,1,3016,1,6,0
110,268,Stella技能索敌,1,1,0,9,1,0,0,1,3042,1,7,0
111,269,Sei技能索敌,2,1,0,9,1,0,0,1,3028,1,6,0
112,270,Dorothy技能索敌,2,1,0,9,1,0,0,1,3034,1,6,0
113,271,Sei-Stella索敌,2,1,0,9,1,0,0,1,3044,1,6,0
114,272,Piano Woman对前排,2,1,0,9,1,0,0,1,0,0,6,0
115,273,Piano Woman其余,2,0,0,9,0,0,0,1,3048,1,7,0
116,274,ADS索敌,1,1,0,0,0,0,0,1,3125,5,6,0
117,275,P30索敌,2,1,0,0,0,0,0,1,3128,1,6,0
118,276,ADS观测者索敌,2,1,0,0,0,0,0,1,3129,1,6,0
119,277,沙漠之鹰索敌,1,3,0,1000001248,1,0,0,1,0,0,6,0
120,278,沙漠之鹰攻击索敌,1,1,0,1000001217,1,0,0,1,3157,1,6,0
121,279,HK416索敌,1,1,0,0,1,0,0,1,0,1000001222,18,0
122,280,ump9索敌,1,1,0,0,1,0,0,1,3178,1,6,0
123,281,幻影涅托索敌,1,1,0,0,1,0,0,1,0,1000001294,18,0
124,282,心智链接HG召唤,1,1,0,0,1,0,0,1,3207,1,6,0
125,283,心智链接SMG召唤,1,1,0,0,1,0,0,1,3208,1,6,0
126,284,心智链接RF召唤,1,1,0,0,1,0,0,1,3209,1,6,0
127,285,心智链接AR召唤,1,1,0,0,1,0,0,1,3210,1,6,0
128,286,心智链接MG召唤,1,1,0,0,1,0,0,1,3211,1,6,0
129,287,心智链接SG召唤,1,1,0,0,1,0,0,1,3212,1,6,0
130,288,融合索敌,1,1,0,0,1,0,0,1,0,1000001297,18,0
131,289,融合击杀索敌,1,1,0,0,1,0,0,1,3268,1,6,0
132,290,炮台索敌,1,1,0,9,1,0,0,2,0,1,0,0
133,291,转盾,1,1,0,0,1,0,0,1,3425,1,6,0
134,292,QLZ-04索敌,1,1,0,0,0,0,0,1,0,1000001425,18,0
135,295,ntw判定,1,1,0,9,1,0,0,1,4063,1,6,0
136,296,ntw索敌1,1,1,0,1000001450,0,0,0,1,0,0,0,0
137,297,ntw索敌2,1,1,0,1000001451,0,0,0,1,0,0,0,0
138,298,ntw索敌3,1,1,0,1000001452,0,0,0,1,0,0,0,0
139,299,ntw索敌4,1,1,0,1000001453,0,0,0,1,0,0,0,0
140,300,ntw索敌5,1,1,0,1000001454,0,0,0,1,0,0,0,0
141,301,ntw索敌6,1,1,0,1000001455,0,0,0,1,0,0,0,0
142,302,ntw索敌7,1,1,0,1000001456,0,0,0,1,0,0,0,0
143,303,ntw索敌8,1,1,0,1000001457,0,0,0,1,0,0,0,0
144,304,ntw索敌9,1,1,0,1000001458,0,0,0,1,0,0,0,0
145,305,ntw索敌10,1,1,0,1000001459,0,0,0,1,0,0,0,0
146,306,ntw连斩索敌1,1,1,0,1000001461,0,0,0,1,0,0,0,0
147,307,ntw连斩索敌2,1,1,0,1000001462,0,0,0,1,0,0,0,0
148,308,ntw连斩索敌3,1,1,0,1000001463,0,0,0,1,0,0,0,0
149,309,ntw连斩索敌4,1,1,0,1000001464,0,0,0,1,0,0,0,0
150,310,ntw连斩索敌5,1,1,0,1000001465,0,0,0,1,0,0,0,0
151,311,ntw连斩索敌6,1,1,0,1000001466,0,0,0,1,0,0,0,0
152,312,ntw连斩索敌7,1,1,0,1000001467,0,0,0,1,0,0,0,0
153,313,ntw连斩索敌8,1,1,0,1000001468,0,0,0,1,0,0,0,0
154,314,ntw连斩索敌9,1,1,0,1000001469,0,0,0,1,0,0,0,0
155,315,ntw连斩索敌10,1,1,0,1000001470,0,0,0,1,0,0,0,0
156,316,CR21索敌,1,1,0,1000001471,1,0,0,1,0,0,0,0
157,318,FindLeaderskill,2,1,0,0,0,1,0,1,4075,1,6,0
158,319,伊莱莎普攻索敌,1,1,0,9,0,0,0,1,0,1000001489,18,0
159,321,ZB26我方机枪,2,0,0,0,0,1,0,1,0,1000001509,18,0
160,322,Alfa索敌,1,1,0,9,0,0,0,1,4157,1,6,0
161,329,鸟弹索敌,1,5,0,9,0,0,0,1,0,0,6,0
162,330,马卡洛夫索敌,2,1,0,1000001658,0,1,0,1,4331,1,6,0
163,331,RMB我方全体释放,2,0,0,0,0,1,0,1,4343,1,7,0
164,332,马卡洛夫索敌,2,1,0,1000001659,0,1,0,1,4331,1,6,0
165,333,MG4弹射索敌,1,1,0,0,0,0,0,1,4358,1,7,0
166,334,MG4弹射索敌,1,1,0,0,0,0,0,1,4359,1,7,0
167,335,MG4弹射索敌,1,1,0,0,0,0,0,1,4366,1,7,0
168,336,佩克拉索敌,1,1,0,1000001760,0,0,0,1,0,0,0,0
169,337,对输出最低,1,1,0,12,0,0,0,1,0,0,0,0
170,338,对我方当前生命最高者释放,2,1,0,1,1,0,0,1,0,0,6,0
171,339,拍照,2,1,0,0,0,1,0,1,4490,1,6,0
172,340,找队长,2,1,0,0,0,1,0,1,0,1000001888,18,0
173,341,随机两个队友,2,2,0,0,0,0,0,1,4513,1,7,0
174,342,随机两个敌方,1,2,0,0,0,0,0,1,0,1,6,0
175,343,大招伤害索敌,1,1,0,0,0,0,0,1,4536,1,6,0
176,344,索敌目标为我方输出最高角色,1,1,0,12,1,1,0,1,0,1,6,0
177,345,找布拉梅德,2,1,0,0,0,0,0,1,4513,1,6,0
178,346,监视索敌,2,1,0,0,0,0,0,1,4569,1,7,0
179,347,找监视,2,1,0,0,0,0,0,1,4569,1,6,0
180,348,有甲最远,1,1,0,9,1,0,0,1,0,1000001962,18,0
181,349,随机选择目标释放,2,1,0,0,0,0,0,1,0,0,6,0
182,350,全体涅托,2,0,0,0,0,1,0,1,4669,1,6,0
183,351,对敌方全体释放,1,0,0,0,0,1,0,1,0,0,6,0
184,352,威胁度最高的,1,1,0,"1000001977,1000002051","1,1",0,0,1,0,0,0,0
185,353,vsk技能,1,1,0,9,1,0,0,1,4710,1,6,0
186,354,vsk技能2,1,1,0,"1000002075,9","1,1",0,0,1,4710,1,6,0
187,355,MG4优先目标,1,1,0,0,0,0,0,1,4720,1,6,0
188,356,索米索敌,1,0,0,0,0,0,0,1,4793,1,6,0
189,501,蝴蝶飞队友,2,1,0,12,1,0,0,1,3471,1,7,0
190,502,蝴蝶兔,2,1,0,0,1,0,0,1,0,1000003296,18,0
191,503,ak15ex普攻,1,1,0,9,0,0,0,1,3532,2,7,0
192,504,ak15兔子,1,1,0,9,0,0,0,1,3533,1,6,0
193,505,ak15自己,2,1,0,9,0,0,0,1,3533,1,6,0
194,506,猎手特殊索敌,1,1,0,9,1,0,1,1,3618,1,6,0
195,507,m16闪光弹索敌,1,1,0,12,0,0,0,1,3630,1,7,0
196,508,寻找有debuff单位,1,1,0,1,1,0,0,1,0,1000003357,18,0
197,509,寻找有debuff中最近单位,1,1,0,9,0,0,0,1,0,1000003357,18,0
198,510,猎手大招索敌,1,1,0,1,1,0,0,1,361903,1,6,0
199,511,对X轴距离最远者释放_ksvk,1,1,0,9,1,0,0,1,3734,1,6,0
200,512,对X轴距离最远者释放_TBK,1,1,0,9,1,0,0,1,3735,1,6,0
201,515,干扰者对召唤物释放,2,0,0,0,0,1,0,1,3766,1,6,0
202,516,Tla对距离最近的4个单位释放,1,4,0,9,0,0,0,1,0,0,6,0
203,517,Tla最近刀普攻,1,1,0,9,0,0,0,1,3787,1,6,0
204,518,随机2目标释放,1,2,0,0,0,0,0,1,0,0,6,0
205,519,WkpBD,1,1,0,1,1,0,0,1,3812,1,6,0
206,520,WKpSS,1,1,0,0,0,0,0,1,3814,1,7,0
207,521,Boss,1,1,0,9,0,0,0,1,3825,1,6,0
208,522,Boss圈外随机,1,1,0,0,0,0,0,1,3828,1,7,0
209,523,找伤害最高,1,1,0,1000003571,1,1,0,1,0,0,0,0
210,524,找射速最高,1,1,0,1000003573,1,1,0,1,0,0,0,0
211,525,找命中最高,1,1,0,1000003574,1,1,0,1,0,0,0,0
212,526,SS追加索敌,1,1,0,1,1,0,0,1,3876,1,6,0
213,527,SS追加索敌,1,1,0,9,1,0,0,1,3885,1,6,0
214,528,对X轴距离最远者释放_ss,1,1,0,9,1,0,0,1,3887,1,6,0
215,529,找炼金术士,1,1,0,9,0,1,0,1,3896,1,6,0
216,530,梦想家索敌,1,1,0,9,1,1,0,1,3930,1,6,0
217,531,梦想家大招,1,1,0,9,0,0,0,1,3929,1,6,0
218,532,新重装索敌,1,1,0,9,1,1,0,1,3931,1,6,0
219,533,***,2,1,0,9,1,1,0,1,3949,1,6,0
220,534,计量官扫射索敌,1,1,0,9,0,0,0,1,3970,1,7,0
221,535,计量官普攻索敌,1,1,0,9,0,0,0,1,3970,1,6,0
222,536,计量官大招索敌,1,3,0,1,1,0,0,1,0,0,6,0
223,537,最近刀普攻,1,1,0,9,0,0,0,1,3987,1,6,0
224,538,FFF,2,1,0,9,0,0,0,1,0,0,6,0
225,539,91随机,1,1,0,0,0,0,0,1,398801,1,6,0
226,540,对敌方当前生命最低者释放,1,1,0,1,0,0,0,1,0,1000003565,18,0
227,541,M6步枪索敌,1,1,0,9,1,0,0,1,711001,1,6,0
228,542,***,2,1,0,9,1,1,0,1,394903,1,6,0
229,543,***,2,1,0,9,1,1,0,1,394904,1,6,0
230,544,***,2,1,0,9,1,1,0,1,394905,1,6,0
231,545,***,2,1,0,9,1,1,0,1,394906,1,6,0
232,546,彩蛋找人,1,1,0,9,0,1,0,1,712302,1,6,0
233,547,随机选择目标释放,2,1,0,0,0,1,0,1,712301,1,7,0
234,548,彩蛋boss用索敌,1,1,0,9,0,1,0,1,712301,1,6,0
235,549,dun找人,2,1,0,0,0,1,0,1,7138,1,6,0
236,550,97找人,1,1,0,0,0,0,0,1,7157,1,7,0
237,551,PP改2,1,1,0,1,1,0,0,1,7159,1,6,0
238,552,特工,1,1,0,1,1,0,0,1,0,1000003823,18,0
239,553,对我方全体释放,2,0,0,0,0,1,0,1,3766,1,7,0
240,554,对我方全体释放,2,0,0,0,0,1,0,1,7163,1,6,0
241,555,56索敌,1,1,0,9,1,0,0,1,7178,1,6,0
242,556,寻找非5编单位,1,1,0,9,1,0,0,1,0,1000003849,18,0
243,557,单编生命最高者,1,1,0,1000003850,1,0,0,1,0,1000003849,18,0
244,558,对距离最近的2个单位释放,1,2,0,9,0,0,0,1,0,0,6,0
245,559,敌用优先低编制,1,1,0,1000003933,1,0,0,1,0,0,0,0
246,560,射程内敌方全体,1,0,0,0,0,0,0,1,0,0,6,0
247,561,蜂鸟索敌,1,1,0,0,0,0,0,1,719008,1,6,0
248,562,ZXL索敌,1,1,0,0,0,0,0,1,719103,1,6,0
249,563,对X轴距离最远_猎,1,1,0,9,1,0,0,1,719205,1,6,0
250,564,扫射索敌,1,2,0,0,0,0,0,1,719601,1,7,0
251,565,对单索敌,1,1,0,0,0,0,0,1,719701,1,6,0
252,566,索敌目标为我方输出最高角色,1,1,0,12,1,1,0,1,7407,1,7,0
253,567,对敌方当前生命最高者释放,1,1,0,1,1,0,0,1,0,0,6,0
254,568,找剑,2,7,0,0,0,0,0,1,740801,1,7,0
255,569,黑白爆找人,1,0,0,0,0,1,0,1,741401,1,6,0
256,570,对敌方当前生命最高者释放,1,1,0,1,1,0,0,1,7409,1,7,0
257,571,白测试索敌,1,3,3,1,1,0,0,1,0,1,6,0
258,572,寻找有debuff中最近单位,1,1,0,9,0,0,0,1,0,1000003357,18,0
259,573,对敌方当前生命最高者释放,1,1,0,1,1,0,0,1,743001,1,6,0
260,600,全屏生命最高敌方,1,1,0,1,1,1,0,1,0,0,6,0
261,601,SVD专属装备额外伤害索敌,1,0,0,1,1,1,0,1,750401,1,6,0
262,602,敌方输出最高的两个单位,1,2,0,12,1,1,0,1,0,0,0,0
263,603,敌方当前生命值百分比最低者,1,1,0,1000004016,2,1,0,1,0,0,0,0
264,604,监视敌方诅咒buff,1,1,0,4,1,1,0,1,7526,1,6,0
265,605,我方血量最高单位,2,1,0,1,1,1,0,1,0,0,6,0
266,606,我方输出最高的一个单位,2,1,0,12,1,1,0,1,0,0,0,0
267,607,kh2002找我方小狗,2,1,0,1,1,1,0,1,7582,1,6,0
268,608,mg338找我方输出最高,2,1,0,12,1,1,0,1,0,0,6,0
269,609,mg338找对方火力值最高,1,1,0,1000004129,1,0,0,1,0,0,6,0
270,610,白教掷弹兵血量最少,1,1,0,1,2,0,0,1,0,0,6,0
271,611,白教粒子炮最近两个敌方,1,2,0,9,2,0,0,1,0,0,0,0
272,612,缇标记索敌,1,1,0,1,2,1,0,1,7679,1,6,0
273,613,缇撕裂索敌,1,1,0,0,1,1,0,1,7620,1,6,0
274,614,缇必杀输出最高敌方,1,1,0,12,1,1,0,1,0,0,6,0
275,615,缇被敌选定,1,1,0,0,1,1,0,1,7622,1,6,0
276,616,缇x轴最近,1,1,0,9,2,1,0,1,0,0,0,0
277,617,粒子炮随机,1,1,0,0,0,1,0,1,0,0,0,0
278,618,我方手枪,2,0,0,1,1,1,0,1,7642,1,6,0
279,619,我方冲锋枪,2,0,0,1,1,1,0,1,7643,1,6,0
280,620,我方步枪,2,0,0,1,1,1,0,1,7645,1,6,0
281,621,我方突击步枪,2,0,0,1,1,1,0,1,7647,1,6,0
282,622,我方霰弹,2,0,0,1,1,1,0,1,7649,1,6,0
283,623,sr2索敌最高血量或boss,1,1,3,1,1,0,0,1,0,0,0,0
284,624,sr2标记索敌,1,1,0,1,1,0,0,1,7712,1,6,0
285,625,sr2目标反馈技能索敌,1,1,0,1,1,1,0,1,7711,1,6,0
286,626,只索g36c,2,1,0,1,1,1,0,1,7728,1,6,0
287,627,避开猎豹斩杀标记,1,1,0,9,1,0,0,1,7736,1,7,0
288,628,低于30血带标记,1,1,0,1,2,1,0,1,7737,1,6,0
289,629,万圣干扰者找机械面板伤害最高两位,2,1,0,1000004280,1,1,0,1,7747,1,6,0
290,630,万圣巡游找召唤物,2,0,0,0,0,0,0,1,3766,1,6,0
291,631,找M26霰,1,1,0,0,1,1,0,1,7768,1,6,0
292,632,找非精英最高伤害最远距离,1,1,0,1000004300,1,0,0,1,459,1,6,0
293,633,找MAG7,1,1,0,0,1,1,0,1,7777,1,6,0
294,634,MAG7找决斗对手,1,1,0,0,1,0,0,1,7781,1,6,0
295,635,MAG7找非决斗对手,1,0,0,0,1,0,0,1,7781,1,7,0
296,636,我方反馈找BOSSpx4计分板,1,1,0,0,1,1,0,1,7879,1,6,0
297,637,找3个标记的敌人,1,1,0,0,1,0,0,1,7838,3,6,0
298,638,雪人找造成伤害最高单位,1,1,0,12,1,0,0,1,0,0,6,0
299,639,找触发雪花伤害的敌人,1,1,0,1000004358,2,0,0,1,7839,1,6,0
300,640,雪人找BOSSpx4,2,1,3,1,1,1,0,1,7835,1,6,0
301,641,监视我方单位,1,1,0,0,1,1,0,1,7862,1,7,0
302,642,VSK当前目标,1,1,0,9,0,0,0,1,7875,1,6,0
303,643,a545优先找精英最近,1,1,0,9,1,0,0,1,459,1,7,0
304,644,友方找a545,2,1,0,0,1,0,0,1,7900,1,6,0
305,645,友方找队长,2,1,0,0,1,0,0,1,7899,1,6,0
306,646,找友方最远,2,1,0,9,1,0,0,1,0,0,6,0
307,647,最大生命值百分比最低敌,1,1,0,1000004417,1,0,0,1,0,0,6,0
308,648,wnl找人形,2,0,0,0,1,0,0,1,7988,1,6,0
309,649,找TFQ,1,1,0,0,1,1,0,1,8014,1,6,0
310,650,敌伤害最高,1,1,0,1000004422,1,0,0,1,0,0,6,0
311,651,敌射速最高,1,1,0,1000004423,1,0,0,1,0,0,6,0
312,652,敌回避最高,1,1,0,1000004424,1,0,0,1,0,0,6,0
313,653,敌命中最高,1,1,0,1000004425,1,0,0,1,0,0,6,0
314,654,敌方找圣诞破坏者,1,1,0,0,1,1,0,1,8066,1,6,0
315,655,干扰范围内随机敌人,1,1,0,0,0,0,0,1,8080,1,6,0
316,656,ak15监视敌方超越范围,1,0,0,0,0,1,0,1,0,0,6,0
317,657,敌伤害最高,1,1,0,1000004129,1,0,0,1,0,0,6,0
318,658,友方找AK15,2,1,0,0,1,1,0,1,8113,1,6,0
319,659,敌方找AK15,1,1,0,0,1,1,0,1,8113,1,6,0
320,660,an94额外暴击子弹跟随索敌,1,1,0,9,1,0,0,1,8126,1,6,0
321,661,友方找尼梅兰,2,1,0,0,1,1,0,1,8127,1,6,0
322,662,索尼梅兰指定的敌方,1,1,0,0,0,0,0,1,8130,1,6,0
323,663,敌方方找尼梅兰,1,1,0,0,1,1,0,1,8127,1,6,0
324,664,寻敌最近两个单位,1,2,0,9,0,0,0,1,0,0,6,0
325,665,an94-ak12额外暴击子弹跟随索敌,1,1,0,9,1,0,0,1,8161,1,6,0
326,666,an94-ak15额外暴击子弹跟随索敌,1,1,0,9,1,0,0,1,8162,1,6,0
327,667,an94-ak15改额外暴击子弹跟随索敌,1,1,0,9,1,0,0,1,8163,1,6,0
328,668,an94-rpk16额外暴击子弹跟随索敌,1,1,0,9,1,0,0,1,8164,1,6,0
329,669,对不在范围的敌方BOSS释放,1,1,3,0,0,1,0,1,0,0,6,0
330,670,找蔷薇标记,1,1,0,9,0,0,0,1,8197,1,6,0
331,671,找全体敌方蔷薇单位,1,0,0,0,0,1,0,1,8197,1,6,0
332,672,对敌方全体释放,1,1,0,0,0,1,0,1,8275,1,6,0
333,673,敌伤害最高通用,1,1,0,1000004129,1,0,0,1,8275,1,6,0
334,674,抓取3位,1,3,0,9,1,1,0,1,8327,1,7,0
335,675,溅射标记敌方单位,1,0,0,0,0,1,0,1,8306,1,6,0
336,676,斩杀血量20%,1,1,0,1000004567,1,1,0,1,8347,1,6,0
337,677,移动目标水白,1,1,0,6,1,1,0,1,8314,1,6,0
338,678,我方血量百分比最低,2,1,0,1000004575,1,1,0,1,0,0,0,0
339,679,敌方当前输出最高,1,1,0,12,1,1,0,1,0,0,0,0
340,1006,敌方_最近_嘲讽,1,1,0,9,0,0,0,1,0,1000003565,18,0
341,1009,敌方_随机_嘲讽,1,1,0,0,0,0,0,1,0,1000003565,18,0
342,2000,煤气罐找人,2,1,0,0,0,1,0,1,4284,1,6,0
343,3411,对敌方当前生命最高者释放89,1,1,0,1,1,0,0,1,3577,1,6,0
